date,tasmin,tasmax,pr,hurs
1991-01-01,8.28647,16.3743,1.09081,72.3036
1991-01-02,7.60424,16.9278,1.36636,72.0291
1991-01-03,7.70623,16.4471,3.88453,75.6252
1991-01-04,6.45951,16.8034,0.499731,72.5235
1991-01-05,6.97608,15.3606,3.23437,74.6589
1991-01-06,5.80498,14.6955,7.21261,74.9877
1991-01-07,5.77195,13.5751,5.53428,76.5306
1991-01-08,5.78786,14.1673,4.19477,72.9974
1991-01-09,5.58376,14.6673,1.96626,71.6563
1991-01-10,6.316,14.9419,1.84661,70.5649
1991-01-11,7.05546,15.5744,2.14016,74.7726
1991-01-12,7.51606,16.7545,0.949678,72.8351
1991-01-13,8.5041,17.3231,7.05546,68.0657
1991-01-14,7.90712,16.2064,7.30953,72.588
1991-01-15,7.43243,15.3952,4.51082,73.2689
1991-01-16,7.38872,15.5297,3.2088,72.2172
1991-01-17,8.02769,16.0977,2.87206,71.4081
1991-01-18,8.14777,16.1745,3.64151,68.9862
1991-01-19,7.34066,15.2995,4.85045,71.3669
1991-01-20,7.19771,13.8424,9.89096,79.773
1991-01-21,7.1204,13.7891,6.16189,81.6932
1991-01-22,6.17978,14.1852,3.23225,75.4972
1991-01-23,5.69583,14.2382,2.2596,71.9989
1991-01-24,5.8589,14.6565,1.98888,71.1092
1991-01-25,6.60644,14.6625,4.46541,71.7735
1991-01-26,6.84764,14.8305,3.05389,73.2364
1991-01-27,6.6942,14.9312,5.71846,77.2585
1991-01-28,6.5417,14.6666,4.03152,77.6695
1991-01-29,6.90137,15.0095,3.46107,72.8522
1991-01-30,6.24724,15.1996,3.42368,73.447
1991-01-31,5.93526,15.0156,1.88925,74.4118
1991-02-01,6.22212,15.5034,3.04941,73.8896
1991-02-02,5.9212,15.1712,2.42524,75.3766
1991-02-03,6.49877,14.5727,2.98119,74.6838
1991-02-04,6.264,15.4469,1.55716,72.6523
1991-02-05,8.00847,16.5897,3.57875,69.991
1991-02-06,8.54356,16.3216,1.63461,70.0716
1991-02-07,8.27636,16.1287,2.34639,68.8273
1991-02-08,7.78231,15.504,3.90631,70.4092
1991-02-09,8.12294,14.7311,4.62017,70.3218
1991-02-10,7.23546,15.3482,4.95897,72.7272
1991-02-11,6.67599,15.8896,6.17621,66.9132
1991-02-12,7.43468,17.0597,2.70564,67.1401
1991-02-13,7.84012,17.9847,2.73892,65.5478
1991-02-14,8.2268,17.6475,2.70209,67.7623
1991-02-15,8.71112,19.064,0.985403,67.2679
1991-02-16,8.31955,18.2867,1.10748,65.8555
1991-02-17,7.85586,17.2868,0.582492,64.4814
1991-02-18,8.16701,16.7885,3.08135,67.2951
1991-02-19,7.60975,16.6294,1.73978,65.1747
1991-02-20,6.84084,15.4633,1.28059,67.3034
1991-02-21,7.34061,16.6202,0.91802,66.6676
1991-02-22,8.29727,16.8468,0.565882,66.7391
1991-02-23,6.48057,16.0042,2.75255,66.5964
1991-02-24,6.82247,16.8284,2.72551,67.5481
1991-02-25,8.57305,17.409,2.38903,70.6566
1991-02-26,8.49628,17.8525,2.93201,72.7955
1991-02-27,8.07783,16.8456,3.68976,72.4444
1991-02-28,7.86463,17.3341,2.04187,65.1261
1991-03-01,8.84938,17.8534,1.37084,65.1407
1991-03-02,9.02162,19.6481,0.38996,61.2005
1991-03-03,9.5352,18.2958,3.38425,65.0907
1991-03-04,9.12358,17.9467,3.1965,68.4648
1991-03-05,8.76969,18.6768,0.8485,64.9901
1991-03-06,9.33548,20.73,0.762837,61.1514
1991-03-07,9.67717,20.1429,0.630447,64.6382
1991-03-08,9.69337,20.5922,0.593233,65.0851
1991-03-09,10.2012,22.9544,0.233233,60.0549
1991-03-10,10.0926,21.1849,2.30368,59.8958
1991-03-11,10.2259,20.5509,5.01789,59.0264
1991-03-12,9.79904,18.5897,2.3453,62.5517
1991-03-13,8.62009,17.9986,0.7406,64.2732
1991-03-14,8.63212,19.7558,0.372889,58.0927
1991-03-15,9.95969,21.2599,0.241333,53.8337
1991-03-16,10.1462,21.516,1.88927,56.979
1991-03-17,11.2382,21.9747,0.634881,59.7508
1991-03-18,11.9956,23.3804,0.115134,56.4595
1991-03-19,10.8379,22.0655,0.15619,59.981
1991-03-20,10.4997,21.4131,0.647761,62.3588
1991-03-21,9.84421,20.8294,0.353356,62.0316
1991-03-22,10.0896,21.3547,1.17963,64.6188
1991-03-23,10.3226,20.6588,4.11032,62.2301
1991-03-24,9.89007,21.1806,3.20183,56.9502
1991-03-25,9.95024,21.0823,1.95853,57.1737
1991-03-26,9.98875,22.6205,0.410735,56.617
1991-03-27,12.1149,24.2406,0.319656,55.39
1991-03-28,12.7119,25.5677,0.596359,57.0916
1991-03-29,11.6265,23.4024,0.403502,60.1362
1991-03-30,10.5585,21.1291,2.00059,62.6636
1991-03-31,11.3654,22.6102,2.37661,61.3878
1991-04-01,11.2012,20.7103,1.38533,63.0274
1991-04-02,10.557,21.7694,0.607094,58.7093
1991-04-03,11.429,23.6542,0.27573,52.8245
1991-04-04,11.3994,21.9881,1.00072,61.0328
1991-04-05,11.9089,22.2142,1.03146,60.702
1991-04-06,11.8182,23.303,0.129462,58.4724
1991-04-07,12.2024,25.226,0.0238376,56.1057
1991-04-08,12.7576,26.2843,0.00168733,49.0527
1991-04-09,12.9034,27.2396,0.0930024,46.8031
1991-04-10,13.3876,26.4017,0.112248,50.8292
