date,hurs_CMCC-CM2-SR5
1991-01-01,58.7511
1991-01-02,63.0167
1991-01-03,71.5772
1991-01-04,72.6466
1991-01-05,85.962
1991-01-06,91.325
1991-01-07,89.3944
1991-01-08,79.8229
1991-01-09,73.0616
1991-01-10,88.0702
1991-01-11,91.4198
1991-01-12,79.1431
1991-01-13,74.0947
1991-01-14,87.1136
1991-01-15,77.7518
1991-01-16,81.9526
1991-01-17,87.338
1991-01-18,79.4574
1991-01-19,67.5413
1991-01-20,68.5119
1991-01-21,68.4388
1991-01-22,63.7165
1991-01-23,66.2598
1991-01-24,72.6348
1991-01-25,65.8747
1991-01-26,67.6634
1991-01-27,86.7539
1991-01-28,84.8725
1991-01-29,78.0579
1991-01-30,69.761
1991-01-31,63.4874
1991-02-01,57.8699
1991-02-02,57.3726
1991-02-03,74.5359
1991-02-04,72.3568
1991-02-05,68.5924
1991-02-06,63.0025
1991-02-07,57.5769
1991-02-08,43.0112
1991-02-09,40.3634
1991-02-10,46.0563
1991-02-11,52.5138
1991-02-12,61.3297
1991-02-13,51.7762
1991-02-14,56.4185
1991-02-15,61.1728
1991-02-16,57.3406
1991-02-17,56.4304
1991-02-18,60.59
1991-02-19,61.2308
1991-02-20,72.3068
1991-02-21,66.9278
1991-02-22,68.2522
1991-02-23,75.3947
1991-02-24,69.8522
1991-02-25,68.5049
1991-02-26,83.6178
1991-02-27,78.6165
1991-02-28,72.1281
1991-03-01,74.9139
1991-03-02,63.1611
1991-03-03,58.5425
1991-03-04,61.0064
1991-03-05,56.3755
1991-03-06,66.0636
1991-03-07,74.138
1991-03-08,83.1226
1991-03-09,73.2954
1991-03-10,65.0374
1991-03-11,55.0344
1991-03-12,47.1795
1991-03-13,48.1021
1991-03-14,51.1368
1991-03-15,50.568
1991-03-16,68.1515
1991-03-17,80.597
1991-03-18,71.2841
1991-03-19,66.2004
1991-03-20,82.6203
1991-03-21,79.8545
1991-03-22,74.9153
1991-03-23,62.3486
1991-03-24,72.5927
1991-03-25,86.9443
1991-03-26,85.4258
1991-03-27,68.0327
1991-03-28,62.7352
1991-03-29,64.7287
1991-03-30,73.2012
1991-03-31,78.8024
1991-04-01,70.4374
1991-04-02,59.3094
1991-04-03,55.6919
1991-04-04,67.3376
