date,hurs_CNRM-ESM2-1
1991-01-01,64.6807
1991-01-02,59.9077
1991-01-03,62.8732
1991-01-04,67.971
1991-01-05,58.6483
1991-01-06,61.0523
1991-01-07,84.0022
1991-01-08,76.5135
1991-01-09,72.8339
1991-01-10,62.7119
1991-01-11,65.2228
1991-01-12,66.5616
1991-01-13,60.079
1991-01-14,61.5678
1991-01-15,59.4627
1991-01-16,58.3571
1991-01-17,60.6339
1991-01-18,65.4071
1991-01-19,85.61
1991-01-20,87.6672
1991-01-21,83.264
1991-01-22,79.1585
1991-01-23,76.3346
1991-01-24,71.0275
1991-01-25,61.1636
1991-01-26,74.2426
1991-01-27,87.8145
1991-01-28,87.0349
1991-01-29,88.7564
1991-01-30,86.8207
1991-01-31,87.0828
1991-02-01,84.4575
1991-02-02,74.1349
1991-02-03,66.7508
1991-02-04,60.0013
1991-02-05,54.7675
1991-02-06,56.3091
1991-02-07,62.2168
1991-02-08,61.9091
1991-02-09,69.3786
1991-02-10,79.1221
1991-02-11,66.4906
1991-02-12,62.2273
1991-02-13,63.9365
1991-02-14,65.1371
1991-02-15,65.2414
1991-02-16,63.6466
1991-02-17,68.6167
1991-02-18,80.5821
1991-02-19,70.1955
1991-02-20,64.0924
1991-02-21,50.3037
1991-02-22,48.892
1991-02-23,70.8903
1991-02-24,72.215
1991-02-25,73.3004
1991-02-26,82.227
1991-02-27,85.1586
1991-02-28,84.5581
1991-03-01,72.6943
1991-03-02,74.1634
1991-03-03,82.1776
1991-03-04,75.9742
1991-03-05,65.7468
1991-03-06,64.5799
1991-03-07,72.8404
1991-03-08,65.8723
1991-03-09,61.9241
1991-03-10,66.1756
1991-03-11,81.326
1991-03-12,69.7508
1991-03-13,69.5868
1991-03-14,61.0496
1991-03-15,59.8565
1991-03-16,68.3159
1991-03-17,73.4407
1991-03-18,66.9829
1991-03-19,62.9122
1991-03-20,68.1303
1991-03-21,64.4123
1991-03-22,58.3947
1991-03-23,66.0268
1991-03-24,66.6259
1991-03-25,76.846
1991-03-26,72.4244
1991-03-27,66.6381
1991-03-28,66.5671
1991-03-29,69.2502
1991-03-30,68.0749
1991-03-31,66.004
1991-04-01,63.1143
1991-04-02,58.3085
1991-04-03,46.8426
