date,hurs_EC-Earth3-Veg
1991-01-01,69.7095
1991-01-02,67.6059
1991-01-03,64.2267
1991-01-04,64.8085
1991-01-05,89.0863
1991-01-06,85.4343
1991-01-07,89.7297
1991-01-08,75.7877
1991-01-09,73.1386
1991-01-10,68.5448
1991-01-11,76.4924
1991-01-12,70.6526
1991-01-13,70.0709
1991-01-14,81.0873
1991-01-15,88.6042
1991-01-16,82.4045
1991-01-17,87.8061
1991-01-18,72.7656
1991-01-19,69.5774
1991-01-20,74.4092
1991-01-21,88.7213
1991-01-22,77.9253
1991-01-23,76.9561
1991-01-24,73.1227
1991-01-25,80.75
1991-01-26,82.3126
1991-01-27,77.5003
1991-01-28,69.697
1991-01-29,69.196
1991-01-30,68.0766
1991-01-31,65.8837
1991-02-01,71.1452
1991-02-02,80.6139
1991-02-03,81.9493
1991-02-04,76.8942
1991-02-05,73.026
1991-02-06,88.352
1991-02-07,88.466
1991-02-08,82.6546
1991-02-09,80.6644
1991-02-10,79.509
1991-02-11,80.2515
1991-02-12,88.8007
1991-02-13,79.8624
1991-02-14,68.5458
1991-02-15,62.9091
1991-02-16,51.4868
1991-02-17,59.3852
1991-02-18,55.2959
1991-02-19,61.2203
1991-02-20,60.423
1991-02-21,70.3904
1991-02-22,81.8954
1991-02-23,68.902
1991-02-24,62.8983
1991-02-25,75.6155
1991-02-26,69.2484
1991-02-27,79.2279
1991-02-28,67.1097
1991-03-01,77.8592
1991-03-02,60.719
1991-03-03,64.4928
1991-03-04,69.5882
1991-03-05,73.2778
1991-03-06,63.0286
1991-03-07,81.6244
1991-03-08,67.2016
1991-03-09,45.9865
1991-03-10,70.4298
1991-03-11,76.9616
1991-03-12,82.6298
1991-03-13,69.6605
1991-03-14,60.8781
1991-03-15,61.9285
1991-03-16,63.2191
1991-03-17,60.2669
1991-03-18,53.8468
1991-03-19,72.8198
1991-03-20,63.5325
1991-03-21,57.8117
1991-03-22,55.0761
1991-03-23,54.7746
1991-03-24,58.4028
1991-03-25,50.3354
1991-03-26,41.9017
1991-03-27,45.7963
1991-03-28,49.4182
1991-03-29,53.8642
1991-03-30,71.4519
1991-03-31,60.3697
1991-04-01,55.1236
1991-04-02,42.3252
1991-04-03,42.3854
1991-04-04,78.979
1991-04-05,75.2641
1991-04-06,71.4619
1991-04-07,62.5375
1991-04-08,44.4706
1991-04-09,32.3352
1991-04-10,33.4381
1991-04-11,61.1858
1991-04-12,74.5094
1991-04-13,60.5851
1991-04-14,70.5641
1991-04-15,74.4789
1991-04-16,59.6747
1991-04-17,59.5879
1991-04-18,84.634
1991-04-19,71.7926
1991-04-20,60.3772
1991-04-21,50.777
1991-04-22,43.6066
1991-04-23,50.6003
1991-04-24,68.4714
1991-04-25,65.3704
1991-04-26,51.6146
1991-04-27,44.2381
1991-04-28,50.5792
1991-04-29,58.9848
1991-04-30,53.3023
1991-05-01,52.8729
1991-05-02,49.2456
1991-05-03,39.1734
1991-05-04,30.3965
1991-05-05,31.2855
1991-05-06,32.2925
1991-05-07,41.9887
1991-05-08,42.1517
1991-05-09,35.5337
1991-05-10,28.1496
1991-05-11,27.5865
1991-05-12,25.7621
1991-05-13,36.7169
1991-05-14,39.3483
1991-05-15,61.5555
1991-05-16,59.008
1991-05-17,54.1052
1991-05-18,55.1985
1991-05-19,58.8758
1991-05-20,53.001
1991-05-21,46.9629
1991-05-22,44.2758
1991-05-23,38.2346
1991-05-24,30.2257
1991-05-25,35.9134
1991-05-26,42.4677
1991-05-27,42.9127
1991-05-28,41.2473
1991-05-29,34.5332
1991-05-30,30.0174
1991-05-31,23.7779
1991-06-01,16.1969
1991-06-02,23.7124
1991-06-03,30.7874
1991-06-04,54.4357
1991-06-05,53.3039
1991-06-06,55.4226
1991-06-07,57.303
1991-06-08,54.1582
1991-06-09,54.3973
1991-06-10,55.2881
1991-06-11,50.92
1991-06-12,47.8487
1991-06-13,48.7695
1991-06-14,45.4332
1991-06-15,40.7196
1991-06-16,37.4783
1991-06-17,34.9634
1991-06-18,36.2348
1991-06-19,50.603
1991-06-20,56.1892
1991-06-21,55.8245
1991-06-22,46.0741
1991-06-23,57.5355
1991-06-24,55.133
1991-06-25,52.2014
1991-06-26,43.3368
1991-06-27,42.5979
1991-06-28,52.5548
1991-06-29,57.2854
1991-06-30,55.917
1991-07-01,51.0282
1991-07-02,43.4293
1991-07-03,35.8564
1991-07-04,37.4863
1991-07-05,33.2078
1991-07-06,30.1093
1991-07-07,37.2078
1991-07-08,37.7761
1991-07-09,36.7889
1991-07-10,52.5247
1991-07-11,50.2529
