date,hurs_MIROC6
1991-01-01,80.2474
1991-01-02,67.8539
1991-01-03,77.3394
1991-01-04,76.1455
1991-01-05,70.6579
1991-01-06,84.0975
1991-01-07,81.2339
1991-01-08,66.533
1991-01-09,66.0529
1991-01-10,66.4983
1991-01-11,72.7511
1991-01-12,62.9116
1991-01-13,50.6329
1991-01-14,71.0823
1991-01-15,76.2145
1991-01-16,63.9512
1991-01-17,55.9182
1991-01-18,52.167
1991-01-19,58.1419
1991-01-20,91.4198
1991-01-21,90.5693
1991-01-22,84.5011
1991-01-23,87.2905
1991-01-24,85.5802
1991-01-25,82.2585
1991-01-26,85.3435
1991-01-27,80.3191
1991-01-28,74.9197
1991-01-29,79.4854
1991-01-30,83.0983
1991-01-31,83.2424
1991-02-01,84.0407
1991-02-02,82.7522
1991-02-03,66.1671
1991-02-04,57.1531
1991-02-05,56.9772
1991-02-06,77.7336
1991-02-07,73.76
1991-02-08,75.3066
1991-02-09,77.0883
1991-02-10,83.2613
1991-02-11,60.1018
1991-02-12,52.1203
1991-02-13,51.4261
1991-02-14,54.5359
1991-02-15,63.8291
1991-02-16,65.7596
1991-02-17,80.5363
1991-02-18,64.2245
1991-02-19,55.7796
1991-02-20,62.7431
1991-02-21,72.4374
1991-02-22,66.4912
1991-02-23,69.3235
1991-02-24,69.1019
1991-02-25,83.036
1991-02-26,72.5343
1991-02-27,41.795
1991-02-28,27.9839
1991-03-01,32.7195
1991-03-02,32.4504
1991-03-03,58.7419
1991-03-04,71.8718
1991-03-05,74.5801
1991-03-06,60.3401
1991-03-07,57.1329
1991-03-08,60.1674
1991-03-09,47.1215
1991-03-10,33.0627
1991-03-11,36.6324
1991-03-12,36.5707
1991-03-13,38.3488
1991-03-14,45.1194
1991-03-15,41.8265
1991-03-16,30.5899
1991-03-17,17.853
1991-03-18,20.5796
1991-03-19,54.8383
1991-03-20,67.6274
1991-03-21,64.5465
1991-03-22,75.2207
1991-03-23,85.6005
1991-03-24,84.4319
1991-03-25,67.0088
1991-03-26,59.0773
1991-03-27,47.0957
1991-03-28,37.0142
1991-03-29,68.0578
1991-03-30,60.6425
1991-03-31,68.1853
1991-04-01,59.607
1991-04-02,47.5631
1991-04-03,44.8125
1991-04-04,61.1101
1991-04-05,71.1875
1991-04-06,65.3219
1991-04-07,56.6256
1991-04-08,40.0546
1991-04-09,34.867
1991-04-10,31.6049
1991-04-11,27.8467
1991-04-12,43.2844
1991-04-13,57.9481
1991-04-14,54.2715
1991-04-15,40.2136
1991-04-16,29.4546
1991-04-17,37.5059
1991-04-18,32.0497
1991-04-19,43.4653
1991-04-20,56.4368
1991-04-21,51.1081
1991-04-22,55.0476
1991-04-23,58.6023
1991-04-24,61.8614
1991-04-25,61.4947
1991-04-26,56.4902
1991-04-27,56.7484
1991-04-28,56.1408
1991-04-29,51.0955
1991-04-30,44.5914
1991-05-01,30.0909
1991-05-02,35.9119
1991-05-03,48.9245
1991-05-04,51.6465
1991-05-05,49.158
1991-05-06,52.8989
1991-05-07,53.0526
1991-05-08,43.2752
1991-05-09,35.4143
1991-05-10,33.1465
1991-05-11,29.5686
1991-05-12,30.7973
1991-05-13,39.1751
1991-05-14,48.6298
1991-05-15,45.509
1991-05-16,44.7318
1991-05-17,49.0953
1991-05-18,48.5877
1991-05-19,50.5412
1991-05-20,45.128
1991-05-21,34.3724
1991-05-22,42.1287
1991-05-23,36.7556
1991-05-24,31.2025
1991-05-25,22.6897
1991-05-26,19.9383
1991-05-27,34.3671
1991-05-28,48.7645
1991-05-29,48.2096
1991-05-30,46.0979
1991-05-31,45.0015
1991-06-01,52.2877
1991-06-02,42.1662
1991-06-03,33.527
1991-06-04,44.598
1991-06-05,39.9747
1991-06-06,37.3822
1991-06-07,38.6477
1991-06-08,43.7531
1991-06-09,37.127
1991-06-10,32.8168
1991-06-11,33.3689
1991-06-12,45.2619
1991-06-13,49.0645
1991-06-14,50.0505
1991-06-15,43.3032
1991-06-16,35.245
1991-06-17,39.6442
1991-06-18,43.5938
1991-06-19,43.7507
1991-06-20,53.2611
1991-06-21,48.7718
1991-06-22,50.1926
1991-06-23,48.4969
1991-06-24,47.6618
1991-06-25,51.7781
1991-06-26,46.8635
1991-06-27,37.385
1991-06-28,38.7176
1991-06-29,57.2126
1991-06-30,59.3918
1991-07-01,60.4022
1991-07-02,58.96
1991-07-03,57.2572
1991-07-04,55.9327
1991-07-05,54.8609
1991-07-06,57.2752
1991-07-07,56.9361
1991-07-08,58.6844
1991-07-09,57.489
1991-07-10,55.2373
1991-07-11,52.654
1991-07-12,49.157
1991-07-13,46.0063
1991-07-14,41.5692
1991-07-15,49.9319
1991-07-16,55.5192
1991-07-17,56.3226
1991-07-18,51.7057
1991-07-19,53.9587
1991-07-20,53.7208
1991-07-21,52.8046
1991-07-22,51.9677
1991-07-23,52.0943
1991-07-24,52.0015
1991-07-25,45.072
1991-07-26,39.8229
1991-07-27,42.3444
1991-07-28,38.8388
1991-07-29,40.7351
1991-07-30,47.5113
1991-07-31,46.1972
1991-08-01,44.5705
1991-08-02,45.697
1991-08-03,52.0933
1991-08-04,53.0252
1991-08-05,49.0659
1991-08-06,45.7971
1991-08-07,53.6171
1991-08-08,56.7614
1991-08-09,55.5499
1991-08-10,53.1609
1991-08-11,50.8171
1991-08-12,48.5474
1991-08-13,47.2455
1991-08-14,49.1489
1991-08-15,51.229
1991-08-16,52.224
1991-08-17,53.9778
1991-08-18,54.3987
1991-08-19,49.601
1991-08-20,44.5404
1991-08-21,43.8387
1991-08-22,42.8794
1991-08-23,45.9679
1991-08-24,44.9433
1991-08-25,44.0569
1991-08-26,41.7402
1991-08-27,31.4954
1991-08-28,33.614
1991-08-29,37.2982
1991-08-30,31.4003
1991-08-31,37.5838
1991-09-01,29.3867
1991-09-02,27.8027
1991-09-03,33.2417
1991-09-04,42.3631
1991-09-05,56.497
1991-09-06,60.222
1991-09-07,58.9183
1991-09-08,57.7043
1991-09-09,55.6148
1991-09-10,57.516
1991-09-11,58.6438
1991-09-12,62.8953
1991-09-13,58.0555
1991-09-14,41.8572
1991-09-15,32.9585
1991-09-16,48.8472
1991-09-17,62.6801
1991-09-18,55.9776
1991-09-19,52.6576
1991-09-20,57.8133
1991-09-21,56.5273
1991-09-22,55.6668
1991-09-23,52.8218
1991-09-24,47.5374
1991-09-25,55.5868
1991-09-26,54.6728
1991-09-27,48.0033
1991-09-28,50.5608
1991-09-29,54.5333
1991-09-30,55.3694
1991-10-01,54.2701
1991-10-02,51.6121
1991-10-03,46.7152
1991-10-04,58.013
1991-10-05,55.7234
1991-10-06,44.0637
1991-10-07,34.1747
1991-10-08,31.4638
1991-10-09,27.7114
1991-10-10,26.3183
1991-10-11,35.8907
1991-10-12,44.4796
1991-10-13,40.8243
1991-10-14,39.0063
1991-10-15,39.7633
1991-10-16,43.1792
1991-10-17,61.8528
1991-10-18,60.4964
1991-10-19,52.6786
1991-10-20,42.4022
1991-10-21,45.5606
1991-10-22,47.6284
1991-10-23,68.4789
1991-10-24,65.7015
1991-10-25,65.12
1991-10-26,61.8032
1991-10-27,57.0989
1991-10-28,51.5995
1991-10-29,42.1958
1991-10-30,37.8216
1991-10-31,34.4669
1991-11-01,27.2772
1991-11-02,36.6672
1991-11-03,35.4546
1991-11-04,21.2159
1991-11-05,18.4528
1991-11-06,48.6826
1991-11-07,62.0992
1991-11-08,67.1891
1991-11-09,65.8869
1991-11-10,64.9206
1991-11-11,67.36
1991-11-12,70.4922
1991-11-13,63.9377
1991-11-14,51.6136
1991-11-15,50.9236
1991-11-16,59.4571
1991-11-17,63.1682
1991-11-18,53.6807
1991-11-19,45.7442
1991-11-20,49.8776
1991-11-21,52.5155
1991-11-22,39.2605
1991-11-23,31.8699
1991-11-24,32.7359
1991-11-25,27.5993
1991-11-26,26.0912
1991-11-27,57.2135
1991-11-28,57.4307
1991-11-29,53.3446
1991-11-30,54.5775
1991-12-01,48.1823
1991-12-02,59.052
1991-12-03,54.5411
1991-12-04,20.6148
1991-12-05,25.9766
1991-12-06,52.7206
1991-12-07,46.5234
1991-12-08,63.4442
1991-12-09,66.3169
1991-12-10,75.5221
1991-12-11,80.6449
1991-12-12,84.7829
1991-12-13,76.5476
1991-12-14,73.3197
1991-12-15,77.3826
1991-12-16,69.6422
1991-12-17,60.6193
1991-12-18,50.634
1991-12-19,61.8209
1991-12-20,83.987
1991-12-21,80.6712
1991-12-22,69.1108
1991-12-23,61.9052
1991-12-24,64.9815
1991-12-25,76.8888
1991-12-26,76.4324
1991-12-27,81.8521
1991-12-28,78.1184
1991-12-29,62.443
1991-12-30,64.7589
1991-12-31,61.4248
1992-01-01,48.3709
1992-01-02,48.0684
1992-01-03,48.4784
1992-01-04,73.16
1992-01-05,72.462
1992-01-06,63.2852
1992-01-07,53.3728
1992-01-08,47.7952
1992-01-09,48.7113
1992-01-10,53.6356
1992-01-11,55.992
1992-01-12,60.3173
1992-01-13,53.686
1992-01-14,40.8413
1992-01-15,37.4432
1992-01-16,47.739
1992-01-17,48.1392
1992-01-18,46.3277
1992-01-19,61.0957
1992-01-20,78.7687
1992-01-21,84.9376
1992-01-22,64.6055
1992-01-23,72.1479
1992-01-24,71.2893
1992-01-25,60.5923
1992-01-26,69.4426
1992-01-27,80.4237
1992-01-28,68.3649
1992-01-29,70.2698
1992-01-30,68.596
1992-01-31,63.0437
1992-02-01,74.5363
1992-02-02,71.8001
1992-02-03,60.7129
1992-02-04,58.6609
1992-02-05,54.8377
1992-02-06,48.6288
1992-02-07,47.9501
1992-02-08,63.4511
1992-02-09,65.4113
1992-02-10,60.2658
1992-02-11,60.1899
1992-02-12,53.9879
1992-02-13,71.7998
1992-02-14,85.0788
1992-02-15,71.836
1992-02-16,73.1
1992-02-17,66.6794
1992-02-18,57.9301
1992-02-19,69.0909
1992-02-20,70.7973
1992-02-21,69.2478
1992-02-22,68.0265
1992-02-23,74.5948
1992-02-24,63.8492
1992-02-25,55.4215
1992-02-26,56.3894
1992-02-27,52.9605
1992-02-28,43.3858
1992-02-29,44.3685
1992-03-01,44.0327
1992-03-02,55.9103
1992-03-03,62.5332
1992-03-04,66.2033
1992-03-05,62.1909
1992-03-06,56.2436
1992-03-07,54.1189
1992-03-08,68.2642
1992-03-09,59.6716
1992-03-10,61.8892
1992-03-11,64.5965
1992-03-12,54.2276
1992-03-13,52.4872
1992-03-14,52.0978
1992-03-15,55.5845
1992-03-16,57.2851
1992-03-17,63.1245
1992-03-18,61.4047
1992-03-19,57.4937
1992-03-20,46.5546
1992-03-21,58.0004
1992-03-22,66.6352
1992-03-23,58.0999
1992-03-24,49.4328
1992-03-25,52.7463
1992-03-26,53.2953
1992-03-27,45.3624
1992-03-28,39.4538
1992-03-29,43.5773
1992-03-30,47.1915
1992-03-31,38.9189
1992-04-01,32.3697
1992-04-02,35.6998
1992-04-03,41.6468
1992-04-04,37.331
1992-04-05,32.6892
1992-04-06,21.663
1992-04-07,26.1384
1992-04-08,19.2793
1992-04-09,16.7672
1992-04-10,40.8015
1992-04-11,81.1195
1992-04-12,57.3858
1992-04-13,59.1008
1992-04-14,57.5742
1992-04-15,49.1604
1992-04-16,54.0284
1992-04-17,49.9809
1992-04-18,47.0735
1992-04-19,45.5127
1992-04-20,36.8865
1992-04-21,39.294
1992-04-22,49.4824
1992-04-23,51.6796
1992-04-24,40.7583
1992-04-25,24.0816
1992-04-26,19.922
1992-04-27,18.7191
1992-04-28,15.4322
1992-04-29,14.9704
1992-04-30,15.6698
1992-05-01,13.3753
1992-05-02,16.4486
1992-05-03,29.914
1992-05-04,38.7126
1992-05-05,52.5443
1992-05-06,60.0088
1992-05-07,57.8221
1992-05-08,57.5216
1992-05-09,53.1493
1992-05-10,48.3761
1992-05-11,34.4496
1992-05-12,42.8689
1992-05-13,60.194
1992-05-14,55.2154
1992-05-15,54.6001
1992-05-16,49.7173
1992-05-17,39.3644
1992-05-18,29.5267
1992-05-19,38.6276
1992-05-20,52.1526
1992-05-21,80.381
1992-05-22,63.1423
1992-05-23,54.8284
1992-05-24,53.2124
1992-05-25,46.7782
1992-05-26,45.5491
1992-05-27,50.392
1992-05-28,52.0454
1992-05-29,49.0064
1992-05-30,41.5801
1992-05-31,39.4797
1992-06-01,51.9888
1992-06-02,51.3633
1992-06-03,49.0946
1992-06-04,47.2076
1992-06-05,50.4725
1992-06-06,46.5521
1992-06-07,47.96
1992-06-08,50.5819
1992-06-09,52.6612
1992-06-10,49.1624
1992-06-11,43.1293
1992-06-12,40.7993
1992-06-13,36.4874
1992-06-14,32.901
1992-06-15,30.1108
1992-06-16,31.0363
1992-06-17,35.9993
1992-06-18,31.7228
1992-06-19,45.9106
1992-06-20,43.4894
1992-06-21,42.3366
1992-06-22,53.402
1992-06-23,57.3906
1992-06-24,54.4026
1992-06-25,43.0243
1992-06-26,53.8262
1992-06-27,56.431
1992-06-28,56.5073
1992-06-29,52.3172
1992-06-30,51.3655
1992-07-01,57.2854
1992-07-02,52.5199
1992-07-03,36.4997
1992-07-04,49.5122
1992-07-05,59.8242
1992-07-06,54.4558
1992-07-07,46.8557
1992-07-08,41.9803
1992-07-09,47.9657
1992-07-10,47.4204
1992-07-11,49.4108
1992-07-12,51.9232
1992-07-13,50.3437
1992-07-14,45.2163
1992-07-15,41.318
1992-07-16,39.822
1992-07-17,44.2608
1992-07-18,42.3577
1992-07-19,44.8489
1992-07-20,52.631
1992-07-21,49.9115
1992-07-22,47.5434
1992-07-23,44.4991
1992-07-24,39.8097
1992-07-25,26.6304
1992-07-26,33.1636
1992-07-27,41.451
1992-07-28,39.4268
1992-07-29,52.8134
1992-07-30,59.9775
1992-07-31,58.3903
1992-08-01,56.1787
1992-08-02,52.9294
1992-08-03,49.8639
1992-08-04,48.9573
1992-08-05,46.3704
1992-08-06,48.4845
1992-08-07,52.6088
1992-08-08,50.3597
1992-08-09,49.804
1992-08-10,51.3024
1992-08-11,53.7402
1992-08-12,53.4289
1992-08-13,51.8387
1992-08-14,52.0065
1992-08-15,55.078
1992-08-16,53.1353
1992-08-17,44.7756
1992-08-18,56.978
1992-08-19,58.1553
1992-08-20,51.6469
1992-08-21,51.4747
1992-08-22,49.2321
1992-08-23,43.2213
1992-08-24,42.3078
1992-08-25,45.8483
1992-08-26,56.0801
1992-08-27,58.169
1992-08-28,60.5938
1992-08-29,61.222
1992-08-30,61.963
1992-08-31,61.755
1992-09-01,58.2797
1992-09-02,51.7629
1992-09-03,46.6097
1992-09-04,45.1267
1992-09-05,48.6353
1992-09-06,49.0691
1992-09-07,45.8828
1992-09-08,49.1139
1992-09-09,47.8079
