date,hurs_MPI-ESM1-2-HR
1991-01-01,91.4198
1991-01-02,89.5806
1991-01-03,87.7475
1991-01-04,74.7173
1991-01-05,81.7537
1991-01-06,86.2863
1991-01-07,74.9176
1991-01-08,66.9408
1991-01-09,63.0523
1991-01-10,64.4175
1991-01-11,71.5096
1991-01-12,87.1546
1991-01-13,85.8275
1991-01-14,85.5171
1991-01-15,72.6987
1991-01-16,71.6946
1991-01-17,68.19
1991-01-18,64.6383
1991-01-19,76.233
1991-01-20,84.3655
1991-01-21,86.6241
1991-01-22,71.7632
1991-01-23,61.9918
1991-01-24,60.2681
1991-01-25,65.2998
1991-01-26,69.3183
1991-01-27,73.9297
1991-01-28,87.0105
1991-01-29,80.0894
1991-01-30,86.299
1991-01-31,83.3025
1991-02-01,68.7724
1991-02-02,72.6869
1991-02-03,81.8923
1991-02-04,78.6056
1991-02-05,83.093
1991-02-06,76.177
1991-02-07,76.6597
1991-02-08,77.6128
1991-02-09,73.8914
1991-02-10,82.0728
1991-02-11,83.578
1991-02-12,82.3731
1991-02-13,85.5504
1991-02-14,90.4938
1991-02-15,83.105
1991-02-16,87.7992
1991-02-17,69.3794
1991-02-18,83.6852
1991-02-19,73.5218
1991-02-20,68.1234
1991-02-21,64.448
1991-02-22,69.8847
1991-02-23,81.252
1991-02-24,73.913
1991-02-25,63.5071
1991-02-26,69.1944
1991-02-27,87.2861
1991-02-28,68.0804
1991-03-01,62.3634
1991-03-02,72.469
1991-03-03,66.9846
1991-03-04,64.2082
1991-03-05,66.4015
1991-03-06,62.7807
1991-03-07,62.249
1991-03-08,56.3597
1991-03-09,44.1594
1991-03-10,34.0582
1991-03-11,51.9543
1991-03-12,74.3294
1991-03-13,71.1096
1991-03-14,63.1553
1991-03-15,60.9948
1991-03-16,64.0558
1991-03-17,66.2857
1991-03-18,51.4808
1991-03-19,33.9725
1991-03-20,51.7865
1991-03-21,69.6421
1991-03-22,81.0229
1991-03-23,64.6818
1991-03-24,47.6835
1991-03-25,58.4443
1991-03-26,52.3573
1991-03-27,44.8794
1991-03-28,59.2247
1991-03-29,64.5555
1991-03-30,56.3599
1991-03-31,56.877
1991-04-01,59.6998
1991-04-02,48.1959
1991-04-03,51.7832
1991-04-04,70.6818
1991-04-05,55.5512
1991-04-06,55.6965
1991-04-07,56.6547
1991-04-08,57.0793
1991-04-09,54.5171
1991-04-10,47.622
1991-04-11,43.8499
1991-04-12,40.5107
1991-04-13,37.3379
1991-04-14,38.7399
1991-04-15,40.71
1991-04-16,35.5556
1991-04-17,35.4669
1991-04-18,37.6135
1991-04-19,39.2024
1991-04-20,45.2698
1991-04-21,31.1531
1991-04-22,17.6099
1991-04-23,45.2122
1991-04-24,72.1272
1991-04-25,47.2856
1991-04-26,47.8746
1991-04-27,60.421
1991-04-28,52.4472
1991-04-29,56.4571
1991-04-30,53.9534
1991-05-01,51.9685
1991-05-02,37.7913
1991-05-03,29.1118
1991-05-04,20.7785
1991-05-05,36.0768
1991-05-06,41.4319
1991-05-07,55.281
1991-05-08,48.3192
1991-05-09,33.1441
1991-05-10,28.1224
1991-05-11,20.2161
1991-05-12,16.1501
1991-05-13,36.9116
1991-05-14,45.2525
1991-05-15,47.4039
1991-05-16,58.3049
1991-05-17,56.3862
1991-05-18,51.5859
1991-05-19,52.987
1991-05-20,47.7826
1991-05-21,48.5478
1991-05-22,53.3015
1991-05-23,51.8164
1991-05-24,48.385
1991-05-25,40.7734
1991-05-26,46.5798
1991-05-27,47.103
1991-05-28,46.8973
1991-05-29,47.0205
1991-05-30,35.8744
1991-05-31,34.1778
1991-06-01,36.914
1991-06-02,37.5148
1991-06-03,35.0937
1991-06-04,35.0516
1991-06-05,51.5179
1991-06-06,44.0057
1991-06-07,43.01
1991-06-08,48.6767
1991-06-09,50.0481
1991-06-10,68.4479
1991-06-11,55.0747
1991-06-12,47.2995
1991-06-13,45.0419
1991-06-14,51.2904
