date,hurs_UKESM1-0-LL
1991-01-01,69.2275
1991-01-02,66.7425
1991-01-03,86.9087
1991-01-04,66.42
1991-01-05,60.8535
1991-01-06,51.195
1991-01-07,51.7301
1991-01-08,53.7501
1991-01-09,57.1369
1991-01-10,56.7933
1991-01-11,67.6302
1991-01-12,66.3121
1991-01-13,62.8668
1991-01-14,62.9661
1991-01-15,80.0166
1991-01-16,89.3398
1991-01-17,88.7752
1991-01-18,73.2977
1991-01-19,62.8053
1991-01-20,60.5362
1991-01-21,61.1626
1991-01-22,66.8811
1991-01-23,72.2924
1991-01-24,66.2906
1991-01-25,71.9792
1991-01-26,63.8944
1991-01-27,60.5673
1991-01-28,72.5514
1991-01-29,50.7026
1991-01-30,57.4171
1991-01-31,59.6518
1991-02-01,64.2708
1991-02-02,68.0199
1991-02-03,72.8923
1991-02-04,77.2767
1991-02-05,74.7423
1991-02-06,66.9894
1991-02-07,59.4932
1991-02-08,80.2351
1991-02-09,88.1661
1991-02-10,78.7579
1991-02-11,62.5176
1991-02-12,55.0299
1991-02-13,62.8909
1991-02-14,83.3214
1991-02-15,84.5447
1991-02-16,72.5106
1991-02-17,66.9495
1991-02-18,84.7699
1991-02-19,81.0417
1991-02-20,73.289
1991-02-21,68.539
1991-02-22,76.9304
1991-02-23,54.272
1991-02-24,62.0604
1991-02-25,58.6774
1991-02-26,68.6051
1991-02-27,74.2002
1991-02-28,63.3354
1991-03-01,57.1864
1991-03-02,57.8679
1991-03-03,57.6374
1991-03-04,79.0849
1991-03-05,66.3865
1991-03-06,60.7341
1991-03-07,60.5755
1991-03-08,72.9306
1991-03-09,79.4215
1991-03-10,74.5991
1991-03-11,64.6072
1991-03-12,70.4846
1991-03-13,71.272
1991-03-14,62.735
1991-03-15,45.1764
1991-03-16,42.0594
1991-03-17,70.0955
1991-03-18,77.553
1991-03-19,71.9713
1991-03-20,65.0621
1991-03-21,67.3438
1991-03-22,79.9043
1991-03-23,78.7129
1991-03-24,41.3792
1991-03-25,39.9176
1991-03-26,54.2106
1991-03-27,69.1085
1991-03-28,58.4813
1991-03-29,46.2833
1991-03-30,38.2851
1991-03-31,43.6129
1991-04-01,66.9757
1991-04-02,63.6753
1991-04-03,59.769
1991-04-04,59.9389
1991-04-05,62.2423
1991-04-06,60.2651
1991-04-07,66.2913
1991-04-08,69.7699
1991-04-09,61.5936
1991-04-10,59.0706
1991-04-11,62.4003
1991-04-12,58.0209
1991-04-13,50.8109
1991-04-14,48.015
1991-04-15,51.3713
1991-04-16,52.6474
1991-04-17,52.9868
1991-04-18,43.4519
1991-04-19,51.1756
1991-04-20,51.8136
1991-04-21,52.3581
1991-04-22,46.4745
1991-04-23,37.1129
1991-04-24,24.3241
1991-04-25,18.5998
1991-04-26,25.29
1991-04-27,66.4398
1991-04-28,50.9244
1991-04-29,59.6834
1991-04-30,61.5409
1991-05-01,55.5387
1991-05-02,57.5965
1991-05-03,48.7448
1991-05-04,30.7575
1991-05-05,22.8793
1991-05-06,21.2947
1991-05-07,17.0849
1991-05-08,17.3317
1991-05-09,22.9103
1991-05-10,33.3836
1991-05-11,47.7559
1991-05-12,51.0807
1991-05-13,49.0523
1991-05-14,50.6124
1991-05-15,50.4643
1991-05-16,56.0131
1991-05-17,50.3445
1991-05-18,50.0637
1991-05-19,47.9717
1991-05-20,53.8591
1991-05-21,54.8541
1991-05-22,57.7017
1991-05-23,52.0986
1991-05-24,41.3185
1991-05-25,46.3048
1991-05-26,51.0919
1991-05-27,50.8254
1991-05-28,52.9584
1991-05-29,29.945
1991-05-30,53.6133
1991-05-31,54.2871
1991-06-01,50.5741
1991-06-02,50.7599
1991-06-03,48.585
1991-06-04,43.9788
1991-06-05,41.7318
1991-06-06,48.4917
1991-06-07,50.7655
1991-06-08,49.1678
1991-06-09,44.3549
1991-06-10,34.8997
1991-06-11,30.0576
1991-06-12,39.9575
1991-06-13,50.3641
1991-06-14,48.4339
1991-06-15,49.9428
1991-06-16,46.1852
1991-06-17,42.7121
