date,pr_CESM2
1991-01-01,2.79587
1991-01-02,1.11762
1991-01-03,0.0713206
1991-01-04,0.0227789
1991-01-05,1.26523
1991-01-06,6.37635
1991-01-07,9.71308
1991-01-08,11.0015
1991-01-09,6.04389
1991-01-10,8.85072
1991-01-11,4.31682
1991-01-12,-2.77556e-14
1991-01-13,-2.77556e-14
1991-01-14,-2.77556e-14
1991-01-15,-2.77556e-14
1991-01-16,0.0304661
1991-01-17,0.44633
1991-01-18,0.138918
1991-01-19,2.26889
1991-01-20,0.0143586
1991-01-21,1.13617
1991-01-22,1.31275
1991-01-23,0.169223
1991-01-24,12.9116
1991-01-25,14.0638
1991-01-26,5.98173
1991-01-27,0.558204
1991-01-28,2.08478
1991-01-29,1.08468
1991-01-30,-2.77556e-14
1991-01-31,-2.77556e-14
1991-02-01,0.2261
1991-02-02,0.0186952
1991-02-03,0.0229433
1991-02-04,1.5871
1991-02-05,1.43011
1991-02-06,0.113096
1991-02-07,0.110559
1991-02-08,1.30381
1991-02-09,4.75668
1991-02-10,8.72673
1991-02-11,31.3514
1991-02-12,10.0905
1991-02-13,6.81708
1991-02-14,0.071192
1991-02-15,0.00759297
1991-02-16,-2.77556e-14
1991-02-17,0.000844014
1991-02-18,0.723038
1991-02-19,5.20853
1991-02-20,7.88145
1991-02-21,1.9033
1991-02-22,-2.77556e-14
1991-02-23,0.985574
1991-02-24,0.318689
1991-02-25,0.00759297
1991-02-26,0.0367138
1991-02-27,0.00759297
1991-02-28,0.765846
1991-03-01,1.27545
1991-03-02,0.00759297
1991-03-03,13.3642
1991-03-04,14.9367
1991-03-05,5.44858
1991-03-06,1.71015
1991-03-07,0.0500425
1991-03-08,0.00759297
1991-03-09,0.376087
1991-03-10,0.275817
1991-03-11,0.467585
1991-03-12,-2.77556e-14
1991-03-13,1.2141
1991-03-14,2.79481
1991-03-15,1.57776
1991-03-16,0.0626526
1991-03-17,0.029635
1991-03-18,0.127499
1991-03-19,0.0640805
1991-03-20,0.578985
1991-03-21,-2.77556e-14
1991-03-22,-2.77556e-14
1991-03-23,-2.77556e-14
1991-03-24,0.0130465
1991-03-25,0.307642
1991-03-26,0.521839
1991-03-27,0.078273
1991-03-28,0.0151859
1991-03-29,-2.77556e-14
1991-03-30,-2.77556e-14
1991-03-31,-2.77556e-14
1991-04-01,5.33455
1991-04-02,-2.77556e-14
1991-04-03,1.89468
1991-04-04,1.59899
1991-04-05,3.97566
1991-04-06,0.155444
1991-04-07,0.127088
1991-04-08,-2.77556e-14
1991-04-09,-2.77556e-14
1991-04-10,-2.77556e-14
1991-04-11,-2.77556e-14
1991-04-12,0.0151859
1991-04-13,0.0741895
1991-04-14,0.00759297
