date,pr_CMCC-CM2-SR5
1991-01-01,0.408182
1991-01-02,0.190565
1991-01-03,0.138904
1991-01-04,3.315
1991-01-05,15.0609
1991-01-06,17.6639
1991-01-07,3.91977
1991-01-08,0.00759297
1991-01-09,0.11674
1991-01-10,2.84824
1991-01-11,3.83243
1991-01-12,0.242239
1991-01-13,0.0865959
1991-01-14,9.83514
1991-01-15,1.10017
1991-01-16,0.16078
1991-01-17,10.9661
1991-01-18,16.9169
1991-01-19,0.118849
1991-01-20,-2.77556e-14
1991-01-21,-2.77556e-14
1991-01-22,-2.77556e-14
1991-01-23,-2.77556e-14
1991-01-24,0.0227789
1991-01-25,-2.77556e-14
1991-01-26,1.07817
1991-01-27,7.77842
1991-01-28,4.74706
1991-01-29,1.00304
1991-01-30,0.305122
1991-01-31,0.0780169
1991-02-01,-2.77556e-14
1991-02-02,-2.77556e-14
1991-02-03,9.7306
1991-02-04,2.51145
1991-02-05,0.251199
1991-02-06,0.0272594
1991-02-07,-2.77556e-14
1991-02-08,-2.77556e-14
1991-02-09,-2.77556e-14
1991-02-10,-2.77556e-14
1991-02-11,-2.77556e-14
1991-02-12,-2.77556e-14
1991-02-13,-2.77556e-14
1991-02-14,0.00775305
1991-02-15,0.168096
1991-02-16,-2.77556e-14
1991-02-17,0.143337
1991-02-18,0.189504
1991-02-19,2.18731
1991-02-20,2.72927
1991-02-21,0.308482
1991-02-22,0.53755
1991-02-23,15.1303
1991-02-24,10.784
1991-02-25,3.84743
1991-02-26,7.53327
1991-02-27,10.3585
1991-02-28,1.99512
1991-03-01,0.552244
1991-03-02,-2.77556e-14
1991-03-03,-2.77556e-14
1991-03-04,-2.77556e-14
1991-03-05,-2.77556e-14
1991-03-06,1.25115
1991-03-07,3.38303
1991-03-08,4.76098
1991-03-09,0.448017
1991-03-10,-2.77556e-14
1991-03-11,-2.77556e-14
1991-03-12,-2.77556e-14
1991-03-13,-2.77556e-14
1991-03-14,0.00759297
1991-03-15,-2.77556e-14
1991-03-16,0.144907
1991-03-17,0.816796
1991-03-18,0.0295757
1991-03-19,0.00759297
1991-03-20,4.89264
1991-03-21,1.119
1991-03-22,0.167508
1991-03-23,-2.77556e-14
1991-03-24,9.13622
1991-03-25,13.2014
