date,pr_CNRM-ESM2-1
1991-01-01,-2.77556e-14
1991-01-02,-2.77556e-14
1991-01-03,0.379506
1991-01-04,0.13993
1991-01-05,-2.77556e-14
1991-01-06,2.30442
1991-01-07,13.2968
1991-01-08,3.81949
1991-01-09,0.164418
1991-01-10,-2.77556e-14
1991-01-11,0.229264
1991-01-12,0.456273
1991-01-13,0.00446826
1991-01-14,0.0619354
1991-01-15,0.131942
1991-01-16,0.0389997
1991-01-17,1.00203
1991-01-18,0.945257
1991-01-19,13.5795
1991-01-20,30.5532
1991-01-21,5.95995
1991-01-22,1.02356
1991-01-23,0.319482
1991-01-24,0.0815035
1991-01-25,0.00759297
1991-01-26,3.96716
1991-01-27,17.7431
1991-01-28,18.1814
1991-01-29,17.6645
1991-01-30,13.9472
1991-01-31,9.80701
1991-02-01,10.3939
1991-02-02,0.998307
1991-02-03,0.715138
1991-02-04,-2.77556e-14
1991-02-05,-2.77556e-14
1991-02-06,-2.77556e-14
1991-02-07,-2.77556e-14
1991-02-08,-2.77556e-14
1991-02-09,11.3603
1991-02-10,3.53968
1991-02-11,-2.77556e-14
1991-02-12,-2.77556e-14
1991-02-13,-2.77556e-14
1991-02-14,0.0227789
1991-02-15,-2.77556e-14
1991-02-16,-2.77556e-14
1991-02-17,0.0567174
1991-02-18,4.63545
1991-02-19,0.305048
1991-02-20,-2.77556e-14
1991-02-21,-2.77556e-14
1991-02-22,0.0183814
1991-02-23,7.35288
1991-02-24,12.7427
1991-02-25,4.31728
1991-02-26,3.47726
1991-02-27,11.6037
1991-02-28,14.1897
1991-03-01,1.98345
1991-03-02,3.31521
1991-03-03,7.55462
1991-03-04,2.51836
1991-03-05,0.0369507
1991-03-06,0.107775
1991-03-07,0.0303719
1991-03-08,0.0151859
1991-03-09,-2.77556e-14
1991-03-10,2.27768
1991-03-11,7.01641
1991-03-12,0.281909
1991-03-13,0.0393547
1991-03-14,-2.77556e-14
1991-03-15,-2.77556e-14
1991-03-16,-2.77556e-14
1991-03-17,0.295277
1991-03-18,-2.77556e-14
1991-03-19,-2.77556e-14
1991-03-20,0.00873564
1991-03-21,1.91311
1991-03-22,0.0872134
1991-03-23,0.12769
1991-03-24,0.0497626
1991-03-25,3.95118
1991-03-26,0.214707
1991-03-27,0.0353474
1991-03-28,-2.77556e-14
1991-03-29,1.91033
1991-03-30,2.95471
1991-03-31,0.236031
1991-04-01,0.694992
1991-04-02,0.0809967
1991-04-03,-2.77556e-14
1991-04-04,-2.77556e-14
1991-04-05,-2.77556e-14
1991-04-06,-2.77556e-14
1991-04-07,-2.77556e-14
1991-04-08,0.00759297
1991-04-09,0.829429
1991-04-10,-2.77556e-14
1991-04-11,0.00759297
1991-04-12,1.64895
1991-04-13,1.80185
1991-04-14,3.02179
1991-04-15,0.00759297
1991-04-16,-2.77556e-14
1991-04-17,-2.77556e-14
1991-04-18,-2.77556e-14
1991-04-19,-2.77556e-14
1991-04-20,-2.77556e-14
1991-04-21,0.00759297
1991-04-22,1.5132
1991-04-23,3.23004
1991-04-24,0.635196
1991-04-25,0.753277
1991-04-26,0.986509
1991-04-27,-2.77556e-14
1991-04-28,-2.77556e-14
1991-04-29,0.0303719
1991-04-30,0.0026437
1991-05-01,-2.77556e-14
1991-05-02,-2.77556e-14
1991-05-03,-2.77556e-14
1991-05-04,-2.77556e-14
1991-05-05,0.00759297
1991-05-06,0.00759297
1991-05-07,-2.77556e-14
1991-05-08,0.00759297
1991-05-09,0.00759297
1991-05-10,0.098035
1991-05-11,-2.77556e-14
1991-05-12,0.0298579
1991-05-13,-2.77556e-14
1991-05-14,2.28959
1991-05-15,3.18807
1991-05-16,0.516859
1991-05-17,0.00759297
1991-05-18,3.76128
1991-05-19,2.25716
1991-05-20,0.00759297
1991-05-21,0.683061
1991-05-22,0.0386958
1991-05-23,-2.77556e-14
1991-05-24,-2.77556e-14
1991-05-25,0.00759297
1991-05-26,0.458449
1991-05-27,0.486849
1991-05-28,-2.77556e-14
1991-05-29,-2.77556e-14
1991-05-30,-2.77556e-14
1991-05-31,-2.77556e-14
1991-06-01,0.345034
1991-06-02,-2.77556e-14
1991-06-03,0.0912216
1991-06-04,-2.77556e-14
1991-06-05,0.0394313
1991-06-06,0.0295221
1991-06-07,0.126122
1991-06-08,0.161288
1991-06-09,0.039635
1991-06-10,-2.77556e-14
1991-06-11,0.258834
1991-06-12,-2.77556e-14
1991-06-13,0.0462427
1991-06-14,0.0752424
1991-06-15,-2.77556e-14
1991-06-16,-2.77556e-14
1991-06-17,-2.77556e-14
1991-06-18,-2.77556e-14
1991-06-19,0.00759297
1991-06-20,-2.77556e-14
1991-06-21,0.00759297
1991-06-22,0.213886
1991-06-23,-2.77556e-14
1991-06-24,-2.77556e-14
1991-06-25,-2.77556e-14
1991-06-26,-2.77556e-14
1991-06-27,-2.77556e-14
1991-06-28,-2.77556e-14
1991-06-29,-2.77556e-14
1991-06-30,-2.77556e-14
1991-07-01,-2.77556e-14
1991-07-02,0.0358061
1991-07-03,0.102918
1991-07-04,0.0151859
1991-07-05,-2.77556e-14
1991-07-06,-2.77556e-14
1991-07-07,-2.77556e-14
1991-07-08,0.121527
1991-07-09,0.17888
1991-07-10,0.185472
1991-07-11,-2.77556e-14
1991-07-12,-2.77556e-14
1991-07-13,-2.77556e-14
1991-07-14,-2.77556e-14
1991-07-15,-2.77556e-14
1991-07-16,0.0150154
1991-07-17,-2.77556e-14
1991-07-18,0.0303719
1991-07-19,-2.77556e-14
1991-07-20,-2.77556e-14
1991-07-21,-2.77556e-14
1991-07-22,-2.77556e-14
1991-07-23,-2.77556e-14
1991-07-24,-2.77556e-14
1991-07-25,-2.77556e-14
1991-07-26,-2.77556e-14
1991-07-27,0.00759297
1991-07-28,0.00759297
1991-07-29,-2.77556e-14
1991-07-30,0.0227789
1991-07-31,0.0303719
1991-08-01,0.00759297
1991-08-02,0.0759469
1991-08-03,0.00759297
1991-08-04,0.00759297
1991-08-05,0.00759297
1991-08-06,0.0151859
1991-08-07,-2.77556e-14
1991-08-08,-2.77556e-14
1991-08-09,0.0305001
1991-08-10,0.108273
1991-08-11,0.0322471
1991-08-12,0.00759297
1991-08-13,-2.77556e-14
1991-08-14,-2.77556e-14
1991-08-15,-2.77556e-14
1991-08-16,-2.77556e-14
1991-08-17,0.00333696
1991-08-18,-2.77556e-14
1991-08-19,0.103631
1991-08-20,0.0151859
1991-08-21,-2.77556e-14
1991-08-22,0.0941808
1991-08-23,-2.77556e-14
1991-08-24,0.0423778
1991-08-25,0.00759297
1991-08-26,0.194451
1991-08-27,0.0379648
1991-08-28,0.00759297
1991-08-29,-2.77556e-14
1991-08-30,0.0560094
1991-08-31,0.0151859
1991-09-01,0.00984871
1991-09-02,-2.77556e-14
1991-09-03,0.00759297
1991-09-04,0.00759297
1991-09-05,-2.77556e-14
1991-09-06,-2.77556e-14
1991-09-07,-2.77556e-14
1991-09-08,-2.77556e-14
1991-09-09,-2.77556e-14
1991-09-10,0.00759297
1991-09-11,-2.77556e-14
1991-09-12,-2.77556e-14
1991-09-13,0.220627
1991-09-14,0.409399
1991-09-15,0.158071
1991-09-16,0.0227789
1991-09-17,-2.77556e-14
1991-09-18,-2.77556e-14
1991-09-19,0.183524
1991-09-20,0.330731
1991-09-21,0.728438
1991-09-22,0.269874
1991-09-23,-2.77556e-14
1991-09-24,-2.77556e-14
1991-09-25,0.00759297
1991-09-26,-2.77556e-14
1991-09-27,-2.77556e-14
1991-09-28,-2.77556e-14
1991-09-29,-2.77556e-14
1991-09-30,0.112698
1991-10-01,-2.77556e-14
1991-10-02,-2.77556e-14
1991-10-03,-2.77556e-14
1991-10-04,-2.77556e-14
1991-10-05,0.00759297
1991-10-06,-2.77556e-14
1991-10-07,-2.77556e-14
1991-10-08,-2.77556e-14
1991-10-09,-2.77556e-14
1991-10-10,-2.77556e-14
1991-10-11,0.642034
1991-10-12,-2.77556e-14
1991-10-13,-2.77556e-14
1991-10-14,-2.77556e-14
1991-10-15,-2.77556e-14
1991-10-16,0.00759297
1991-10-17,0.118468
1991-10-18,0.0227789
1991-10-19,-2.77556e-14
1991-10-20,-2.77556e-14
1991-10-21,-2.77556e-14
1991-10-22,0.718671
1991-10-23,0.00759297
1991-10-24,0.3274
1991-10-25,-2.77556e-14
1991-10-26,-2.77556e-14
1991-10-27,-2.77556e-14
1991-10-28,-2.77556e-14
1991-10-29,-2.77556e-14
1991-10-30,-2.77556e-14
1991-10-31,-2.77556e-14
1991-11-01,-2.77556e-14
1991-11-02,-2.77556e-14
1991-11-03,-2.77556e-14
1991-11-04,-2.77556e-14
1991-11-05,-2.77556e-14
1991-11-06,-2.77556e-14
1991-11-07,-2.77556e-14
1991-11-08,-2.77556e-14
1991-11-09,-2.77556e-14
1991-11-10,-2.77556e-14
1991-11-11,2.16444
1991-11-12,0.214881
1991-11-13,0.0259982
1991-11-14,-2.77556e-14
1991-11-15,-2.77556e-14
1991-11-16,-2.77556e-14
1991-11-17,-2.77556e-14
1991-11-18,-2.77556e-14
1991-11-19,-2.77556e-14
1991-11-20,-2.77556e-14
1991-11-21,-2.77556e-14
1991-11-22,0.0385149
1991-11-23,1.06927
1991-11-24,1.2449
1991-11-25,-2.77556e-14
1991-11-26,-2.77556e-14
1991-11-27,-2.77556e-14
1991-11-28,0.193589
1991-11-29,0.787235
1991-11-30,-2.77556e-14
1991-12-01,-2.77556e-14
1991-12-02,-2.77556e-14
1991-12-03,0.646667
1991-12-04,5.16805
1991-12-05,-2.77556e-14
1991-12-06,-2.77556e-14
1991-12-07,17.7864
1991-12-08,3.1595
1991-12-09,0.00759297
1991-12-10,-2.77556e-14
1991-12-11,-2.77556e-14
1991-12-12,-2.77556e-14
1991-12-13,-2.77556e-14
1991-12-14,0.00759297
1991-12-15,-2.77556e-14
1991-12-16,0.468923
1991-12-17,5.44665
1991-12-18,0.182348
1991-12-19,-2.77556e-14
1991-12-20,-2.77556e-14
1991-12-21,-2.77556e-14
1991-12-22,0.00759297
1991-12-23,10.7625
1991-12-24,10.5854
1991-12-25,15.4957
1991-12-26,1.9196
1991-12-27,0.165935
1991-12-28,0.111898
1991-12-29,0.162157
1991-12-30,0.107337
1991-12-31,0.0754853
1992-01-01,1.16441
1992-01-02,0.330003
1992-01-03,-2.77556e-14
1992-01-04,-2.77556e-14
1992-01-05,2.6644
1992-01-06,12.1017
1992-01-07,2.92987
1992-01-08,0.221709
1992-01-09,-2.77556e-14
1992-01-10,0.0431401
1992-01-11,4.06023
1992-01-12,0.106393
1992-01-13,-2.77556e-14
1992-01-14,0.446367
1992-01-15,0.407497
1992-01-16,0.00759297
1992-01-17,-2.77556e-14
1992-01-18,-2.77556e-14
1992-01-19,-2.77556e-14
1992-01-20,-2.77556e-14
1992-01-21,-2.77556e-14
1992-01-22,0.0151859
1992-01-23,-2.77556e-14
1992-01-24,0.0151859
1992-01-25,0.0129365
1992-01-26,4.322
1992-01-27,7.69869
1992-01-28,0.139502
1992-01-29,0.00759297
1992-01-30,0.197494
1992-01-31,0.0853227
1992-02-01,-2.77556e-14
1992-02-02,0.00759297
1992-02-03,-2.77556e-14
1992-02-04,0.153973
1992-02-05,9.07115
1992-02-06,2.96346
1992-02-07,0.0630121
1992-02-08,0.00759297
1992-02-09,0.0141507
1992-02-10,-2.77556e-14
1992-02-11,0.986681
1992-02-12,1.86768
1992-02-13,0.70329
1992-02-14,0.159577
1992-02-15,0.0529402
1992-02-16,-2.77556e-14
1992-02-17,-2.77556e-14
1992-02-18,1.60736
1992-02-19,-2.77556e-14
1992-02-20,0.593399
1992-02-21,4.64442
1992-02-22,0.514154
1992-02-23,1.01914
1992-02-24,1.39913
1992-02-25,1.62321
1992-02-26,-2.77556e-14
1992-02-27,-2.77556e-14
1992-02-28,0.200975
1992-02-29,-2.77556e-14
1992-03-01,-2.77556e-14
1992-03-02,-2.77556e-14
1992-03-03,0.0273436
1992-03-04,0.335207
1992-03-05,0.389287
1992-03-06,0.434196
1992-03-07,0.821128
1992-03-08,0.00785561
1992-03-09,0.00759297
1992-03-10,1.80799
1992-03-11,0.87063
1992-03-12,0.0227789
1992-03-13,0.00673914
1992-03-14,-2.77556e-14
1992-03-15,-2.77556e-14
1992-03-16,-2.77556e-14
1992-03-17,0.0698899
1992-03-18,0.514866
1992-03-19,0.129129
1992-03-20,0.000220448
1992-03-21,0.230115
1992-03-22,0.0441661
1992-03-23,0.00759297
1992-03-24,-2.77556e-14
1992-03-25,-2.77556e-14
1992-03-26,-2.77556e-14
1992-03-27,-2.77556e-14
1992-03-28,0.0984394
1992-03-29,1.95813
1992-03-30,1.08597
1992-03-31,0.187945
1992-04-01,-2.77556e-14
1992-04-02,-2.77556e-14
1992-04-03,0.00759297
1992-04-04,-2.77556e-14
1992-04-05,0.0151859
1992-04-06,0.0727776
1992-04-07,0.0151859
1992-04-08,-2.77556e-14
1992-04-09,-2.77556e-14
1992-04-10,-2.77556e-14
1992-04-11,-2.77556e-14
1992-04-12,0.0151859
1992-04-13,5.01908
1992-04-14,5.72833
1992-04-15,0.055016
1992-04-16,-2.77556e-14
1992-04-17,-2.77556e-14
1992-04-18,-2.77556e-14
1992-04-19,-2.77556e-14
1992-04-20,-2.77556e-14
1992-04-21,-2.77556e-14
1992-04-22,0.00875002
1992-04-23,-2.77556e-14
1992-04-24,-2.77556e-14
1992-04-25,-2.77556e-14
1992-04-26,-2.77556e-14
1992-04-27,-2.77556e-14
1992-04-28,-2.77556e-14
1992-04-29,-2.77556e-14
1992-04-30,-2.77556e-14
1992-05-01,-2.77556e-14
1992-05-02,-2.77556e-14
1992-05-03,-2.77556e-14
1992-05-04,-2.77556e-14
1992-05-05,-2.77556e-14
1992-05-06,0.0620078
1992-05-07,0.996784
1992-05-08,-2.77556e-14
1992-05-09,-2.77556e-14
1992-05-10,0.54256
1992-05-11,0.214593
1992-05-12,-2.77556e-14
1992-05-13,-2.77556e-14
1992-05-14,-2.77556e-14
1992-05-15,-2.77556e-14
1992-05-16,0.0767093
1992-05-17,0.115851
1992-05-18,0.0455578
1992-05-19,-2.77556e-14
1992-05-20,-2.77556e-14
1992-05-21,0.00759297
1992-05-22,0.0303719
1992-05-23,0.00759297
1992-05-24,0.00759297
1992-05-25,-2.77556e-14
1992-05-26,-2.77556e-14
1992-05-27,-2.77556e-14
1992-05-28,-2.77556e-14
1992-05-29,-2.77556e-14
1992-05-30,-2.77556e-14
1992-05-31,0.00759297
1992-06-01,-2.77556e-14
1992-06-02,-2.77556e-14
1992-06-03,-2.77556e-14
1992-06-04,-2.77556e-14
1992-06-05,-2.77556e-14
1992-06-06,-2.77556e-14
1992-06-07,-2.77556e-14
1992-06-08,0.00759297
1992-06-09,-2.77556e-14
1992-06-10,0.0719606
1992-06-11,0.0772186
1992-06-12,0.453598
1992-06-13,0.0379641
1992-06-14,-2.77556e-14
1992-06-15,-2.77556e-14
1992-06-16,0.00759297
1992-06-17,0.0242807
1992-06-18,-2.77556e-14
1992-06-19,-2.77556e-14
1992-06-20,-2.77556e-14
1992-06-21,0.00759297
1992-06-22,-2.77556e-14
1992-06-23,0.00759297
1992-06-24,-2.77556e-14
1992-06-25,-2.77556e-14
1992-06-26,-2.77556e-14
1992-06-27,-2.77556e-14
1992-06-28,-2.77556e-14
1992-06-29,0.0189299
1992-06-30,-2.77556e-14
1992-07-01,-2.77556e-14
1992-07-02,-2.77556e-14
1992-07-03,-2.77556e-14
1992-07-04,-2.77556e-14
1992-07-05,0.00759297
1992-07-06,-2.77556e-14
1992-07-07,-2.77556e-14
1992-07-08,-2.77556e-14
1992-07-09,-2.77556e-14
1992-07-10,-2.77556e-14
1992-07-11,-2.77556e-14
1992-07-12,0.0106169
1992-07-13,0.0301322
1992-07-14,-2.77556e-14
1992-07-15,-2.77556e-14
1992-07-16,-2.77556e-14
1992-07-17,-2.77556e-14
1992-07-18,0.00759297
1992-07-19,-2.77556e-14
1992-07-20,0.00759297
1992-07-21,0.00759297
1992-07-22,0.00833645
1992-07-23,-2.77556e-14
1992-07-24,0.00759297
1992-07-25,0.0759504
1992-07-26,0.00759297
1992-07-27,0.0132693
1992-07-28,0.0531508
1992-07-29,0.00759297
1992-07-30,-2.77556e-14
1992-07-31,-2.77556e-14
1992-08-01,0.128713
1992-08-02,-2.77556e-14
1992-08-03,0.0151859
1992-08-04,0.0341043
1992-08-05,0.0227789
1992-08-06,-2.77556e-14
1992-08-07,-2.77556e-14
1992-08-08,0.00759297
1992-08-09,-2.77556e-14
1992-08-10,0.0682795
1992-08-11,-2.77556e-14
1992-08-12,-2.77556e-14
1992-08-13,-2.77556e-14
1992-08-14,0.0151859
1992-08-15,-2.77556e-14
1992-08-16,-2.77556e-14
1992-08-17,0.0227789
1992-08-18,0.0428411
1992-08-19,0.00759297
1992-08-20,-2.77556e-14
1992-08-21,0.0303719
1992-08-22,-2.77556e-14
1992-08-23,-2.77556e-14
1992-08-24,0.350455
1992-08-25,0.229196
1992-08-26,0.221642
1992-08-27,0.0456452
1992-08-28,0.0783668
1992-08-29,-2.77556e-14
1992-08-30,0.0227789
1992-08-31,0.283522
1992-09-01,0.0379648
1992-09-02,0.00759297
1992-09-03,-2.77556e-14
1992-09-04,0.00759297
1992-09-05,-2.77556e-14
1992-09-06,-2.77556e-14
1992-09-07,0.170805
1992-09-08,-2.77556e-14
1992-09-09,-2.77556e-14
1992-09-10,-2.77556e-14
1992-09-11,0.00759297
1992-09-12,-2.77556e-14
1992-09-13,0.0227789
1992-09-14,0.0335198
1992-09-15,-2.77556e-14
1992-09-16,-2.77556e-14
1992-09-17,0.0151859
1992-09-18,-2.77556e-14
1992-09-19,-2.77556e-14
1992-09-20,0.216848
1992-09-21,-2.77556e-14
1992-09-22,-2.77556e-14
1992-09-23,-2.77556e-14
1992-09-24,0.0383439
1992-09-25,-2.77556e-14
