date,pr_EC-Earth3-Veg
1991-01-01,-2.77556e-14
1991-01-02,-2.77556e-14
1991-01-03,-2.77556e-14
1991-01-04,0.0255238
1991-01-05,11.7272
1991-01-06,29.4448
1991-01-07,9.71849
1991-01-08,1.58007
1991-01-09,-2.77556e-14
1991-01-10,-2.77556e-14
1991-01-11,0.335494
1991-01-12,0.150778
1991-01-13,43.0214
1991-01-14,44.9124
1991-01-15,33.2493
1991-01-16,13.6789
1991-01-17,9.91338
1991-01-18,0.0332403
1991-01-19,-2.77556e-14
1991-01-20,-2.77556e-14
1991-01-21,24.2947
1991-01-22,12.3771
1991-01-23,7.35657
1991-01-24,1.46707
1991-01-25,1.12002
1991-01-26,5.78362
1991-01-27,0.176903
1991-01-28,-2.77556e-14
1991-01-29,-2.77556e-14
1991-01-30,-2.77556e-14
1991-01-31,-2.77556e-14
1991-02-01,-2.77556e-14
1991-02-02,-2.77556e-14
1991-02-03,0.0227789
1991-02-04,1.25189e-05
1991-02-05,0.651027
1991-02-06,5.94528
1991-02-07,5.46286
1991-02-08,2.64385
1991-02-09,0.344158
1991-02-10,0.06359
1991-02-11,-2.77556e-14
1991-02-12,4.26285
1991-02-13,0.258262
1991-02-14,0.42911
1991-02-15,-2.77556e-14
1991-02-16,0.147396
1991-02-17,0.836462
1991-02-18,0.0683824
1991-02-19,4.50051
1991-02-20,0.530585
1991-02-21,2.9803
1991-02-22,1.80476
1991-02-23,0.0138214
1991-02-24,0.00106698
1991-02-25,2.78909
1991-02-26,0.704046
1991-02-27,5.70595
1991-02-28,0.569643
1991-03-01,7.53987
1991-03-02,0.0137233
1991-03-03,4.98811
1991-03-04,2.13719
1991-03-05,1.742
1991-03-06,0.0283889
1991-03-07,0.323899
1991-03-08,1.99736e-06
1991-03-09,0.215749
1991-03-10,8.11023
1991-03-11,5.98608
1991-03-12,6.35455
1991-03-13,0.912286
1991-03-14,-2.77556e-14
1991-03-15,0.594239
1991-03-16,0.923615
1991-03-17,-2.77556e-14
1991-03-18,0.0227789
1991-03-19,0.58474
1991-03-20,0.0987623
1991-03-21,-2.77556e-14
1991-03-22,-2.77556e-14
1991-03-23,-2.77556e-14
1991-03-24,-2.77556e-14
1991-03-25,-2.77556e-14
1991-03-26,-2.77556e-14
1991-03-27,-2.77556e-14
1991-03-28,-2.77556e-14
1991-03-29,0.0303719
1991-03-30,0.977517
1991-03-31,6.78782
1991-04-01,-2.77556e-14
1991-04-02,-2.77556e-14
1991-04-03,0.0192207
1991-04-04,1.30047
1991-04-05,0.972674
1991-04-06,0.433328
1991-04-07,0.0646712
1991-04-08,-2.77556e-14
1991-04-09,-2.77556e-14
1991-04-10,-2.77556e-14
1991-04-11,0.570593
1991-04-12,0.911196
1991-04-13,4.17802
1991-04-14,11.3256
1991-04-15,3.41788
1991-04-16,2.19883
1991-04-17,0.899019
1991-04-18,5.65163
1991-04-19,0.42699
1991-04-20,-2.77556e-14
1991-04-21,-2.77556e-14
1991-04-22,-2.77556e-14
1991-04-23,1.02598
1991-04-24,2.55268
1991-04-25,2.52519
1991-04-26,-2.77556e-14
1991-04-27,0.00759297
1991-04-28,-2.77556e-14
1991-04-29,-2.77556e-14
1991-04-30,-2.77556e-14
1991-05-01,-2.77556e-14
1991-05-02,-2.77556e-14
1991-05-03,-2.77556e-14
1991-05-04,-2.77556e-14
1991-05-05,-2.77556e-14
1991-05-06,-2.77556e-14
1991-05-07,-2.77556e-14
1991-05-08,-2.77556e-14
1991-05-09,-2.77556e-14
1991-05-10,-2.77556e-14
1991-05-11,-2.77556e-14
1991-05-12,-2.77556e-14
1991-05-13,-2.77556e-14
1991-05-14,0.0151859
1991-05-15,0.156703
1991-05-16,0.29623
1991-05-17,0.00759297
1991-05-18,0.0303719
1991-05-19,0.0592599
1991-05-20,-2.77556e-14
1991-05-21,-2.77556e-14
1991-05-22,-2.77556e-14
1991-05-23,-2.77556e-14
1991-05-24,-2.77556e-14
1991-05-25,-2.77556e-14
1991-05-26,-2.77556e-14
1991-05-27,-2.77556e-14
1991-05-28,-2.77556e-14
1991-05-29,-2.77556e-14
1991-05-30,-2.77556e-14
1991-05-31,-2.77556e-14
1991-06-01,-2.77556e-14
1991-06-02,-2.77556e-14
1991-06-03,0.292356
1991-06-04,0.00759297
1991-06-05,0.0694445
1991-06-06,0.00759297
1991-06-07,-2.77556e-14
1991-06-08,0.00759297
1991-06-09,0.50669
1991-06-10,-2.77556e-14
1991-06-11,0.142281
1991-06-12,-2.77556e-14
1991-06-13,-2.77556e-14
1991-06-14,-2.77556e-14
1991-06-15,-2.77556e-14
1991-06-16,-2.77556e-14
1991-06-17,-2.77556e-14
1991-06-18,-2.77556e-14
1991-06-19,-2.77556e-14
1991-06-20,0.0376731
1991-06-21,0.0941296
1991-06-22,0.0323822
1991-06-23,0.200781
1991-06-24,-2.77556e-14
1991-06-25,-2.77556e-14
1991-06-26,-2.77556e-14
1991-06-27,-2.77556e-14
1991-06-28,0.00759297
1991-06-29,0.0514064
1991-06-30,-2.77556e-14
1991-07-01,-2.77556e-14
1991-07-02,-2.77556e-14
1991-07-03,-2.77556e-14
1991-07-04,-2.77556e-14
1991-07-05,-2.77556e-14
1991-07-06,-2.77556e-14
1991-07-07,-2.77556e-14
1991-07-08,-2.77556e-14
1991-07-09,0.00759297
1991-07-10,0.0525878
1991-07-11,-2.77556e-14
1991-07-12,-2.77556e-14
1991-07-13,-2.77556e-14
1991-07-14,-2.77556e-14
1991-07-15,0.00759297
1991-07-16,0.252884
1991-07-17,0.0151859
1991-07-18,0.0455578
1991-07-19,-2.77556e-14
1991-07-20,-2.77556e-14
1991-07-21,-2.77556e-14
1991-07-22,-2.77556e-14
1991-07-23,0.00759297
1991-07-24,0.0632088
1991-07-25,0.00759297
1991-07-26,-2.77556e-14
1991-07-27,-2.77556e-14
1991-07-28,0.00759297
1991-07-29,-2.77556e-14
1991-07-30,0.0151859
1991-07-31,0.161335
1991-08-01,0.0151859
1991-08-02,-2.77556e-14
1991-08-03,0.0151859
1991-08-04,0.110965
1991-08-05,0.0407149
1991-08-06,0.0151859
1991-08-07,0.0151859
1991-08-08,0.0227789
1991-08-09,0.0303719
1991-08-10,0.0151859
1991-08-11,0.00759297
1991-08-12,-2.77556e-14
1991-08-13,0.00759297
1991-08-14,1.52619
1991-08-15,-2.77556e-14
1991-08-16,0.00552716
1991-08-17,-2.77556e-14
1991-08-18,-2.77556e-14
1991-08-19,-2.77556e-14
1991-08-20,-2.77556e-14
1991-08-21,-2.77556e-14
1991-08-22,0.00759297
1991-08-23,0.00759297
1991-08-24,0.00759297
1991-08-25,0.0379648
1991-08-26,0.00759297
1991-08-27,-2.77556e-14
1991-08-28,0.0303719
1991-08-29,0.0151859
1991-08-30,-2.77556e-14
1991-08-31,-2.77556e-14
1991-09-01,-2.77556e-14
1991-09-02,0.0211637
1991-09-03,-2.77556e-14
1991-09-04,-2.77556e-14
1991-09-05,-2.77556e-14
1991-09-06,-2.77556e-14
1991-09-07,-2.77556e-14
1991-09-08,0.00759297
1991-09-09,-2.77556e-14
1991-09-10,-2.77556e-14
1991-09-11,0.00759297
1991-09-12,0.0769237
1991-09-13,0.132202
1991-09-14,0.0366866
1991-09-15,0.00759297
1991-09-16,-2.77556e-14
1991-09-17,-2.77556e-14
1991-09-18,-2.77556e-14
1991-09-19,0.109131
1991-09-20,0.00759297
1991-09-21,-2.77556e-14
1991-09-22,-2.77556e-14
1991-09-23,-2.77556e-14
1991-09-24,0.461602
1991-09-25,0.222878
1991-09-26,-2.77556e-14
1991-09-27,0.00759297
1991-09-28,-2.77556e-14
1991-09-29,-2.77556e-14
1991-09-30,0.318973
1991-10-01,0.314792
1991-10-02,0.213024
1991-10-03,-2.77556e-14
1991-10-04,-2.77556e-14
1991-10-05,-2.77556e-14
1991-10-06,0.00759297
1991-10-07,-2.77556e-14
1991-10-08,-2.77556e-14
1991-10-09,-2.77556e-14
1991-10-10,-2.77556e-14
1991-10-11,0.00759297
1991-10-12,-2.77556e-14
1991-10-13,-2.77556e-14
1991-10-14,0.00759297
1991-10-15,-2.77556e-14
1991-10-16,-2.77556e-14
1991-10-17,-2.77556e-14
1991-10-18,-2.77556e-14
1991-10-19,0.00759297
1991-10-20,0.0779832
1991-10-21,-2.77556e-14
1991-10-22,-2.77556e-14
1991-10-23,0.231835
1991-10-24,3.78591
1991-10-25,3.1068
1991-10-26,0.882627
1991-10-27,0.0151859
1991-10-28,0.027011
1991-10-29,0.0460528
1991-10-30,0.0275342
1991-10-31,-2.77556e-14
1991-11-01,-2.77556e-14
1991-11-02,-2.77556e-14
1991-11-03,-2.77556e-14
1991-11-04,-2.77556e-14
1991-11-05,0.0227253
1991-11-06,0.550245
1991-11-07,-2.77556e-14
1991-11-08,-2.77556e-14
1991-11-09,-2.77556e-14
1991-11-10,-2.77556e-14
1991-11-11,-2.77556e-14
1991-11-12,-2.77556e-14
1991-11-13,0.0227789
1991-11-14,0.451375
1991-11-15,0.612867
1991-11-16,-2.77556e-14
1991-11-17,-2.77556e-14
1991-11-18,-2.77556e-14
1991-11-19,-2.77556e-14
1991-11-20,-2.77556e-14
1991-11-21,-2.77556e-14
1991-11-22,-2.77556e-14
1991-11-23,3.12037
1991-11-24,0.0618681
1991-11-25,-2.77556e-14
1991-11-26,-2.77556e-14
1991-11-27,-2.77556e-14
1991-11-28,-2.77556e-14
1991-11-29,-2.77556e-14
1991-11-30,-2.77556e-14
1991-12-01,0.00759297
1991-12-02,1.36287
1991-12-03,5.63512
1991-12-04,-2.77556e-14
1991-12-05,-2.77556e-14
1991-12-06,-2.77556e-14
1991-12-07,-2.77556e-14
1991-12-08,-2.77556e-14
1991-12-09,-2.77556e-14
1991-12-10,-2.77556e-14
1991-12-11,-2.77556e-14
1991-12-12,-2.77556e-14
1991-12-13,0.00759297
1991-12-14,0.08772
1991-12-15,-2.77556e-14
1991-12-16,4.06343
1991-12-17,0.703016
1991-12-18,0.518415
1991-12-19,0.51017
1991-12-20,-2.77556e-14
1991-12-21,-2.77556e-14
1991-12-22,-2.77556e-14
1991-12-23,-2.77556e-14
1991-12-24,-2.77556e-14
1991-12-25,7.43743
1991-12-26,0.608261
1991-12-27,-2.77556e-14
1991-12-28,0.0503455
1991-12-29,0.0428645
1991-12-30,0.00759297
1991-12-31,-2.77556e-14
1992-01-01,0.0191969
1992-01-02,10.2624
1992-01-03,5.48975
1992-01-04,0.578379
1992-01-05,0.143788
1992-01-06,-2.77556e-14
1992-01-07,0.00759297
1992-01-08,0.113084
1992-01-09,0.102072
1992-01-10,0.0597122
1992-01-11,0.0837274
1992-01-12,-2.77556e-14
1992-01-13,-2.77556e-14
1992-01-14,-2.77556e-14
1992-01-15,-2.77556e-14
1992-01-16,4.27008
1992-01-17,0.0916147
1992-01-18,8.86764
1992-01-19,5.7937
1992-01-20,4.72506
1992-01-21,0.0215929
1992-01-22,-2.77556e-14
1992-01-23,-2.77556e-14
1992-01-24,3.70518
1992-01-25,0.321531
1992-01-26,0.0227789
1992-01-27,0.0674927
1992-01-28,0.170601
1992-01-29,0.167186
1992-01-30,-2.77556e-14
1992-01-31,-2.77556e-14
1992-02-01,-2.77556e-14
1992-02-02,-2.77556e-14
1992-02-03,1.60364
1992-02-04,2.91345
1992-02-05,0.739418
1992-02-06,0.108422
1992-02-07,-2.77556e-14
1992-02-08,0.00759297
1992-02-09,6.28665
1992-02-10,1.61463
1992-02-11,0.425144
1992-02-12,0.777747
1992-02-13,4.78441
1992-02-14,2.23281
1992-02-15,1.79894
1992-02-16,-2.77556e-14
1992-02-17,-2.77556e-14
1992-02-18,0.116955
1992-02-19,0.6453
1992-02-20,0.0164148
1992-02-21,4.74157
1992-02-22,9.98524
1992-02-23,0.630689
1992-02-24,-2.77556e-14
1992-02-25,7.94917
1992-02-26,10.9517
1992-02-27,2.42729
1992-02-28,0.0265098
1992-02-29,11.6797
1992-03-01,3.81427
1992-03-02,-2.77556e-14
1992-03-03,-2.77556e-14
1992-03-04,0.0227789
1992-03-05,-2.77556e-14
1992-03-06,-2.77556e-14
1992-03-07,0.0074583
1992-03-08,0.0103954
1992-03-09,15.7884
1992-03-10,12.5202
1992-03-11,0.398568
1992-03-12,-2.77556e-14
1992-03-13,-2.77556e-14
1992-03-14,-2.77556e-14
1992-03-15,0.00759297
1992-03-16,0.00763208
1992-03-17,-2.77556e-14
1992-03-18,-2.77556e-14
1992-03-19,-2.77556e-14
1992-03-20,-2.77556e-14
1992-03-21,0.108225
1992-03-22,0.818983
1992-03-23,0.191377
1992-03-24,0.103929
1992-03-25,3.51206
1992-03-26,2.04417
1992-03-27,0.337158
1992-03-28,-2.77556e-14
1992-03-29,0.144378
1992-03-30,2.29515
1992-03-31,0.0956095
1992-04-01,-2.77556e-14
1992-04-02,-2.77556e-14
1992-04-03,-2.77556e-14
1992-04-04,0.0403436
1992-04-05,0.361935
1992-04-06,0.0158013
1992-04-07,0.00759297
1992-04-08,0.923917
1992-04-09,1.8622
1992-04-10,3.7058
1992-04-11,0.0151859
1992-04-12,-2.77556e-14
1992-04-13,0.0163829
1992-04-14,-2.77556e-14
1992-04-15,0.798447
1992-04-16,0.00871388
1992-04-17,-2.77556e-14
1992-04-18,-2.77556e-14
1992-04-19,-2.77556e-14
1992-04-20,-2.77556e-14
1992-04-21,-2.77556e-14
1992-04-22,-2.77556e-14
1992-04-23,-2.77556e-14
1992-04-24,0.133923
1992-04-25,1.27701
1992-04-26,0.274322
1992-04-27,2.24615
1992-04-28,-2.77556e-14
1992-04-29,-2.77556e-14
1992-04-30,-2.77556e-14
1992-05-01,-2.77556e-14
1992-05-02,0.00757746
1992-05-03,0.00759297
1992-05-04,-2.77556e-14
1992-05-05,-2.77556e-14
1992-05-06,0.0888979
1992-05-07,0.00759297
1992-05-08,-2.77556e-14
1992-05-09,-2.77556e-14
1992-05-10,-2.77556e-14
1992-05-11,-2.77556e-14
1992-05-12,-2.77556e-14
1992-05-13,-2.77556e-14
1992-05-14,-2.77556e-14
1992-05-15,-2.77556e-14
1992-05-16,-2.77556e-14
1992-05-17,-2.77556e-14
1992-05-18,-2.77556e-14
1992-05-19,-2.77556e-14
1992-05-20,-2.77556e-14
1992-05-21,-2.77556e-14
1992-05-22,-2.77556e-14
1992-05-23,-2.77556e-14
1992-05-24,-2.77556e-14
1992-05-25,-2.77556e-14
1992-05-26,-2.77556e-14
1992-05-27,-2.77556e-14
1992-05-28,-2.77556e-14
1992-05-29,-2.77556e-14
1992-05-30,0.00759297
1992-05-31,-2.77556e-14
1992-06-01,0.00759297
1992-06-02,0.372061
1992-06-03,0.907568
1992-06-04,0.370983
1992-06-05,1.62122
1992-06-06,0.00759297
1992-06-07,0.0531508
1992-06-08,0.00759297
1992-06-09,-2.77556e-14
1992-06-10,-2.77556e-14
1992-06-11,-2.77556e-14
1992-06-12,0.0227789
1992-06-13,-2.77556e-14
1992-06-14,0.0269315
1992-06-15,-2.77556e-14
1992-06-16,-2.77556e-14
1992-06-17,-2.77556e-14
1992-06-18,-2.77556e-14
1992-06-19,-2.77556e-14
1992-06-20,0.0227789
1992-06-21,0.00759297
1992-06-22,0.00759297
1992-06-23,-2.77556e-14
1992-06-24,0.00759297
1992-06-25,0.0303719
1992-06-26,0.00615268
1992-06-27,-2.77556e-14
1992-06-28,0.00759297
1992-06-29,0.0354182
1992-06-30,0.0235792
1992-07-01,0.0141677
1992-07-02,-2.77556e-14
1992-07-03,0.012997
1992-07-04,0.0823725
1992-07-05,0.0332086
1992-07-06,0.0455578
1992-07-07,0.020975
1992-07-08,-2.77556e-14
1992-07-09,-2.77556e-14
1992-07-10,-2.77556e-14
1992-07-11,-2.77556e-14
1992-07-12,-2.77556e-14
1992-07-13,-2.77556e-14
1992-07-14,-2.77556e-14
1992-07-15,-2.77556e-14
1992-07-16,-2.77556e-14
1992-07-17,0.0061645
1992-07-18,0.0227789
1992-07-19,-2.77556e-14
1992-07-20,-2.77556e-14
1992-07-21,-2.77556e-14
1992-07-22,-2.77556e-14
1992-07-23,-2.77556e-14
1992-07-24,0.0923607
1992-07-25,0.0227789
1992-07-26,0.0255478
1992-07-27,0.0902503
1992-07-28,0.0531508
1992-07-29,-2.77556e-14
1992-07-30,-2.77556e-14
1992-07-31,0.0151859
1992-08-01,0.0236855
1992-08-02,0.00759297
1992-08-03,0.0151859
1992-08-04,0.0379648
1992-08-05,0.0227789
1992-08-06,0.0419215
1992-08-07,0.267153
1992-08-08,0.215297
1992-08-09,-2.77556e-14
1992-08-10,-2.77556e-14
1992-08-11,0.00759297
1992-08-12,0.208898
1992-08-13,0.00759297
1992-08-14,-2.77556e-14
1992-08-15,0.0303719
1992-08-16,0.0151859
1992-08-17,0.134846
1992-08-18,0.0227789
1992-08-19,0.00759297
1992-08-20,0.0476145
1992-08-21,0.0682788
1992-08-22,0.0633869
1992-08-23,0.0151859
1992-08-24,0.00759297
1992-08-25,-2.77556e-14
1992-08-26,-2.77556e-14
1992-08-27,-2.77556e-14
1992-08-28,-2.77556e-14
1992-08-29,-2.77556e-14
1992-08-30,-2.77556e-14
1992-08-31,-2.77556e-14
1992-09-01,-2.77556e-14
1992-09-02,-2.77556e-14
1992-09-03,-2.77556e-14
1992-09-04,-2.77556e-14
1992-09-05,-2.77556e-14
1992-09-06,-2.77556e-14
1992-09-07,-2.77556e-14
1992-09-08,0.0151859
1992-09-09,-2.77556e-14
1992-09-10,-2.77556e-14
1992-09-11,-2.77556e-14
1992-09-12,-2.77556e-14
1992-09-13,-2.77556e-14
1992-09-14,0.00759297
1992-09-15,0.0409093
1992-09-16,0.0671534
1992-09-17,0.0151859
1992-09-18,0.00759297
1992-09-19,-2.77556e-14
1992-09-20,-2.77556e-14
1992-09-21,-2.77556e-14
1992-09-22,-2.77556e-14
1992-09-23,0.00759297
1992-09-24,0.065011
