date,pr_MIROC6
1991-01-01,0.237301
1991-01-02,-2.77556e-14
1991-01-03,0.373557
1991-01-04,0.166976
1991-01-05,-2.77556e-14
1991-01-06,0.0905325
1991-01-07,0.00759297
1991-01-08,-2.77556e-14
1991-01-09,-2.77556e-14
1991-01-10,-2.77556e-14
1991-01-11,-2.77556e-14
1991-01-12,-2.77556e-14
1991-01-13,-2.77556e-14
1991-01-14,0.156068
1991-01-15,0.046864
1991-01-16,-2.77556e-14
1991-01-17,0.112835
1991-01-18,0.0829297
1991-01-19,2.81871
1991-01-20,14.4857
1991-01-21,3.62535
1991-01-22,4.65356
1991-01-23,12.0648
1991-01-24,2.85246
1991-01-25,3.90865
1991-01-26,3.7978
1991-01-27,0.0153326
1991-01-28,-2.77556e-14
1991-01-29,0.680735
1991-01-30,1.11009
1991-01-31,0.289843
1991-02-01,0.0790194
1991-02-02,-2.77556e-14
1991-02-03,-2.77556e-14
1991-02-04,0.402572
1991-02-05,6.48386
1991-02-06,6.95968
1991-02-07,0.323786
1991-02-08,1.60159
1991-02-09,3.47129
1991-02-10,-2.77556e-14
1991-02-11,-2.77556e-14
1991-02-12,-2.77556e-14
1991-02-13,-2.77556e-14
1991-02-14,-2.77556e-14
1991-02-15,0.140247
1991-02-16,0.281275
1991-02-17,3.02325
1991-02-18,0.0545669
1991-02-19,-2.77556e-14
1991-02-20,-2.77556e-14
1991-02-21,2.7417
1991-02-22,0.177462
1991-02-23,0.0227789
1991-02-24,-2.77556e-14
1991-02-25,0.00143203
1991-02-26,-2.77556e-14
1991-02-27,-2.77556e-14
1991-02-28,-2.77556e-14
1991-03-01,-2.77556e-14
1991-03-02,0.0517082
1991-03-03,1.11279
1991-03-04,0.00759297
1991-03-05,0.291002
1991-03-06,-2.77556e-14
1991-03-07,-2.77556e-14
1991-03-08,-2.77556e-14
1991-03-09,-2.77556e-14
1991-03-10,-2.77556e-14
1991-03-11,-2.77556e-14
1991-03-12,-2.77556e-14
1991-03-13,-2.77556e-14
1991-03-14,-2.77556e-14
1991-03-15,-2.77556e-14
1991-03-16,-2.77556e-14
1991-03-17,-2.77556e-14
1991-03-18,0.00759297
1991-03-19,0.428692
1991-03-20,0.183449
1991-03-21,0.0867505
1991-03-22,7.87905
1991-03-23,31.6703
1991-03-24,18.2801
1991-03-25,0.107745
1991-03-26,0.502655
1991-03-27,-2.77556e-14
1991-03-28,0.0715568
1991-03-29,0.405067
1991-03-30,0.0151851
1991-03-31,0.0229181
1991-04-01,0.0705959
1991-04-02,-2.77556e-14
1991-04-03,0.177714
1991-04-04,1.12027
1991-04-05,0.0544556
1991-04-06,-2.77556e-14
1991-04-07,-2.77556e-14
1991-04-08,-2.77556e-14
1991-04-09,-2.77556e-14
1991-04-10,-2.77556e-14
1991-04-11,-2.77556e-14
1991-04-12,0.0298561
1991-04-13,-2.77556e-14
1991-04-14,-2.77556e-14
1991-04-15,-2.77556e-14
1991-04-16,-2.77556e-14
1991-04-17,-2.77556e-14
1991-04-18,-2.77556e-14
1991-04-19,0.333822
1991-04-20,1.29124
1991-04-21,-2.77556e-14
1991-04-22,-2.77556e-14
1991-04-23,0.317876
1991-04-24,0.0289622
1991-04-25,0.0164047
1991-04-26,-2.77556e-14
1991-04-27,-2.77556e-14
1991-04-28,-2.77556e-14
1991-04-29,-2.77556e-14
1991-04-30,0.0151859
1991-05-01,-2.77556e-14
1991-05-02,0.00759297
1991-05-03,-2.77556e-14
1991-05-04,-2.77556e-14
1991-05-05,-2.77556e-14
1991-05-06,-2.77556e-14
1991-05-07,-2.77556e-14
1991-05-08,-2.77556e-14
1991-05-09,-2.77556e-14
1991-05-10,-2.77556e-14
1991-05-11,-2.77556e-14
1991-05-12,-2.77556e-14
1991-05-13,-2.77556e-14
1991-05-14,-2.77556e-14
1991-05-15,-2.77556e-14
1991-05-16,-2.77556e-14
1991-05-17,0.0455578
1991-05-18,0.0151859
1991-05-19,-2.77556e-14
1991-05-20,-2.77556e-14
1991-05-21,-2.77556e-14
1991-05-22,-2.77556e-14
1991-05-23,-2.77556e-14
1991-05-24,-2.77556e-14
1991-05-25,-2.77556e-14
1991-05-26,0.14571
1991-05-27,0.00331749
1991-05-28,-2.77556e-14
1991-05-29,0.0303719
1991-05-30,-2.77556e-14
1991-05-31,-2.77556e-14
1991-06-01,0.171871
1991-06-02,-2.77556e-14
1991-06-03,0.174245
1991-06-04,-2.77556e-14
1991-06-05,-2.77556e-14
1991-06-06,-2.77556e-14
1991-06-07,0.338974
1991-06-08,0.251736
1991-06-09,-2.77556e-14
1991-06-10,-2.77556e-14
1991-06-11,-2.77556e-14
1991-06-12,-2.77556e-14
1991-06-13,-2.77556e-14
1991-06-14,0.0398851
1991-06-15,0.0385702
1991-06-16,-2.77556e-14
1991-06-17,-2.77556e-14
1991-06-18,-2.77556e-14
1991-06-19,-2.77556e-14
1991-06-20,-2.77556e-14
1991-06-21,-2.77556e-14
1991-06-22,-2.77556e-14
1991-06-23,-2.77556e-14
1991-06-24,-2.77556e-14
1991-06-25,-2.77556e-14
1991-06-26,-2.77556e-14
1991-06-27,-2.77556e-14
1991-06-28,0.0531508
1991-06-29,-2.77556e-14
1991-06-30,0.0663203
1991-07-01,-2.77556e-14
1991-07-02,-2.77556e-14
1991-07-03,-2.77556e-14
1991-07-04,-2.77556e-14
1991-07-05,-2.77556e-14
1991-07-06,-2.77556e-14
1991-07-07,-2.77556e-14
1991-07-08,-2.77556e-14
1991-07-09,-2.77556e-14
1991-07-10,-2.77556e-14
1991-07-11,-2.77556e-14
1991-07-12,-2.77556e-14
1991-07-13,-2.77556e-14
1991-07-14,-2.77556e-14
1991-07-15,-2.77556e-14
1991-07-16,-2.77556e-14
1991-07-17,-2.77556e-14
1991-07-18,-2.77556e-14
1991-07-19,-2.77556e-14
1991-07-20,-2.77556e-14
1991-07-21,-2.77556e-14
1991-07-22,-2.77556e-14
1991-07-23,-2.77556e-14
1991-07-24,-2.77556e-14
1991-07-25,-2.77556e-14
1991-07-26,-2.77556e-14
1991-07-27,0.0735409
1991-07-28,-2.77556e-14
1991-07-29,-2.77556e-14
1991-07-30,-2.77556e-14
1991-07-31,-2.77556e-14
1991-08-01,0.00759297
1991-08-02,0.00759297
1991-08-03,0.00759297
1991-08-04,-2.77556e-14
1991-08-05,-2.77556e-14
1991-08-06,0.0103844
1991-08-07,0.00759297
1991-08-08,0.00759297
1991-08-09,-2.77556e-14
1991-08-10,-2.77556e-14
1991-08-11,-2.77556e-14
1991-08-12,-2.77556e-14
1991-08-13,-2.77556e-14
1991-08-14,-2.77556e-14
1991-08-15,-2.77556e-14
1991-08-16,-2.77556e-14
1991-08-17,-2.77556e-14
1991-08-18,-2.77556e-14
1991-08-19,-2.77556e-14
1991-08-20,-2.77556e-14
1991-08-21,-2.77556e-14
1991-08-22,-2.77556e-14
1991-08-23,-2.77556e-14
1991-08-24,-2.77556e-14
1991-08-25,-2.77556e-14
1991-08-26,-2.77556e-14
1991-08-27,-2.77556e-14
1991-08-28,-2.77556e-14
1991-08-29,-2.77556e-14
1991-08-30,-2.77556e-14
1991-08-31,-2.77556e-14
1991-09-01,-2.77556e-14
1991-09-02,-2.77556e-14
1991-09-03,0.158905
1991-09-04,0.411159
1991-09-05,0.0527728
1991-09-06,0.0151859
1991-09-07,0.00759297
1991-09-08,-2.77556e-14
1991-09-09,-2.77556e-14
1991-09-10,0.0276902
1991-09-11,0.0585448
1991-09-12,0.0698735
1991-09-13,0.00759297
1991-09-14,-2.77556e-14
1991-09-15,-2.77556e-14
1991-09-16,0.00759297
1991-09-17,0.064429
1991-09-18,0.0530395
1991-09-19,-2.77556e-14
1991-09-20,-2.77556e-14
1991-09-21,-2.77556e-14
1991-09-22,-2.77556e-14
1991-09-23,-2.77556e-14
1991-09-24,-2.77556e-14
1991-09-25,-2.77556e-14
1991-09-26,-2.77556e-14
1991-09-27,-2.77556e-14
1991-09-28,-2.77556e-14
1991-09-29,-2.77556e-14
1991-09-30,-2.77556e-14
1991-10-01,-2.77556e-14
