date,pr_MPI-ESM1-2-HR
1991-01-01,1.46092
1991-01-02,0.122242
1991-01-03,0.141351
1991-01-04,0.075265
1991-01-05,0.30423
1991-01-06,0.131633
1991-01-07,0.0227789
1991-01-08,-2.77556e-14
1991-01-09,0.406818
1991-01-10,0.327169
1991-01-11,9.86034
1991-01-12,7.35835
1991-01-13,20.2476
1991-01-14,10.8202
1991-01-15,0.576025
1991-01-16,-2.77556e-14
1991-01-17,0.00759297
1991-01-18,0.0227789
1991-01-19,2.84036
1991-01-20,10.1283
1991-01-21,4.88474
1991-01-22,-2.77556e-14
1991-01-23,0.033357
1991-01-24,-2.77556e-14
1991-01-25,1.41485
1991-01-26,5.56301
1991-01-27,20.91
1991-01-28,9.32513
1991-01-29,5.70595
1991-01-30,0.676225
1991-01-31,0.204816
1991-02-01,-2.77556e-14
1991-02-02,0.237117
1991-02-03,6.65058
1991-02-04,0.365444
1991-02-05,2.20155
1991-02-06,0.642138
1991-02-07,11.1287
1991-02-08,7.79169
1991-02-09,4.67628
1991-02-10,9.34203
1991-02-11,9.73277
1991-02-12,7.81471
1991-02-13,9.94397
1991-02-14,11.6903
1991-02-15,3.40211
1991-02-16,8.98034
1991-02-17,0.522448
1991-02-18,18.2259
1991-02-19,1.18943
1991-02-20,0.0162859
1991-02-21,-2.77556e-14
1991-02-22,-2.77556e-14
1991-02-23,1.08257
1991-02-24,-2.77556e-14
1991-02-25,0.0269548
1991-02-26,0.663924
1991-02-27,1.57332
1991-02-28,0.0989563
1991-03-01,0.0111846
1991-03-02,0.0916378
1991-03-03,0.189318
1991-03-04,1.03193
1991-03-05,0.031604
1991-03-06,3.66483
1991-03-07,1.87909
1991-03-08,-2.77556e-14
1991-03-09,-2.77556e-14
1991-03-10,-2.77556e-14
1991-03-11,0.013069
1991-03-12,0.176735
1991-03-13,0.247775
1991-03-14,-2.77556e-14
1991-03-15,-2.77556e-14
1991-03-16,-2.77556e-14
1991-03-17,-2.77556e-14
1991-03-18,-2.77556e-14
1991-03-19,-2.77556e-14
1991-03-20,0.00759297
1991-03-21,0.0537494
1991-03-22,0.262831
1991-03-23,0.304011
1991-03-24,-2.77556e-14
1991-03-25,-2.77556e-14
1991-03-26,-2.77556e-14
