date,pr_NorESM2-MM
1991-01-01,-2.77556e-14
1991-01-02,2.97833
1991-01-03,22.3724
1991-01-04,0.501862
1991-01-05,0.0316226
1991-01-06,8.90188
1991-01-07,13.13
1991-01-08,14.5025
1991-01-09,4.82239
1991-01-10,1.205
1991-01-11,0.340111
1991-01-12,0.00759297
1991-01-13,-2.77556e-14
1991-01-14,-2.77556e-14
1991-01-15,0.0151859
1991-01-16,-2.77556e-14
1991-01-17,0.0524583
1991-01-18,1.15634
1991-01-19,0.926749
1991-01-20,10.985
1991-01-21,5.82852
1991-01-22,0.888923
1991-01-23,0.0352548
1991-01-24,0.511263
1991-01-25,16.8447
1991-01-26,1.20935
1991-01-27,-2.77556e-14
1991-01-28,-2.77556e-14
1991-01-29,4.98793
1991-01-30,14.7745
1991-01-31,5.98778
1991-02-01,6.52348
1991-02-02,13.1881
1991-02-03,7.47065
1991-02-04,0.529207
1991-02-05,-2.77556e-14
1991-02-06,-2.77556e-14
1991-02-07,-2.77556e-14
1991-02-08,14.2273
1991-02-09,2.24859
1991-02-10,16.1876
1991-02-11,14.3699
1991-02-12,2.18274
1991-02-13,0.00759297
1991-02-14,0.761052
1991-02-15,-2.77556e-14
1991-02-16,-2.77556e-14
1991-02-17,-2.77556e-14
1991-02-18,0.0831289
1991-02-19,0.55731
1991-02-20,0.0693973
1991-02-21,0.257569
1991-02-22,0.00759297
1991-02-23,-2.77556e-14
1991-02-24,-2.77556e-14
1991-02-25,-2.77556e-14
1991-02-26,0.00744358
1991-02-27,0.192462
1991-02-28,-2.77556e-14
1991-03-01,0.0227789
1991-03-02,0.0297688
1991-03-03,0.137129
1991-03-04,0.0456617
1991-03-05,-2.77556e-14
1991-03-06,-2.77556e-14
1991-03-07,-2.77556e-14
1991-03-08,-2.77556e-14
1991-03-09,3.25388e-05
1991-03-10,10.0694
1991-03-11,31.6703
1991-03-12,13.7707
1991-03-13,2.38615
1991-03-14,0.0151859
1991-03-15,-2.77556e-14
1991-03-16,15.8492
1991-03-17,1.80003
1991-03-18,-2.77556e-14
1991-03-19,0.187058
1991-03-20,-2.77556e-14
1991-03-21,-2.77556e-14
1991-03-22,-2.77556e-14
1991-03-23,-2.77556e-14
1991-03-24,0.49483
1991-03-25,-2.77556e-14
1991-03-26,0.270604
1991-03-27,0.0303719
1991-03-28,0.158699
1991-03-29,-2.77556e-14
1991-03-30,0.76727
1991-03-31,5.60636
1991-04-01,-2.77556e-14
1991-04-02,-2.77556e-14
1991-04-03,0.0303719
1991-04-04,0.00759297
1991-04-05,-2.77556e-14
1991-04-06,-2.77556e-14
1991-04-07,0.00759297
1991-04-08,0.00759297
1991-04-09,0.00759297
1991-04-10,0.0924035
1991-04-11,-2.77556e-14
1991-04-12,-2.77556e-14
1991-04-13,-2.77556e-14
1991-04-14,-2.77556e-14
1991-04-15,-2.77556e-14
1991-04-16,0.00366835
1991-04-17,-2.77556e-14
1991-04-18,-2.77556e-14
1991-04-19,-2.77556e-14
1991-04-20,-2.77556e-14
1991-04-21,-2.77556e-14
1991-04-22,-2.77556e-14
1991-04-23,-2.77556e-14
1991-04-24,-2.77556e-14
1991-04-25,1.2273
1991-04-26,0.327068
1991-04-27,0.348272
1991-04-28,0.0122642
1991-04-29,-2.77556e-14
1991-04-30,-2.77556e-14
1991-05-01,-2.77556e-14
1991-05-02,-2.77556e-14
1991-05-03,0.84568
1991-05-04,1.9638
1991-05-05,0.0198848
1991-05-06,0.100638
1991-05-07,0.0506543
1991-05-08,2.03178
1991-05-09,0.368705
1991-05-10,0.00759297
1991-05-11,-2.77556e-14
1991-05-12,-2.77556e-14
1991-05-13,-2.77556e-14
1991-05-14,-2.77556e-14
1991-05-15,0.0516652
1991-05-16,0.0310866
1991-05-17,-2.77556e-14
1991-05-18,0.0151859
1991-05-19,-2.77556e-14
1991-05-20,-2.77556e-14
1991-05-21,0.452166
1991-05-22,-2.77556e-14
1991-05-23,-2.77556e-14
1991-05-24,-2.77556e-14
1991-05-25,0.210445
1991-05-26,0.599202
1991-05-27,-2.77556e-14
1991-05-28,-2.77556e-14
1991-05-29,-2.77556e-14
1991-05-30,-2.77556e-14
1991-05-31,0.00759297
1991-06-01,0.391399
1991-06-02,0.416097
1991-06-03,0.0151859
1991-06-04,-2.77556e-14
1991-06-05,0.00830976
1991-06-06,-2.77556e-14
1991-06-07,0.0151859
1991-06-08,0.00759297
1991-06-09,-2.77556e-14
1991-06-10,-2.77556e-14
1991-06-11,-2.77556e-14
1991-06-12,0.00759297
1991-06-13,0.00759297
1991-06-14,0.0968708
1991-06-15,0.00759297
1991-06-16,-2.77556e-14
1991-06-17,0.0344569
1991-06-18,0.0332996
1991-06-19,0.00759297
1991-06-20,0.287035
1991-06-21,0.176444
1991-06-22,-2.77556e-14
1991-06-23,-2.77556e-14
1991-06-24,-2.77556e-14
1991-06-25,-2.77556e-14
1991-06-26,-2.77556e-14
1991-06-27,-2.77556e-14
1991-06-28,-2.77556e-14
1991-06-29,-2.77556e-14
1991-06-30,-2.77556e-14
1991-07-01,0.0303116
1991-07-02,0.00759297
1991-07-03,0.0151859
1991-07-04,-2.77556e-14
1991-07-05,-2.77556e-14
1991-07-06,-2.77556e-14
1991-07-07,-2.77556e-14
1991-07-08,-2.77556e-14
1991-07-09,-2.77556e-14
1991-07-10,-2.77556e-14
1991-07-11,-2.77556e-14
1991-07-12,0.030604
1991-07-13,0.156489
1991-07-14,0.0151859
1991-07-15,0.0915079
1991-07-16,-2.77556e-14
1991-07-17,0.0205966
1991-07-18,0.0991666
1991-07-19,-2.77556e-14
1991-07-20,0.0242396
1991-07-21,0.0823858
1991-07-22,0.0303719
1991-07-23,-2.77556e-14
1991-07-24,-2.77556e-14
1991-07-25,-2.77556e-14
1991-07-26,-2.77556e-14
1991-07-27,-2.77556e-14
1991-07-28,0.00759297
1991-07-29,0.0773087
1991-07-30,0.108038
1991-07-31,-2.77556e-14
1991-08-01,-2.77556e-14
1991-08-02,-2.77556e-14
1991-08-03,0.0227789
1991-08-04,0.092166
1991-08-05,0.0379648
1991-08-06,0.00759297
1991-08-07,-2.77556e-14
1991-08-08,0.0303719
1991-08-09,0.0227789
1991-08-10,0.00759297
1991-08-11,-2.77556e-14
1991-08-12,0.0151859
1991-08-13,0.00759297
1991-08-14,-2.77556e-14
1991-08-15,-2.77556e-14
1991-08-16,-2.77556e-14
1991-08-17,-2.77556e-14
1991-08-18,0.0475212
1991-08-19,0.24066
1991-08-20,-2.77556e-14
1991-08-21,-2.77556e-14
1991-08-22,0.00759297
1991-08-23,-2.77556e-14
1991-08-24,-2.77556e-14
1991-08-25,0.0151859
1991-08-26,0.270036
1991-08-27,0.129033
1991-08-28,0.00759297
1991-08-29,-2.77556e-14
1991-08-30,0.00759297
1991-08-31,0.00759297
1991-09-01,-2.77556e-14
1991-09-02,-2.77556e-14
1991-09-03,-2.77556e-14
1991-09-04,-2.77556e-14
1991-09-05,-2.77556e-14
1991-09-06,-2.77556e-14
1991-09-07,-2.77556e-14
1991-09-08,-2.77556e-14
1991-09-09,-2.77556e-14
1991-09-10,0.00759297
1991-09-11,0.128863
1991-09-12,0.108621
1991-09-13,0.366353
1991-09-14,0.182358
1991-09-15,0.206627
1991-09-16,0.124295
1991-09-17,-2.77556e-14
1991-09-18,-2.77556e-14
1991-09-19,-2.77556e-14
1991-09-20,-2.77556e-14
1991-09-21,-2.77556e-14
1991-09-22,-2.77556e-14
1991-09-23,-2.77556e-14
1991-09-24,0.00759297
1991-09-25,0.00759297
1991-09-26,0.00759297
1991-09-27,-2.77556e-14
1991-09-28,-2.77556e-14
1991-09-29,0.00759297
1991-09-30,-2.77556e-14
1991-10-01,-2.77556e-14
1991-10-02,-2.77556e-14
1991-10-03,-2.77556e-14
1991-10-04,-2.77556e-14
1991-10-05,0.00759297
1991-10-06,0.00941299
1991-10-07,0.00759297
1991-10-08,-2.77556e-14
1991-10-09,-2.77556e-14
1991-10-10,-2.77556e-14
1991-10-11,-2.77556e-14
1991-10-12,-2.77556e-14
1991-10-13,0.0151859
