date,pr_UKESM1-0-LL
1991-01-01,-2.77556e-14
1991-01-02,0.30798
1991-01-03,11.402
1991-01-04,0.090859
1991-01-05,-2.77556e-14
1991-01-06,-2.77556e-14
1991-01-07,-2.77556e-14
1991-01-08,-2.77556e-14
1991-01-09,-2.77556e-14
1991-01-10,0.00759297
1991-01-11,0.0262884
1991-01-12,-2.77556e-14
1991-01-13,-2.77556e-14
1991-01-14,-2.77556e-14
1991-01-15,5.47791
1991-01-16,12.7508
1991-01-17,3.08888
1991-01-18,0.144927
1991-01-19,0.0227789
1991-01-20,-2.77556e-14
1991-01-21,-2.77556e-14
1991-01-22,-2.77556e-14
1991-01-23,-2.77556e-14
1991-01-24,-2.77556e-14
1991-01-25,2.70296
1991-01-26,0.104195
1991-01-27,-2.77556e-14
1991-01-28,1.51188
1991-01-29,0.0227789
1991-01-30,-2.77556e-14
1991-01-31,-2.77556e-14
1991-02-01,-2.77556e-14
1991-02-02,0.00668286
1991-02-03,0.176841
1991-02-04,2.97942
1991-02-05,16.3256
1991-02-06,-2.77556e-14
1991-02-07,2.6978
1991-02-08,7.33086
1991-02-09,14.7242
1991-02-10,6.77109
1991-02-11,0.131847
1991-02-12,-2.77556e-14
1991-02-13,7.62336
1991-02-14,11.3366
1991-02-15,5.15058
1991-02-16,-2.77556e-14
1991-02-17,0.421219
1991-02-18,3.75219
1991-02-19,1.70986
1991-02-20,0.298285
1991-02-21,0.0708325
1991-02-22,2.54719
1991-02-23,0.185
1991-02-24,0.220077
1991-02-25,0.547373
1991-02-26,4.95843
1991-02-27,1.79924
1991-02-28,0.159354
1991-03-01,0.0922758
1991-03-02,-2.77556e-14
1991-03-03,3.1121
1991-03-04,8.09108
1991-03-05,0.0863646
1991-03-06,-2.77556e-14
1991-03-07,0.00759297
1991-03-08,0.555335
1991-03-09,0.973819
1991-03-10,-2.77556e-14
1991-03-11,0.00759297
1991-03-12,0.335983
1991-03-13,0.0151859
1991-03-14,-2.77556e-14
1991-03-15,-2.77556e-14
1991-03-16,0.023029
1991-03-17,2.77219
1991-03-18,0.848755
1991-03-19,0.133551
1991-03-20,0.0596802
1991-03-21,0.00759297
1991-03-22,2.22005
1991-03-23,4.89086
1991-03-24,0.842516
1991-03-25,0.0588154
1991-03-26,0.103226
1991-03-27,0.0152455
1991-03-28,-2.77556e-14
1991-03-29,-2.77556e-14
1991-03-30,3.40648
1991-03-31,2.51575
1991-04-01,0.0151859
1991-04-02,-2.77556e-14
1991-04-03,-2.77556e-14
1991-04-04,0.00759297
1991-04-05,0.00759297
1991-04-06,-2.77556e-14
1991-04-07,0.00759297
1991-04-08,-2.77556e-14
1991-04-09,-2.77556e-14
1991-04-10,-2.77556e-14
1991-04-11,-2.77556e-14
1991-04-12,0.728255
1991-04-13,0.191375
1991-04-14,-2.77556e-14
1991-04-15,0.745447
1991-04-16,0.11097
1991-04-17,-2.77556e-14
1991-04-18,2.49034
1991-04-19,0.132544
1991-04-20,-2.77556e-14
1991-04-21,-2.77556e-14
1991-04-22,-2.77556e-14
1991-04-23,0.181706
1991-04-24,0.0397302
1991-04-25,0.00759297
1991-04-26,0.763441
1991-04-27,0.256656
1991-04-28,0.0819603
1991-04-29,0.0151859
1991-04-30,0.0665869
1991-05-01,-2.77556e-14
1991-05-02,-2.77556e-14
1991-05-03,-2.77556e-14
1991-05-04,-2.77556e-14
1991-05-05,-2.77556e-14
1991-05-06,-2.77556e-14
1991-05-07,-2.77556e-14
1991-05-08,-2.77556e-14
1991-05-09,-2.77556e-14
1991-05-10,0.569254
1991-05-11,0.236413
