date,tasmax_CNRM-ESM2-1
1991-01-01,15.7464
1991-01-02,17.2133
1991-01-03,18.6965
1991-01-04,14.8082
1991-01-05,13.0672
1991-01-06,13.8935
1991-01-07,12.8248
1991-01-08,9.67728
1991-01-09,9.61389
1991-01-10,11.2165
1991-01-11,12.6651
1991-01-12,14.001
1991-01-13,15.1287
1991-01-14,15.5981
1991-01-15,18.0101
1991-01-16,20.062
1991-01-17,20.0496
1991-01-18,14.2207
1991-01-19,11.9952
1991-01-20,12.1571
1991-01-21,12.8988
1991-01-22,13.3769
1991-01-23,12.9802
1991-01-24,13.2178
1991-01-25,16.1521
1991-01-26,16.2032
1991-01-27,12.8327
1991-01-28,10.6202
1991-01-29,10.8625
1991-01-30,11.7014
1991-01-31,9.74177
1991-02-01,9.54944
1991-02-02,11.7538
1991-02-03,11.284
1991-02-04,10.3085
1991-02-05,13.6485
1991-02-06,14.8446
1991-02-07,20.2531
1991-02-08,19.1941
1991-02-09,14.0392
1991-02-10,14.0549
1991-02-11,17.0614
1991-02-12,18.5527
1991-02-13,19.3503
1991-02-14,18.8687
1991-02-15,21.4114
1991-02-16,23.2523
1991-02-17,19.1154
1991-02-18,14.0025
1991-02-19,14.3397
1991-02-20,16.6292
1991-02-21,20.2749
1991-02-22,21.7575
1991-02-23,16.4135
1991-02-24,13.3648
1991-02-25,14.7845
1991-02-26,17.0909
1991-02-27,13.1897
1991-02-28,12.0284
1991-03-01,13.8768
1991-03-02,14.9283
1991-03-03,13.5181
1991-03-04,14.1381
1991-03-05,16.9877
1991-03-06,18.1823
1991-03-07,17.8722
1991-03-08,16.0223
1991-03-09,19.2201
1991-03-10,19.2183
1991-03-11,14.0492
1991-03-12,15.8429
1991-03-13,16.4447
1991-03-14,19.2537
1991-03-15,19.8053
1991-03-16,18.633
1991-03-17,18.0566
1991-03-18,20.0313
1991-03-19,21.6805
1991-03-20,19.9906
1991-03-21,14.9812
1991-03-22,14.2546
1991-03-23,15.7202
1991-03-24,17.6906
1991-03-25,16.0852
1991-03-26,18.6522
1991-03-27,20.2567
1991-03-28,21.7656
1991-03-29,19.6635
1991-03-30,14.921
1991-03-31,18.0003
1991-04-01,18.9385
1991-04-02,19.2617
1991-04-03,27.0638
1991-04-04,33.0376
1991-04-05,31.8271
1991-04-06,32.3316
1991-04-07,33.2564
1991-04-08,26.5123
1991-04-09,22.0837
1991-04-10,24.6469
1991-04-11,28.6641
1991-04-12,26.2205
1991-04-13,21.071
1991-04-14,16.5941
1991-04-15,21.8473
1991-04-16,26.0802
1991-04-17,28.9544
1991-04-18,32.5751
1991-04-19,29.7635
1991-04-20,26.8499
1991-04-21,26.5622
1991-04-22,24.6095
1991-04-23,23.4988
1991-04-24,25.243
1991-04-25,26.8858
1991-04-26,24.45
1991-04-27,29.7316
1991-04-28,34.7728
1991-04-29,31.6657
1991-04-30,25.1204
