date,tasmax_EC-Earth3-Veg
1991-01-01,19.8191
1991-01-02,20.0232
1991-01-03,20.07
1991-01-04,19.7393
1991-01-05,14.9981
1991-01-06,11.4292
1991-01-07,7.83234
1991-01-08,10.9342
1991-01-09,12.2034
1991-01-10,14.9757
1991-01-11,16.6645
1991-01-12,18.6602
1991-01-13,18.2927
1991-01-14,14.1153
1991-01-15,12.9768
1991-01-16,12.2822
1991-01-17,11.6396
1991-01-18,12.5542
1991-01-19,15.1803
1991-01-20,16.5457
1991-01-21,13.7397
1991-01-22,11.0866
1991-01-23,10.3378
1991-01-24,11.8402
1991-01-25,11.6159
1991-01-26,13.4893
1991-01-27,12.9233
1991-01-28,13.9317
1991-01-29,14.9532
1991-01-30,17.0817
1991-01-31,18.2716
1991-02-01,17.3969
1991-02-02,16.3876
1991-02-03,15.7549
1991-02-04,17.0265
1991-02-05,15.2455
1991-02-06,14.0403
1991-02-07,12.0139
1991-02-08,12.7967
1991-02-09,13.2022
1991-02-10,15.2511
1991-02-11,17.1784
1991-02-12,14.1418
1991-02-13,15.8298
1991-02-14,16.8267
1991-02-15,19.1463
1991-02-16,20.4647
1991-02-17,14.8094
1991-02-18,15.8679
1991-02-19,10.2233
1991-02-20,13.3125
1991-02-21,13.4468
1991-02-22,14.4912
1991-02-23,15.2321
1991-02-24,18.886
1991-02-25,17.2458
1991-02-26,17.8071
1991-02-27,14.9089
1991-02-28,16.7626
1991-03-01,13.9281
1991-03-02,16.7222
1991-03-03,18.6367
1991-03-04,15.218
1991-03-05,14.4568
1991-03-06,19.9936
1991-03-07,16.3938
1991-03-08,18.9471
1991-03-09,25.1363
1991-03-10,14.0384
1991-03-11,13.6101
1991-03-12,10.4698
1991-03-13,13.6795
1991-03-14,14.7901
1991-03-15,14.6625
1991-03-16,15.5555
1991-03-17,19.9021
1991-03-18,24.9778
1991-03-19,19.0478
1991-03-20,16.1006
1991-03-21,20.5039
1991-03-22,23.1487
1991-03-23,23.3698
1991-03-24,23.4175
1991-03-25,28.4519
1991-03-26,30.0163
1991-03-27,31.0917
1991-03-28,29.3748
1991-03-29,30.9876
1991-03-30,17.8849
1991-03-31,14.9073
1991-04-01,17.9491
1991-04-02,25.0646
1991-04-03,27.2378
1991-04-04,18.47
1991-04-05,17.064
1991-04-06,18.6674
1991-04-07,20.7547
1991-04-08,26.3434
1991-04-09,29.3348
1991-04-10,30.354
1991-04-11,22.1568
1991-04-12,18.9052
1991-04-13,20.9198
1991-04-14,17.0675
1991-04-15,16.1443
1991-04-16,18.4441
1991-04-17,22.2654
1991-04-18,16.9994
1991-04-19,18.7485
1991-04-20,23.0008
1991-04-21,26.1758
1991-04-22,30.3518
1991-04-23,27.7406
1991-04-24,18.8301
1991-04-25,18.3783
1991-04-26,22.284
