date,tasmax_IPSL-CM6A-LR
1991-01-01,15.33
1991-01-02,15.341
1991-01-03,17.5263
1991-01-04,18.1031
1991-01-05,15.6363
1991-01-06,13.5914
1991-01-07,12.9073
1991-01-08,14.3729
1991-01-09,13.2448
1991-01-10,12.0496
1991-01-11,14.4119
1991-01-12,17.1599
1991-01-13,17.8754
1991-01-14,18.3821
1991-01-15,17.8394
1991-01-16,16.4308
1991-01-17,18.0382
1991-01-18,16.647
1991-01-19,12.6756
1991-01-20,10.88
1991-01-21,10.8804
1991-01-22,13.7986
1991-01-23,16.1536
1991-01-24,16.5656
1991-01-25,17.8342
1991-01-26,19.1209
1991-01-27,15.55
1991-01-28,16.2215
1991-01-29,18.5117
1991-01-30,19.8672
1991-01-31,16.1988
1991-02-01,14.8799
1991-02-02,12.1489
1991-02-03,14.0712
1991-02-04,15.1687
1991-02-05,16.5365
1991-02-06,18.1416
1991-02-07,16.3549
1991-02-08,18.8113
1991-02-09,20.8026
1991-02-10,21.8162
1991-02-11,22.49
1991-02-12,23.6245
1991-02-13,25.854
1991-02-14,24.8046
1991-02-15,26.3801
1991-02-16,17.766
1991-02-17,17.4714
1991-02-18,18.0757
1991-02-19,19.1248
1991-02-20,18.7968
1991-02-21,18.0615
1991-02-22,17.479
1991-02-23,17.7943
1991-02-24,17.2787
1991-02-25,14.6598
1991-02-26,14.3065
1991-02-27,15.2767
1991-02-28,17.2092
1991-03-01,17.3014
1991-03-02,19.0557
1991-03-03,20.6237
1991-03-04,22.2693
1991-03-05,21.4548
1991-03-06,19.7695
1991-03-07,19.9954
1991-03-08,20.2106
1991-03-09,21.6795
1991-03-10,23.5194
1991-03-11,28.8852
1991-03-12,24.9554
1991-03-13,15.7339
1991-03-14,17.1953
1991-03-15,20.632
1991-03-16,22.9541
1991-03-17,24.301
1991-03-18,21.9114
1991-03-19,18.5679
1991-03-20,19.8284
1991-03-21,21.6011
1991-03-22,22.5938
1991-03-23,23.2798
1991-03-24,23.8974
1991-03-25,24.2595
1991-03-26,23.9108
1991-03-27,25.9605
1991-03-28,23.8471
1991-03-29,20.8491
1991-03-30,20.1168
1991-03-31,19.113
1991-04-01,18.515
1991-04-02,16.4388
1991-04-03,17.5605
1991-04-04,20.4301
1991-04-05,24.6324
1991-04-06,26.0135
1991-04-07,26.1019
1991-04-08,29.4064
1991-04-09,33.9176
1991-04-10,23.191
1991-04-11,25.6855
1991-04-12,19.1223
1991-04-13,19.6179
1991-04-14,25.3965
1991-04-15,28.5254
1991-04-16,21.9926
1991-04-17,21.5814
1991-04-18,20.3003
1991-04-19,23.2435
1991-04-20,22.8411
1991-04-21,26.2961
1991-04-22,31.8312
1991-04-23,29.4549
1991-04-24,26.2706
1991-04-25,27.2685
1991-04-26,26.6314
1991-04-27,28.3896
1991-04-28,36.8633
1991-04-29,26.8523
1991-04-30,22.9083
1991-05-01,25.982
1991-05-02,32.973
1991-05-03,37.8418
1991-05-04,37.7682
1991-05-05,39.6977
1991-05-06,36.5531
1991-05-07,37.3758
1991-05-08,41.5073
1991-05-09,24.5933
1991-05-10,28.2124
1991-05-11,29.3497
1991-05-12,33.4563
1991-05-13,34.8589
1991-05-14,36.2584
1991-05-15,37.2413
1991-05-16,39.4056
1991-05-17,35.2286
1991-05-18,32.8616
1991-05-19,33.947
1991-05-20,37.2212
1991-05-21,34.0192
1991-05-22,28.8911
1991-05-23,27.6904
1991-05-24,27.8216
1991-05-25,29.7161
1991-05-26,32.1462
1991-05-27,34.2811
1991-05-28,35.8711
1991-05-29,37.3588
1991-05-30,40.1763
1991-05-31,41.4328
1991-06-01,32.9324
1991-06-02,31.0693
1991-06-03,31.2651
1991-06-04,31.1418
1991-06-05,30.6438
1991-06-06,31.527
1991-06-07,34.1304
1991-06-08,34.0896
1991-06-09,30.6263
1991-06-10,30.6803
1991-06-11,32.2119
1991-06-12,33.9111
1991-06-13,35.5868
1991-06-14,32.8983
1991-06-15,33.2647
1991-06-16,32.2731
1991-06-17,32.0985
1991-06-18,39.2183
1991-06-19,33.9857
1991-06-20,31.5937
1991-06-21,31.3946
1991-06-22,30.6026
1991-06-23,31.3056
1991-06-24,31.4567
1991-06-25,32.3913
1991-06-26,36.4905
1991-06-27,35.6545
1991-06-28,35.2088
1991-06-29,37.2137
1991-06-30,37.0668
1991-07-01,35.5139
1991-07-02,32.9378
1991-07-03,34.3787
1991-07-04,35.4275
1991-07-05,37.2529
1991-07-06,38.6085
1991-07-07,38.5673
1991-07-08,35.8564
1991-07-09,34.7575
1991-07-10,34.6171
1991-07-11,34.9862
1991-07-12,36.4562
1991-07-13,37.3183
1991-07-14,37.5999
1991-07-15,37.9752
1991-07-16,36.0275
1991-07-17,35.1246
