date,tasmax_MIROC6
1991-01-01,14.7328
1991-01-02,15.1884
1991-01-03,15.0166
1991-01-04,15.6816
1991-01-05,15.1606
1991-01-06,15.765
1991-01-07,17.116
1991-01-08,18.0082
1991-01-09,18.3
1991-01-10,18.9795
1991-01-11,18.147
1991-01-12,20.0346
1991-01-13,20.9186
1991-01-14,17.611
1991-01-15,16.2881
1991-01-16,18.055
1991-01-17,20.3518
1991-01-18,22.3101
1991-01-19,23.6898
1991-01-20,15.1158
1991-01-21,13.5995
1991-01-22,13.8982
1991-01-23,12.0634
1991-01-24,12.9144
1991-01-25,14.2002
1991-01-26,14.5429
1991-01-27,15.7761
1991-01-28,16.3686
1991-01-29,15.4492
1991-01-30,14.1015
1991-01-31,15.4173
1991-02-01,16.5175
1991-02-02,17.5358
1991-02-03,19.1983
1991-02-04,19.1618
1991-02-05,21.2805
1991-02-06,18.3941
1991-02-07,16.3528
1991-02-08,16.8197
1991-02-09,16.2286
1991-02-10,17.9696
1991-02-11,20.9432
1991-02-12,23.6359
1991-02-13,23.9319
1991-02-14,23.3918
1991-02-15,22.5018
1991-02-16,14.4951
1991-02-17,12.7136
1991-02-18,15.457
1991-02-19,18.1262
1991-02-20,18.3078
1991-02-21,17.7737
1991-02-22,17.1476
1991-02-23,17.9734
1991-02-24,19.2976
1991-02-25,19.1835
1991-02-26,20.1784
1991-02-27,19.3976
1991-02-28,18.9096
1991-03-01,21.5147
1991-03-02,26.6101
1991-03-03,19.5111
1991-03-04,21.086
1991-03-05,20.8399
1991-03-06,23.225
1991-03-07,23.3469
1991-03-08,22.4871
1991-03-09,25.6524
1991-03-10,25.8863
1991-03-11,27.4945
1991-03-12,28.0758
1991-03-13,28.7524
1991-03-14,27.7159
1991-03-15,29.9445
1991-03-16,31.7141
1991-03-17,32.7045
1991-03-18,32.882
1991-03-19,26.0221
1991-03-20,19.7256
1991-03-21,19.8295
1991-03-22,18.3346
1991-03-23,14.0622
1991-03-24,14.6926
1991-03-25,17.3482
1991-03-26,20.6218
1991-03-27,28.2019
1991-03-28,31.1098
1991-03-29,19.691
1991-03-30,18.5784
1991-03-31,18.3196
1991-04-01,21.2218
1991-04-02,26.3652
1991-04-03,27.3964
1991-04-04,20.0369
1991-04-05,20.0915
1991-04-06,21.4865
1991-04-07,25.2304
1991-04-08,28.0962
1991-04-09,30.1778
1991-04-10,30.0729
1991-04-11,30.076
1991-04-12,30.49
1991-04-13,24.0572
1991-04-14,26.9061
1991-04-15,31.507
1991-04-16,33.9484
1991-04-17,30.9224
1991-04-18,33.1458
1991-04-19,30.9054
1991-04-20,24.9495
1991-04-21,26.7643
1991-04-22,26.6411
1991-04-23,25.9317
1991-04-24,22.4217
1991-04-25,22.691
1991-04-26,25.2257
1991-04-27,26.5264
1991-04-28,27.5562
1991-04-29,27.6212
1991-04-30,26.0931
1991-05-01,32.9977
1991-05-02,29.1034
1991-05-03,28.2413
1991-05-04,25.8332
1991-05-05,27.2445
1991-05-06,25.6124
1991-05-07,26.6587
1991-05-08,30.5384
1991-05-09,33.0348
1991-05-10,35.1476
1991-05-11,35.5384
1991-05-12,35.3271
1991-05-13,31.1174
1991-05-14,29.9
1991-05-15,30.3595
1991-05-16,31.2909
1991-05-17,27.8847
1991-05-18,31.7399
1991-05-19,31.1604
1991-05-20,34.3607
1991-05-21,38.1026
1991-05-22,33.6965
1991-05-23,32.9216
1991-05-24,35.4397
1991-05-25,40.8884
1991-05-26,39.2545
1991-05-27,40.5763
1991-05-28,31.1776
1991-05-29,30.8478
1991-05-30,33.1953
1991-05-31,30.8371
1991-06-01,28.1168
1991-06-02,32.1967
1991-06-03,33.9342
1991-06-04,33.6292
1991-06-05,33.985
1991-06-06,34.6442
1991-06-07,31.9705
1991-06-08,32.2784
1991-06-09,32.298
1991-06-10,34.4645
1991-06-11,34.4966
1991-06-12,35.1237
1991-06-13,34.9048
1991-06-14,35.0246
1991-06-15,35.9381
1991-06-16,36.2819
1991-06-17,35.7097
1991-06-18,35.8079
1991-06-19,36.5137
1991-06-20,35.155
1991-06-21,33.3516
1991-06-22,34.6731
1991-06-23,35.3913
1991-06-24,33.668
1991-06-25,33.6983
1991-06-26,33.8807
1991-06-27,36.0343
1991-06-28,38.7494
1991-06-29,32.9367
1991-06-30,32.2562
1991-07-01,31.58
1991-07-02,33.6452
1991-07-03,33.3849
1991-07-04,32.5502
1991-07-05,33.5581
1991-07-06,33.384
1991-07-07,33.0602
1991-07-08,32.2268
1991-07-09,33.1577
1991-07-10,34.9852
1991-07-11,35.0787
1991-07-12,35.2147
1991-07-13,36.0196
1991-07-14,36.6779
1991-07-15,36.107
1991-07-16,34.359
1991-07-17,33.9644
1991-07-18,34.1211
1991-07-19,33.7922
1991-07-20,33.0832
1991-07-21,34.0455
1991-07-22,34.1412
1991-07-23,34.9695
1991-07-24,36.0769
1991-07-25,38.4448
1991-07-26,40.4546
1991-07-27,38.2388
1991-07-28,37.8525
1991-07-29,37.3249
1991-07-30,35.6513
1991-07-31,36.2225
1991-08-01,37.6043
1991-08-02,37.159
1991-08-03,36.2285
1991-08-04,35.9123
1991-08-05,36.5163
1991-08-06,37.3521
1991-08-07,36.5695
1991-08-08,34.7654
1991-08-09,35.4539
1991-08-10,36.7352
1991-08-11,36.0893
1991-08-12,36.2502
1991-08-13,35.9872
1991-08-14,35.6732
1991-08-15,35.1021
1991-08-16,34.3557
1991-08-17,34.3636
1991-08-18,35.0223
1991-08-19,36.5053
1991-08-20,37.7616
1991-08-21,37.8548
1991-08-22,37.5043
1991-08-23,36.7463
1991-08-24,36.3064
1991-08-25,37.0273
1991-08-26,39.2041
1991-08-27,39.8643
1991-08-28,39.4184
1991-08-29,37.8409
1991-08-30,37.357
1991-08-31,38.039
1991-09-01,42.9445
1991-09-02,39.383
1991-09-03,39.1009
1991-09-04,34.4217
1991-09-05,33.9231
1991-09-06,33.0478
1991-09-07,32.5728
1991-09-08,33.6845
1991-09-09,34.051
1991-09-10,32.4276
1991-09-11,31.6075
1991-09-12,29.7631
1991-09-13,32.6062
1991-09-14,35.8412
1991-09-15,35.8294
1991-09-16,34.9268
1991-09-17,31.1837
1991-09-18,31.1176
1991-09-19,33.118
1991-09-20,31.8702
1991-09-21,31.5433
1991-09-22,31.2555
1991-09-23,31.8405
1991-09-24,33.4752
1991-09-25,32.4926
1991-09-26,30.9196
1991-09-27,32.2353
1991-09-28,32.1989
1991-09-29,32.4445
1991-09-30,31.8374
1991-10-01,33.3616
1991-10-02,31.9192
1991-10-03,31.7422
1991-10-04,30.8435
1991-10-05,28.8805
1991-10-06,30.7555
1991-10-07,32.9839
1991-10-08,34.8537
1991-10-09,35.6915
1991-10-10,35.7582
1991-10-11,34.1205
1991-10-12,32.9045
1991-10-13,33.4589
1991-10-14,32.2592
1991-10-15,33.0994
1991-10-16,31.5358
1991-10-17,28.6431
1991-10-18,26.7753
1991-10-19,28.4135
1991-10-20,29.8864
1991-10-21,30.9042
1991-10-22,30.9568
1991-10-23,23.9837
1991-10-24,24.3968
1991-10-25,24.2607
1991-10-26,23.9187
1991-10-27,25.5126
1991-10-28,26.9102
1991-10-29,27.9237
1991-10-30,28.5112
1991-10-31,28.8856
1991-11-01,30.9919
1991-11-02,30.9849
1991-11-03,30.6788
1991-11-04,31.1562
1991-11-05,31.8404
1991-11-06,28.731
1991-11-07,23.4953
1991-11-08,18.5823
1991-11-09,17.9233
1991-11-10,19.2107
1991-11-11,19.6516
1991-11-12,18.0319
1991-11-13,20.8827
1991-11-14,22.0591
1991-11-15,22.6508
1991-11-16,23.0541
1991-11-17,22.7407
1991-11-18,23.8066
1991-11-19,24.2994
1991-11-20,22.1928
1991-11-21,23.5574
1991-11-22,25.8033
1991-11-23,27.5471
1991-11-24,27.1702
1991-11-25,28.6923
1991-11-26,29.9067
1991-11-27,23.3332
1991-11-28,21.2379
1991-11-29,22.9769
1991-11-30,22.4113
1991-12-01,24.8171
1991-12-02,22.5851
1991-12-03,21.8476
1991-12-04,27.4982
1991-12-05,25.3309
1991-12-06,17.5054
1991-12-07,18.2848
1991-12-08,16.4494
1991-12-09,15.3619
1991-12-10,13.7603
1991-12-11,11.8001
1991-12-12,10.8517
1991-12-13,12.1248
1991-12-14,15.2238
1991-12-15,15.442
1991-12-16,14.7752
1991-12-17,15.6807
1991-12-18,16.9149
1991-12-19,15.6556
1991-12-20,17.0527
1991-12-21,16.3458
1991-12-22,16.1119
1991-12-23,16.5754
1991-12-24,16.052
1991-12-25,16.9395
1991-12-26,16.1024
1991-12-27,16.5239
1991-12-28,17.9621
1991-12-29,18.8699
1991-12-30,19.0821
1991-12-31,20.013
1992-01-01,21.2739
1992-01-02,20.655
1992-01-03,20.982
1992-01-04,14.7248
1992-01-05,15.0746
1992-01-06,17.1106
1992-01-07,18.664
1992-01-08,19.7855
1992-01-09,19.6748
1992-01-10,18.6944
1992-01-11,18.0359
1992-01-12,18.6194
1992-01-13,18.8421
1992-01-14,19.2113
1992-01-15,17.988
1992-01-16,19.6849
1992-01-17,20.1131
1992-01-18,22.2995
1992-01-19,20.7739
1992-01-20,14.1998
1992-01-21,13.1343
1992-01-22,14.2783
1992-01-23,14.2948
1992-01-24,15.6689
1992-01-25,18.9132
1992-01-26,17.9869
1992-01-27,18.5029
1992-01-28,19.9103
1992-01-29,16.6859
1992-01-30,17.8838
1992-01-31,20.0406
1992-02-01,14.4863
1992-02-02,15.9117
1992-02-03,18.5495
1992-02-04,20.3748
1992-02-05,22.8931
1992-02-06,24.4539
1992-02-07,25.3237
1992-02-08,20.6237
1992-02-09,13.5635
1992-02-10,16.4682
1992-02-11,17.9971
