date,tasmax_MPI-ESM1-2-HR
1991-01-01,15.3242
1991-01-02,17.4168
1991-01-03,17.5043
1991-01-04,19.6145
1991-01-05,18.6136
1991-01-06,17.204
1991-01-07,17.7473
1991-01-08,17.9847
1991-01-09,19.7919
1991-01-10,16.6763
1991-01-11,14.8055
1991-01-12,13.2814
1991-01-13,13.319
1991-01-14,12.4813
1991-01-15,13.4552
1991-01-16,14.2845
1991-01-17,15.3504
1991-01-18,17.3591
1991-01-19,13.7559
1991-01-20,12.5387
1991-01-21,12.1918
1991-01-22,14.6031
1991-01-23,15.0023
1991-01-24,16.9671
1991-01-25,13.8561
1991-01-26,11.571
1991-01-27,13.2508
1991-01-28,11.3844
1991-01-29,13.9401
1991-01-30,14.6555
1991-01-31,14.2292
1991-02-01,16.4977
1991-02-02,17.3646
1991-02-03,12.8517
1991-02-04,13.5079
1991-02-05,12.7409
1991-02-06,14.3271
1991-02-07,12.92
1991-02-08,12.8056
1991-02-09,12.5243
1991-02-10,12.3229
1991-02-11,9.28593
1991-02-12,9.81638
1991-02-13,8.15551
1991-02-14,8.27941
1991-02-15,9.99116
1991-02-16,10.1615
1991-02-17,11.847
1991-02-18,10.6396
1991-02-19,11.3662
1991-02-20,12.2034
1991-02-21,14.3951
1991-02-22,15.2661
1991-02-23,15.5579
1991-02-24,16.9289
1991-02-25,19.4842
1991-02-26,18.6998
1991-02-27,15.8572
1991-02-28,17.4883
1991-03-01,20.7431
1991-03-02,18.3673
1991-03-03,16.4399
1991-03-04,18.0275
1991-03-05,18.0078
1991-03-06,19.0871
1991-03-07,15.8773
1991-03-08,20.8902
1991-03-09,25.5333
1991-03-10,27.9407
1991-03-11,26.0633
1991-03-12,18.7738
1991-03-13,16.3138
1991-03-14,18.3366
1991-03-15,21.188
1991-03-16,20.5672
1991-03-17,20.6694
1991-03-18,23.8024
1991-03-19,25.8625
1991-03-20,25.8399
1991-03-21,21.4591
1991-03-22,19.2898
1991-03-23,19.6688
1991-03-24,26.065
1991-03-25,22.2168
1991-03-26,27.195
1991-03-27,25.5279
1991-03-28,25.7664
1991-03-29,22.3936
1991-03-30,24.5365
1991-03-31,30.7943
1991-04-01,22.8491
1991-04-02,22.6018
1991-04-03,23.0696
1991-04-04,18.0376
1991-04-05,18.4553
1991-04-06,19.3172
1991-04-07,21.0778
1991-04-08,20.895
1991-04-09,21.8415
1991-04-10,24.9161
1991-04-11,29.0217
1991-04-12,31.1897
1991-04-13,31.7029
1991-04-14,33.1467
1991-04-15,32.825
1991-04-16,32.9833
1991-04-17,34.2247
1991-04-18,35.2507
1991-04-19,33.1872
1991-04-20,30.0329
1991-04-21,30.1515
1991-04-22,33.164
1991-04-23,28.079
1991-04-24,23.6414
1991-04-25,27.0372
1991-04-26,26.4808
1991-04-27,25.3998
1991-04-28,25.8322
1991-04-29,22.9805
1991-04-30,23.3953
1991-05-01,24.6276
1991-05-02,28.0334
1991-05-03,32.7949
1991-05-04,35.8288
1991-05-05,31.0196
1991-05-06,34.6064
1991-05-07,23.773
1991-05-08,25.2074
1991-05-09,29.6291
1991-05-10,31.5728
1991-05-11,32.8845
1991-05-12,35.0408
1991-05-13,32.3152
1991-05-14,31.0518
1991-05-15,29.2296
1991-05-16,25.9041
1991-05-17,25.9546
1991-05-18,27.4006
1991-05-19,27.1678
1991-05-20,27.8253
1991-05-21,29.5543
1991-05-22,30.1999
1991-05-23,30.1088
1991-05-24,32.0193
1991-05-25,34.6092
1991-05-26,32.3091
1991-05-27,30.4379
1991-05-28,29.443
1991-05-29,32.7385
1991-05-30,35.7975
1991-05-31,37.745
1991-06-01,36.5739
1991-06-02,36.4085
1991-06-03,36.7152
1991-06-04,35.4034
1991-06-05,32.505
1991-06-06,32.2562
1991-06-07,32.2414
1991-06-08,31.4344
1991-06-09,30.7799
1991-06-10,29.5192
1991-06-11,31.9331
1991-06-12,34.2808
1991-06-13,34.6038
1991-06-14,33.1104
1991-06-15,33.4891
1991-06-16,34.042
1991-06-17,31.2172
1991-06-18,30.4959
1991-06-19,30.5092
1991-06-20,30.1014
1991-06-21,32.6473
1991-06-22,34.6461
1991-06-23,34.1825
1991-06-24,34.4334
1991-06-25,34.3772
1991-06-26,33.4725
1991-06-27,33.9607
1991-06-28,34.2636
1991-06-29,33.5089
1991-06-30,34.6923
1991-07-01,35.8314
1991-07-02,35.3816
1991-07-03,32.7532
1991-07-04,35.0809
1991-07-05,31.8129
1991-07-06,32.7545
1991-07-07,30.0471
1991-07-08,31.5649
1991-07-09,32.3292
1991-07-10,33.1609
1991-07-11,33.4675
1991-07-12,34.1365
1991-07-13,34.3827
1991-07-14,35.1506
1991-07-15,36.4623
1991-07-16,35.7036
1991-07-17,35.5997
1991-07-18,36.0531
1991-07-19,36.6039
1991-07-20,38.7494
1991-07-21,37.9175
1991-07-22,37.0836
1991-07-23,35.2453
1991-07-24,33.2061
1991-07-25,34.1425
1991-07-26,34.18
1991-07-27,35.7809
1991-07-28,35.0762
1991-07-29,35.8179
1991-07-30,36.2903
1991-07-31,35.7444
1991-08-01,35.8231
1991-08-02,34.505
1991-08-03,35.3844
1991-08-04,34.246
1991-08-05,33.7842
1991-08-06,35.2783
1991-08-07,36.6941
1991-08-08,37.2449
1991-08-09,35.7836
1991-08-10,35.9047
1991-08-11,36.3454
1991-08-12,37.7497
1991-08-13,38.0746
1991-08-14,36.6723
1991-08-15,35.1543
1991-08-16,35.4741
1991-08-17,36.5165
1991-08-18,37.1037
1991-08-19,36.615
1991-08-20,36.2949
1991-08-21,36.4939
1991-08-22,35.9153
1991-08-23,34.0486
1991-08-24,33.9096
1991-08-25,35.006
1991-08-26,34.5988
1991-08-27,34.6926
1991-08-28,34.4885
1991-08-29,34.4109
1991-08-30,34.346
1991-08-31,33.7584
1991-09-01,33.0567
1991-09-02,32.5666
1991-09-03,32.3405
1991-09-04,31.609
1991-09-05,30.9934
1991-09-06,32.6588
1991-09-07,33.0166
1991-09-08,34.0693
1991-09-09,34.0469
1991-09-10,33.6292
1991-09-11,33.9378
1991-09-12,34.1546
1991-09-13,32.6398
1991-09-14,30.6082
1991-09-15,30.5019
1991-09-16,29.9184
1991-09-17,27.2976
1991-09-18,27.5744
1991-09-19,28.3258
1991-09-20,31.1455
1991-09-21,34.5385
1991-09-22,37.9209
1991-09-23,35.5209
1991-09-24,34.3865
1991-09-25,35.6566
1991-09-26,36.6978
1991-09-27,35.3469
