date,tasmax_NorESM2-MM
1991-01-01,16.889
1991-01-02,16.6216
1991-01-03,16.039
1991-01-04,20.0862
1991-01-05,18.4705
1991-01-06,18.0487
1991-01-07,12.9387
1991-01-08,14.7412
1991-01-09,14.6902
1991-01-10,14.2686
1991-01-11,17.0564
1991-01-12,17.1811
1991-01-13,19.9492
1991-01-14,20.2128
1991-01-15,15.0492
1991-01-16,14.9229
1991-01-17,12.9577
1991-01-18,14.8215
1991-01-19,14.392
1991-01-20,13.5841
1991-01-21,15.8313
1991-01-22,15.6284
1991-01-23,17.1013
1991-01-24,14.9196
1991-01-25,14.5591
1991-01-26,14.4516
1991-01-27,18.5892
1991-01-28,19.5455
1991-01-29,15.1694
1991-01-30,11.4818
1991-01-31,12.977
1991-02-01,14.066
1991-02-02,13.4392
1991-02-03,13.7786
1991-02-04,14.8291
1991-02-05,16.9229
1991-02-06,16.4927
1991-02-07,18.9197
1991-02-08,12.9332
1991-02-09,12.2188
1991-02-10,12.2095
1991-02-11,9.49897
1991-02-12,12.5466
1991-02-13,15.9616
1991-02-14,18.3431
1991-02-15,18.8639
1991-02-16,23.4017
1991-02-17,27.022
1991-02-18,27.8614
1991-02-19,27.5413
1991-02-20,14.2666
1991-02-21,16.9168
1991-02-22,16.3471
1991-02-23,17.0199
1991-02-24,17.9914
1991-02-25,19.5362
1991-02-26,21.9364
1991-02-27,22.8018
1991-02-28,21.3869
1991-03-01,19.4058
1991-03-02,21.2378
1991-03-03,19.2171
1991-03-04,19.497
1991-03-05,21.9307
1991-03-06,24.176
1991-03-07,25.5308
1991-03-08,28.0631
1991-03-09,24.8154
1991-03-10,17.9932
1991-03-11,13.0609
1991-03-12,13.7374
1991-03-13,15.1239
1991-03-14,18.8485
1991-03-15,17.5291
1991-03-16,16.5386
1991-03-17,18.5592
1991-03-18,20.4649
1991-03-19,24.5717
1991-03-20,28.9222
1991-03-21,27.6868
1991-03-22,32.4845
1991-03-23,33.573
1991-03-24,29.6284
1991-03-25,23.9061
1991-03-26,20.7932
1991-03-27,21.2661
1991-03-28,26.6321
1991-03-29,27.1842
1991-03-30,25.7216
1991-03-31,29.9112
1991-04-01,24.4185
1991-04-02,20.597
1991-04-03,18.9662
1991-04-04,20.7389
1991-04-05,22.9547
1991-04-06,22.2577
1991-04-07,26.5331
1991-04-08,27.5971
1991-04-09,27.2631
1991-04-10,26.0286
1991-04-11,25.8958
1991-04-12,26.2734
1991-04-13,28.885
1991-04-14,32.7581
1991-04-15,31.6933
1991-04-16,22.505
1991-04-17,23.5673
1991-04-18,26.9345
1991-04-19,33.7058
1991-04-20,32.2482
1991-04-21,30.7627
1991-04-22,29.0104
1991-04-23,24.2661
1991-04-24,23.7627
1991-04-25,29.7198
1991-04-26,20.9925
1991-04-27,21.3486
1991-04-28,21.8832
1991-04-29,26.5769
1991-04-30,31.2947
1991-05-01,29.323
1991-05-02,23.6218
1991-05-03,30.6097
1991-05-04,35.3529
1991-05-05,22.6432
1991-05-06,22.2915
1991-05-07,24.756
1991-05-08,34.1921
1991-05-09,24.6386
1991-05-10,24.1104
1991-05-11,26.422
1991-05-12,27.8701
1991-05-13,28.8975
1991-05-14,27.5976
1991-05-15,33.722
1991-05-16,37.074
1991-05-17,28.0784
1991-05-18,25.722
1991-05-19,27.1091
1991-05-20,29.8224
1991-05-21,35.038
1991-05-22,40.2033
1991-05-23,30.3769
1991-05-24,31.6621
1991-05-25,38.2278
1991-05-26,33.2976
1991-05-27,30.6139
1991-05-28,31.6295
1991-05-29,39.3584
1991-05-30,30.744
1991-05-31,28.8868
1991-06-01,25.0053
1991-06-02,26.3222
1991-06-03,29.7045
1991-06-04,35.154
1991-06-05,39.3033
1991-06-06,36.0541
1991-06-07,28.8683
1991-06-08,28.7026
1991-06-09,30.5841
1991-06-10,34.7429
1991-06-11,32.1774
1991-06-12,32.5251
1991-06-13,32.2393
1991-06-14,33.648
1991-06-15,34.3517
1991-06-16,35.2754
1991-06-17,34.309
1991-06-18,34.9791
1991-06-19,36.1058
1991-06-20,34.4028
1991-06-21,35.0335
1991-06-22,36.3458
1991-06-23,34.4643
1991-06-24,33.3901
1991-06-25,34.8352
1991-06-26,36.3589
1991-06-27,39.1551
1991-06-28,38.8569
1991-06-29,37.9048
1991-06-30,33.2419
1991-07-01,31.4708
1991-07-02,30.8519
1991-07-03,32.3724
1991-07-04,32.1144
1991-07-05,32.1218
1991-07-06,32.2354
1991-07-07,32.7692
1991-07-08,33.8678
1991-07-09,34.9689
1991-07-10,36.3018
1991-07-11,35.7818
1991-07-12,33.3722
1991-07-13,32.6632
1991-07-14,36.65
1991-07-15,36.9411
1991-07-16,38.1893
1991-07-17,37.955
1991-07-18,35.3342
1991-07-19,33.2031
1991-07-20,33.3198
1991-07-21,35.9437
1991-07-22,37.5779
1991-07-23,37.2981
1991-07-24,35.296
1991-07-25,35.1608
1991-07-26,35.8713
1991-07-27,36.4254
1991-07-28,35.9807
1991-07-29,36.0753
1991-07-30,35.874
1991-07-31,35.3082
1991-08-01,34.134
1991-08-02,34.3615
1991-08-03,34.9788
1991-08-04,35.1096
1991-08-05,35.0481
1991-08-06,35.0042
1991-08-07,34.388
1991-08-08,33.5524
1991-08-09,33.4027
1991-08-10,34.0459
1991-08-11,33.6927
1991-08-12,32.9967
1991-08-13,33.7822
1991-08-14,32.8414
1991-08-15,34.3801
1991-08-16,35.1245
1991-08-17,34.7663
1991-08-18,34.502
1991-08-19,33.6126
1991-08-20,33.7364
1991-08-21,34.7092
1991-08-22,35.4453
1991-08-23,35.554
1991-08-24,35.1348
1991-08-25,34.3348
1991-08-26,33.6419
1991-08-27,34.2082
1991-08-28,33.7904
1991-08-29,32.8066
1991-08-30,33.2512
1991-08-31,33.9621
1991-09-01,34.5255
1991-09-02,35.122
1991-09-03,34.1274
1991-09-04,34.0591
1991-09-05,35.4224
1991-09-06,35.8939
1991-09-07,33.8919
1991-09-08,33.9731
1991-09-09,34.4818
1991-09-10,36.0201
1991-09-11,37.1119
1991-09-12,34.6729
1991-09-13,33.1272
1991-09-14,32.7985
1991-09-15,32.5202
1991-09-16,32.354
1991-09-17,31.8484
1991-09-18,30.0743
1991-09-19,29.9536
1991-09-20,31.5965
1991-09-21,32.4436
1991-09-22,31.7672
1991-09-23,30.0056
1991-09-24,28.337
1991-09-25,27.8908
1991-09-26,28.1574
1991-09-27,29.9025
1991-09-28,31.0492
1991-09-29,31.33
1991-09-30,32.3537
1991-10-01,36.8396
1991-10-02,37.8025
1991-10-03,36.699
1991-10-04,32.8641
1991-10-05,30.0728
1991-10-06,28.6676
1991-10-07,28.4676
1991-10-08,29.9469
1991-10-09,33.7622
1991-10-10,34.0214
1991-10-11,34.0228
1991-10-12,31.5576
1991-10-13,29.81
1991-10-14,27.2878
1991-10-15,27.5219
1991-10-16,29.4219
1991-10-17,31.3926
1991-10-18,31.9863
1991-10-19,31.9733
1991-10-20,30.974
1991-10-21,27.1131
1991-10-22,26.6248
1991-10-23,29.8477
1991-10-24,30.0683
1991-10-25,29.6102
1991-10-26,30.9523
1991-10-27,33.2219
1991-10-28,32.1835
1991-10-29,30.8094
1991-10-30,29.2991
1991-10-31,29.389
1991-11-01,30.5123
1991-11-02,29.3937
1991-11-03,27.7264
1991-11-04,30.187
1991-11-05,30.744
1991-11-06,29.9619
1991-11-07,27.033
1991-11-08,24.7211
1991-11-09,22.6686
1991-11-10,21.6466
1991-11-11,24.0558
1991-11-12,24.6089
1991-11-13,25.3062
1991-11-14,25.2257
1991-11-15,24.4035
1991-11-16,24.5128
1991-11-17,23.5736
1991-11-18,24.0944
1991-11-19,22.2536
1991-11-20,24.1807
1991-11-21,24.3401
1991-11-22,24.0718
1991-11-23,24.8139
1991-11-24,23.8951
1991-11-25,21.63
1991-11-26,21.5219
1991-11-27,22.3643
1991-11-28,20.3464
1991-11-29,20.7408
1991-11-30,21.3416
1991-12-01,21.9836
1991-12-02,23.2267
1991-12-03,23.2942
1991-12-04,24.8873
