date,tasmax_UKESM1-0-LL
1991-01-01,16.7787
1991-01-02,16.6903
1991-01-03,10.277
1991-01-04,9.59072
1991-01-05,11.5778
1991-01-06,12.937
1991-01-07,13.6592
1991-01-08,13.4526
1991-01-09,14.827
1991-01-10,16.4268
1991-01-11,15.2704
1991-01-12,16.9632
1991-01-13,15.7778
1991-01-14,15.0441
1991-01-15,14.1474
1991-01-16,12.6705
1991-01-17,14.2965
1991-01-18,15.3089
1991-01-19,15.408
1991-01-20,16.0757
1991-01-21,17.3821
1991-01-22,16.9044
1991-01-23,16.0286
1991-01-24,16.1709
1991-01-25,14.4202
1991-01-26,14.4348
1991-01-27,15.5961
1991-01-28,14.594
1991-01-29,16.1806
1991-01-30,17.5083
1991-01-31,18.2735
1991-02-01,19.6163
1991-02-02,17.5685
1991-02-03,15.0704
1991-02-04,18.1258
1991-02-05,19.7532
1991-02-06,18.0107
1991-02-07,16.0864
1991-02-08,15.1675
1991-02-09,14.102
1991-02-10,13.8131
1991-02-11,14.7695
1991-02-12,17.0999
1991-02-13,16.8095
1991-02-14,13.0185
1991-02-15,15.1533
1991-02-16,18.4657
1991-02-17,18.0291
1991-02-18,15.6154
1991-02-19,15.6844
1991-02-20,14.727
1991-02-21,15.4726
1991-02-22,15.4388
1991-02-23,12.0385
1991-02-24,14.0516
1991-02-25,16.9688
1991-02-26,14.9487
1991-02-27,16.4874
1991-02-28,17.5539
1991-03-01,18.2037
1991-03-02,20.6153
1991-03-03,20.1238
1991-03-04,15.391
1991-03-05,17.0602
1991-03-06,20.6764
1991-03-07,21.9837
1991-03-08,17.525
1991-03-09,18.6441
1991-03-10,19.698
1991-03-11,20.6931
1991-03-12,18.2729
1991-03-13,19.942
1991-03-14,22.1505
1991-03-15,25.058
1991-03-16,24.6498
1991-03-17,19.6302
1991-03-18,19.5933
1991-03-19,18.7057
1991-03-20,19.4844
1991-03-21,19.7443
1991-03-22,19.3769
1991-03-23,14.9378
1991-03-24,12.8725
1991-03-25,15.3082
1991-03-26,17.1539
1991-03-27,17.3794
1991-03-28,20.4782
1991-03-29,23.0478
1991-03-30,26.1445
1991-03-31,27.2258
1991-04-01,21.0802
1991-04-02,22.0566
1991-04-03,24.2852
1991-04-04,23.1657
1991-04-05,20.4744
1991-04-06,23.0474
1991-04-07,23.6279
1991-04-08,25.1399
1991-04-09,26.0588
1991-04-10,25.6026
1991-04-11,25.2696
1991-04-12,28.1654
1991-04-13,26.5152
1991-04-14,26.0974
1991-04-15,27.3509
1991-04-16,24.3025
1991-04-17,22.74
1991-04-18,27.3832
1991-04-19,26.7383
1991-04-20,26.4911
1991-04-21,26.1015
1991-04-22,24.6542
1991-04-23,27.757
1991-04-24,29.9942
1991-04-25,35.6857
1991-04-26,35.2332
1991-04-27,23.3647
1991-04-28,22.4578
1991-04-29,22.489
1991-04-30,23.2997
1991-05-01,25.6426
1991-05-02,27.4438
1991-05-03,29.0529
1991-05-04,31.6567
1991-05-05,32.7216
1991-05-06,33.5161
1991-05-07,34.9519
1991-05-08,35.4253
1991-05-09,35.6478
1991-05-10,35.2812
1991-05-11,34.2711
1991-05-12,36.0972
1991-05-13,35.4085
1991-05-14,34.621
1991-05-15,33.5477
1991-05-16,29.1131
1991-05-17,28.1049
1991-05-18,29.5286
1991-05-19,31.0591
1991-05-20,30.0697
1991-05-21,31.589
1991-05-22,31.7356
1991-05-23,32.0439
1991-05-24,32.1209
1991-05-25,32.885
1991-05-26,31.0088
1991-05-27,29.5746
1991-05-28,30.7895
1991-05-29,37.571
1991-05-30,29.7147
1991-05-31,30.1477
