date,tasmin_CNRM-ESM2-1
1991-01-01,6.07056
1991-01-02,5.93337
1991-01-03,8.76639
1991-01-04,5.29935
1991-01-05,3.87322
1991-01-06,4.54585
1991-01-07,6.46788
1991-01-08,1.59863
1991-01-09,1.13737
1991-01-10,1.02277
1991-01-11,1.64886
1991-01-12,2.59107
1991-01-13,5.58876
1991-01-14,5.70177
1991-01-15,9.44451
1991-01-16,8.74337
1991-01-17,10.6558
1991-01-18,6.78981
1991-01-19,6.22698
1991-01-20,8.26789
1991-01-21,7.24596
1991-01-22,5.68921
1991-01-23,4.51117
1991-01-24,3.3482
1991-01-25,4.94364
1991-01-26,8.22057
1991-01-27,7.30427
1991-01-28,7.11681
1991-01-29,6.9976
1991-01-30,5.42302
1991-01-31,3.52133
1991-02-01,3.40602
1991-02-02,3.44276
1991-02-03,1.03207
1991-02-04,-0.457686
1991-02-05,1.09477
1991-02-06,6.17237
1991-02-07,8.27861
1991-02-08,9.43708
1991-02-09,6.5474
1991-02-10,6.93095
1991-02-11,6.2948
1991-02-12,5.70212
1991-02-13,7.38317
1991-02-14,10.1858
1991-02-15,10.8954
1991-02-16,11.5256
1991-02-17,8.59584
1991-02-18,7.39486
1991-02-19,4.56163
1991-02-20,3.79108
1991-02-21,6.23581
1991-02-22,13.8183
1991-02-23,9.50782
1991-02-24,8.8543
1991-02-25,8.99349
1991-02-26,9.62418
1991-02-27,8.26195
1991-02-28,6.39312
1991-03-01,6.86987
1991-03-02,7.93917
1991-03-03,8.42874
1991-03-04,6.38532
1991-03-05,5.31259
1991-03-06,8.26705
1991-03-07,7.10492
1991-03-08,6.59618
1991-03-09,6.07361
1991-03-10,8.01204
1991-03-11,9.2588
1991-03-12,7.09415
1991-03-13,6.31628
1991-03-14,7.26122
1991-03-15,7.83299
1991-03-16,8.08585
1991-03-17,7.56111
1991-03-18,7.86463
1991-03-19,9.47578
1991-03-20,9.36978
1991-03-21,7.96885
1991-03-22,6.81701
1991-03-23,6.75309
1991-03-24,8.14935
1991-03-25,9.79996
1991-03-26,9.15145
1991-03-27,8.84911
1991-03-28,9.56481
1991-03-29,9.71773
1991-03-30,8.49218
1991-03-31,9.30336
1991-04-01,9.86411
1991-04-02,9.61063
1991-04-03,8.57501
1991-04-04,14.0539
1991-04-05,16.2797
1991-04-06,17.0147
1991-04-07,17.8561
1991-04-08,14.7442
1991-04-09,12.9637
1991-04-10,12.3552
1991-04-11,13.7842
1991-04-12,17.1934
1991-04-13,12.6126
1991-04-14,10.4435
1991-04-15,9.81758
1991-04-16,12.1161
1991-04-17,12.4651
1991-04-18,14.2343
1991-04-19,17.3305
1991-04-20,16.7129
1991-04-21,16.2558
1991-04-22,16.2716
1991-04-23,16.3954
1991-04-24,14.3738
1991-04-25,13.7656
1991-04-26,15.0501
1991-04-27,14.6963
1991-04-28,18.229
1991-04-29,15.0375
1991-04-30,13.3899
1991-05-01,12.2801
1991-05-02,14.2486
1991-05-03,17.8256
1991-05-04,17.339
1991-05-05,15.8298
1991-05-06,14.7627
1991-05-07,14.2794
1991-05-08,17.7283
1991-05-09,17.7118
1991-05-10,15.2207
1991-05-11,14.4026
1991-05-12,18.4472
1991-05-13,16.8391
1991-05-14,14.7714
1991-05-15,15.1109
1991-05-16,14.8187
1991-05-17,14.4459
1991-05-18,17.227
1991-05-19,14.0712
1991-05-20,13.5735
1991-05-21,15.1418
1991-05-22,14.6395
1991-05-23,15.1081
1991-05-24,15.2685
1991-05-25,17.0063
1991-05-26,16.3387
1991-05-27,15.8025
1991-05-28,15.4556
1991-05-29,17.4279
1991-05-30,18.4087
1991-05-31,19.3794
1991-06-01,20.0122
1991-06-02,20.4186
1991-06-03,20.0395
1991-06-04,19.9316
1991-06-05,20.8028
1991-06-06,20.1305
1991-06-07,17.6582
1991-06-08,17.07
1991-06-09,17.3056
1991-06-10,17.4455
1991-06-11,19.3513
1991-06-12,20.056
1991-06-13,19.3118
1991-06-14,19.0867
1991-06-15,18.8397
1991-06-16,19.1025
1991-06-17,19.6733
1991-06-18,19.2117
1991-06-19,19.5119
1991-06-20,20.065
1991-06-21,19.7098
1991-06-22,19.2816
1991-06-23,18.7608
1991-06-24,20.543
1991-06-25,21.9618
1991-06-26,20.791
1991-06-27,19.8153
1991-06-28,19.436
1991-06-29,20.1775
1991-06-30,21.5789
1991-07-01,22.6095
1991-07-02,22.9413
1991-07-03,21.5599
1991-07-04,22.0629
1991-07-05,21.9503
1991-07-06,22.0368
1991-07-07,21.3865
1991-07-08,20.8212
1991-07-09,19.9571
1991-07-10,20.0274
1991-07-11,20.0931
1991-07-12,22.3004
1991-07-13,22.2389
1991-07-14,21.3137
1991-07-15,21.3735
1991-07-16,21.884
1991-07-17,23.4085
1991-07-18,23.9305
1991-07-19,23.2278
1991-07-20,22.4143
1991-07-21,22.357
1991-07-22,22.3143
1991-07-23,22.8025
1991-07-24,23.117
1991-07-25,24.1412
1991-07-26,24.6488
1991-07-27,24.0886
1991-07-28,22.6973
1991-07-29,21.9356
1991-07-30,22.1231
1991-07-31,21.762
1991-08-01,21.0854
1991-08-02,22.2034
1991-08-03,23.0537
1991-08-04,23.2815
1991-08-05,23.0729
1991-08-06,23.7912
1991-08-07,24.2861
1991-08-08,23.7752
1991-08-09,22.6208
1991-08-10,22.1764
1991-08-11,23.5299
1991-08-12,24.3592
1991-08-13,23.5117
1991-08-14,22.6385
1991-08-15,22.3462
1991-08-16,23.006
1991-08-17,22.98
1991-08-18,22.5138
1991-08-19,22.9293
1991-08-20,22.8648
1991-08-21,21.2932
1991-08-22,21.3849
1991-08-23,20.8274
1991-08-24,20.2928
1991-08-25,21.7999
1991-08-26,22.4887
1991-08-27,21.699
1991-08-28,20.3472
1991-08-29,19.6105
1991-08-30,21.9419
1991-08-31,22.7833
1991-09-01,21.8198
1991-09-02,21.8972
1991-09-03,21.3998
1991-09-04,19.9939
1991-09-05,19.7945
1991-09-06,19.8875
1991-09-07,20.8459
1991-09-08,20.6923
1991-09-09,20.8703
1991-09-10,19.871
1991-09-11,20.1306
1991-09-12,19.4696
1991-09-13,19.3988
1991-09-14,20.4417
1991-09-15,20.0046
1991-09-16,18.8917
1991-09-17,18.4764
1991-09-18,21.6525
1991-09-19,20.1381
1991-09-20,20.0106
1991-09-21,19.2424
1991-09-22,18.4108
1991-09-23,16.2244
1991-09-24,17.2716
1991-09-25,18.5931
1991-09-26,19.4906
1991-09-27,20.5211
1991-09-28,21.3547
1991-09-29,20.3722
1991-09-30,18.7599
1991-10-01,16.6621
1991-10-02,14.765
1991-10-03,16.5093
1991-10-04,19.1545
1991-10-05,19.7689
1991-10-06,19.0207
1991-10-07,18.8171
1991-10-08,18.2504
1991-10-09,16.9026
1991-10-10,16.0313
1991-10-11,15.2962
1991-10-12,13.7864
1991-10-13,12.1787
1991-10-14,16.5735
1991-10-15,17.6471
1991-10-16,17.1878
1991-10-17,18.0665
1991-10-18,17.2154
1991-10-19,15.8887
1991-10-20,16.4599
1991-10-21,15.3263
1991-10-22,12.1194
1991-10-23,11.0643
1991-10-24,16.6344
1991-10-25,18.8512
1991-10-26,19.7445
1991-10-27,18.4861
1991-10-28,16.3179
1991-10-29,14.742
1991-10-30,17.9615
1991-10-31,19.014
1991-11-01,19.3568
1991-11-02,18.983
1991-11-03,18.0656
1991-11-04,16.6035
1991-11-05,16.5772
1991-11-06,17.0055
1991-11-07,18.2087
1991-11-08,17.757
1991-11-09,17.4907
1991-11-10,16.8054
1991-11-11,16.2474
1991-11-12,14.3097
1991-11-13,12.9298
1991-11-14,12.2529
1991-11-15,12.1993
1991-11-16,11.6538
1991-11-17,11.4134
1991-11-18,11.1277
1991-11-19,10.6664
1991-11-20,9.74571
1991-11-21,9.99685
1991-11-22,12.9737
1991-11-23,14.375
1991-11-24,10.3335
1991-11-25,7.17273
1991-11-26,5.57078
1991-11-27,5.93072
1991-11-28,6.64804
1991-11-29,5.90521
1991-11-30,2.8207
1991-12-01,3.54421
1991-12-02,4.51648
1991-12-03,6.20256
1991-12-04,6.76272
1991-12-05,6.23974
1991-12-06,6.73608
1991-12-07,5.71469
1991-12-08,6.93789
1991-12-09,6.70308
1991-12-10,6.12305
1991-12-11,6.68532
1991-12-12,8.41127
1991-12-13,10.1657
1991-12-14,8.71833
1991-12-15,7.05935
1991-12-16,6.48658
1991-12-17,7.48768
1991-12-18,6.50576
1991-12-19,5.31276
1991-12-20,4.76749
1991-12-21,6.12799
1991-12-22,8.67498
1991-12-23,7.78933
1991-12-24,4.7025
1991-12-25,4.24145
1991-12-26,7.96464
1991-12-27,7.5319
1991-12-28,6.8453
1991-12-29,8.96619
1991-12-30,8.82173
1991-12-31,7.22922
1992-01-01,8.61326
1992-01-02,8.12425
1992-01-03,8.43804
1992-01-04,8.28448
1992-01-05,7.27611
1992-01-06,9.45841
1992-01-07,8.5501
1992-01-08,6.63107
1992-01-09,5.13268
1992-01-10,7.38742
1992-01-11,6.52687
1992-01-12,5.98306
1992-01-13,4.95307
1992-01-14,4.50904
1992-01-15,4.95565
1992-01-16,4.36121
1992-01-17,3.91258
1992-01-18,3.10761
1992-01-19,2.72252
1992-01-20,3.88669
1992-01-21,4.82794
1992-01-22,9.88076
1992-01-23,8.37336
1992-01-24,6.83054
1992-01-25,6.71571
1992-01-26,11.6212
1992-01-27,9.9213
1992-01-28,7.138
1992-01-29,5.95998
1992-01-30,5.9033
1992-01-31,5.71539
1992-02-01,4.55401
1992-02-02,5.6286
1992-02-03,6.69922
1992-02-04,7.00562
1992-02-05,12.088
1992-02-06,10.1699
1992-02-07,7.55638
1992-02-08,6.28133
1992-02-09,6.97817
1992-02-10,7.44364
1992-02-11,11.4156
1992-02-12,11.6685
1992-02-13,10.3594
1992-02-14,9.1051
1992-02-15,6.59309
1992-02-16,4.78774
1992-02-17,4.29043
1992-02-18,12.1448
1992-02-19,11.1925
1992-02-20,8.47238
1992-02-21,7.85652
1992-02-22,5.93094
1992-02-23,6.48132
1992-02-24,6.99087
1992-02-25,5.45444
1992-02-26,4.78594
1992-02-27,7.60443
1992-02-28,6.41218
1992-02-29,10.8847
1992-03-01,10.6572
1992-03-02,9.33058
1992-03-03,11.2045
1992-03-04,11.018
1992-03-05,10.1772
1992-03-06,9.87799
1992-03-07,9.03015
1992-03-08,8.21179
1992-03-09,8.40436
1992-03-10,11.2404
1992-03-11,10.5378
1992-03-12,10.6351
1992-03-13,10.6952
1992-03-14,17.2404
1992-03-15,17.4511
1992-03-16,13.8742
1992-03-17,10.7029
1992-03-18,9.72683
1992-03-19,9.70065
1992-03-20,10.4973
1992-03-21,11.9703
1992-03-22,9.11888
1992-03-23,7.7396
1992-03-24,11.3312
1992-03-25,10.1449
1992-03-26,14.1342
1992-03-27,11.5323
1992-03-28,10.5255
1992-03-29,10.1825
1992-03-30,9.94912
1992-03-31,10.3187
1992-04-01,12.0563
1992-04-02,12.0181
1992-04-03,14.1498
1992-04-04,16.3001
1992-04-05,10.4067
1992-04-06,9.01071
1992-04-07,10.7046
1992-04-08,10.8308
1992-04-09,10.6884
1992-04-10,11.1087
1992-04-11,13.337
1992-04-12,12.7002
1992-04-13,12.1013
1992-04-14,13.3578
1992-04-15,12.8148
1992-04-16,13.9202
1992-04-17,13.1274
1992-04-18,13.2195
1992-04-19,14.6034
1992-04-20,16.872
1992-04-21,18.2945
