date,tasmin_EC-Earth3-Veg
1991-01-01,6.20079
1991-01-02,5.96109
1991-01-03,4.96272
1991-01-04,3.78471
1991-01-05,9.29477
1991-01-06,6.95312
1991-01-07,6.95557
1991-01-08,7.58216
1991-01-09,1.69939
1991-01-10,4.62084
1991-01-11,7.73191
1991-01-12,8.96382
1991-01-13,12.874
1991-01-14,11.5014
1991-01-15,8.95942
1991-01-16,8.61279
1991-01-17,8.55953
1991-01-18,7.15863
1991-01-19,3.57586
1991-01-20,4.73014
1991-01-21,7.98246
1991-01-22,7.30263
1991-01-23,6.71962
1991-01-24,5.3705
1991-01-25,6.39143
1991-01-26,6.06824
1991-01-27,9.02481
1991-01-28,5.76453
1991-01-29,4.82232
1991-01-30,2.76467
1991-01-31,2.60419
1991-02-01,3.41514
1991-02-02,5.44222
1991-02-03,6.95959
1991-02-04,3.97113
1991-02-05,9.91925
1991-02-06,5.32002
1991-02-07,6.74081
1991-02-08,6.01431
1991-02-09,8.90009
1991-02-10,5.95336
1991-02-11,6.35958
1991-02-12,9.27976
1991-02-13,6.26269
1991-02-14,8.29989
1991-02-15,6.44513
1991-02-16,9.07012
1991-02-17,8.14825
1991-02-18,6.75013
1991-02-19,7.3507
1991-02-20,7.08528
1991-02-21,6.64658
1991-02-22,6.48145
1991-02-23,5.63017
1991-02-24,5.42759
1991-02-25,9.81048
1991-02-26,8.05046
1991-02-27,8.08459
1991-02-28,6.29127
1991-03-01,9.01542
1991-03-02,8.01806
1991-03-03,8.59345
1991-03-04,7.72091
1991-03-05,8.48682
1991-03-06,7.62441
1991-03-07,9.4712
1991-03-08,9.00794
1991-03-09,12.0871
1991-03-10,8.1588
1991-03-11,7.71311
1991-03-12,7.28969
1991-03-13,6.33013
1991-03-14,7.17782
1991-03-15,8.56909
1991-03-16,7.07645
1991-03-17,7.45032
1991-03-18,13.3221
1991-03-19,11.8121
1991-03-20,9.5549
1991-03-21,6.70412
1991-03-22,7.57007
1991-03-23,9.78898
1991-03-24,9.76028
1991-03-25,8.87815
1991-03-26,13.0714
1991-03-27,12.9688
1991-03-28,16.6968
1991-03-29,14.3194
1991-03-30,12.0797
1991-03-31,8.65832
1991-04-01,7.86393
1991-04-02,5.27042
1991-04-03,11.5618
1991-04-04,10.1421
1991-04-05,10.4289
1991-04-06,9.90909
1991-04-07,9.56407
1991-04-08,8.30779
1991-04-09,10.0059
1991-04-10,12.5049
1991-04-11,13.413
1991-04-12,12.6185
1991-04-13,10.593
1991-04-14,11.313
1991-04-15,11.3112
1991-04-16,8.43581
1991-04-17,12.2291
1991-04-18,11.01
1991-04-19,11.3682
1991-04-20,8.78217
1991-04-21,10.5572
1991-04-22,13.3165
1991-04-23,15.0165
1991-04-24,13.7331
1991-04-25,12.6677
1991-04-26,9.83987
1991-04-27,10.0055
1991-04-28,13.6536
1991-04-29,13.0234
1991-04-30,13.57
1991-05-01,11.933
1991-05-02,12.3078
1991-05-03,14.0814
1991-05-04,14.9848
1991-05-05,15.4865
1991-05-06,16.5328
1991-05-07,17.6892
1991-05-08,16.5561
1991-05-09,15.7987
1991-05-10,15.5503
1991-05-11,16.8157
1991-05-12,20.5348
1991-05-13,19.3118
1991-05-14,18.2547
1991-05-15,16.9086
1991-05-16,16.5226
1991-05-17,15.4397
1991-05-18,14.4003
1991-05-19,14.6691
1991-05-20,15.3309
1991-05-21,16.4345
1991-05-22,18.2138
1991-05-23,19.5357
1991-05-24,21.9823
1991-05-25,19.8625
1991-05-26,17.9898
1991-05-27,18.564
1991-05-28,18.3696
1991-05-29,19.078
1991-05-30,20.6824
1991-05-31,22.6852
1991-06-01,23.5746
1991-06-02,22.0021
1991-06-03,23.517
1991-06-04,20.1146
1991-06-05,18.3504
1991-06-06,17.5789
1991-06-07,18.3289
1991-06-08,18.2341
1991-06-09,20.4667
1991-06-10,19.7082
1991-06-11,20.3083
1991-06-12,19.1807
1991-06-13,17.6433
1991-06-14,17.3076
1991-06-15,17.7469
1991-06-16,19.4761
1991-06-17,21.4357
1991-06-18,21.756
1991-06-19,21.5847
1991-06-20,19.9426
1991-06-21,19.695
1991-06-22,17.8762
1991-06-23,18.6671
1991-06-24,19.4255
1991-06-25,19.4504
1991-06-26,18.6396
1991-06-27,18.9632
1991-06-28,19.7997
1991-06-29,18.9113
1991-06-30,18.6326
1991-07-01,20.5471
1991-07-02,22.6695
1991-07-03,23.6549
1991-07-04,23.3363
1991-07-05,23.2091
1991-07-06,25.2571
1991-07-07,24.8829
1991-07-08,23.7752
1991-07-09,23.7675
1991-07-10,22.2829
1991-07-11,21.9553
1991-07-12,22.3774
1991-07-13,23.5122
1991-07-14,23.7315
1991-07-15,24.2144
1991-07-16,22.4368
1991-07-17,21.0137
1991-07-18,21.5565
1991-07-19,22.6888
1991-07-20,22.5989
1991-07-21,22.9298
1991-07-22,24.7593
1991-07-23,22.6462
1991-07-24,21.8754
1991-07-25,22.7937
1991-07-26,24.4756
1991-07-27,24.1358
1991-07-28,23.1183
1991-07-29,22.8379
1991-07-30,23.7049
1991-07-31,22.4833
1991-08-01,23.0238
1991-08-02,22.0636
1991-08-03,20.98
1991-08-04,20.931
1991-08-05,22.0705
1991-08-06,22.2966
1991-08-07,21.4574
1991-08-08,20.6507
1991-08-09,21.6617
1991-08-10,23.0677
1991-08-11,23.0686
1991-08-12,24.211
1991-08-13,25.0485
1991-08-14,24.403
1991-08-15,25.0708
1991-08-16,24.6044
1991-08-17,23.8653
1991-08-18,23.8305
1991-08-19,23.7717
1991-08-20,22.7114
1991-08-21,23.7282
1991-08-22,23.0004
1991-08-23,22.89
1991-08-24,23.1231
1991-08-25,22.5465
1991-08-26,22.5969
1991-08-27,22.9689
1991-08-28,21.8371
1991-08-29,21.632
1991-08-30,21.6943
1991-08-31,21.4737
1991-09-01,21.477
1991-09-02,20.2203
1991-09-03,21.1762
1991-09-04,21.277
1991-09-05,21.2605
1991-09-06,21.5506
1991-09-07,21.7766
1991-09-08,21.6814
1991-09-09,20.7166
