date,tasmin_IPSL-CM6A-LR
1991-01-01,9.83521
1991-01-02,10.2438
1991-01-03,9.05014
1991-01-04,7.62749
1991-01-05,7.75974
1991-01-06,3.9402
1991-01-07,2.9889
1991-01-08,5.64708
1991-01-09,3.61475
1991-01-10,3.87909
1991-01-11,5.80592
1991-01-12,9.62323
1991-01-13,8.23557
1991-01-14,7.44928
1991-01-15,7.19306
1991-01-16,8.95335
1991-01-17,8.36157
1991-01-18,7.51377
1991-01-19,3.91661
1991-01-20,3.79615
1991-01-21,3.62509
1991-01-22,5.19768
1991-01-23,6.0038
1991-01-24,5.12705
1991-01-25,4.96933
1991-01-26,7.40753
1991-01-27,7.3541
1991-01-28,5.90413
1991-01-29,7.57236
1991-01-30,9.21947
1991-01-31,8.90909
1991-02-01,8.17241
1991-02-02,6.14937
1991-02-03,6.04064
1991-02-04,8.43474
1991-02-05,10.0863
1991-02-06,10.9047
1991-02-07,7.96559
1991-02-08,7.29999
1991-02-09,10.024
1991-02-10,10.5848
1991-02-11,11.2312
1991-02-12,11.2713
1991-02-13,14.2641
1991-02-14,13.3691
1991-02-15,14.3568
1991-02-16,9.44061
1991-02-17,8.71418
1991-02-18,10.538
1991-02-19,10.3589
1991-02-20,9.57738
1991-02-21,9.6268
1991-02-22,10.4214
1991-02-23,6.73181
1991-02-24,6.47022
1991-02-25,7.88221
1991-02-26,7.48836
1991-02-27,7.60738
1991-02-28,7.7804
1991-03-01,7.96421
1991-03-02,6.76223
1991-03-03,8.61637
1991-03-04,10.5218
1991-03-05,10.1953
1991-03-06,10.3179
1991-03-07,9.37605
1991-03-08,9.41335
1991-03-09,10.0762
1991-03-10,10.2691
1991-03-11,12.4348
1991-03-12,12.1843
1991-03-13,7.32353
1991-03-14,7.13611
1991-03-15,10.1774
1991-03-16,10.858
1991-03-17,12.0865
1991-03-18,11.895
1991-03-19,10.9615
1991-03-20,10.486
1991-03-21,11.1763
1991-03-22,10.8649
1991-03-23,11.247
1991-03-24,12.417
1991-03-25,13.6616
1991-03-26,13.7283
1991-03-27,12.3918
1991-03-28,12.5808
1991-03-29,13.0388
1991-03-30,10.9697
1991-03-31,10.1158
1991-04-01,12.4862
1991-04-02,10.427
1991-04-03,9.28829
1991-04-04,8.39745
1991-04-05,11.1398
1991-04-06,12.3119
1991-04-07,12.9662
1991-04-08,14.0461
1991-04-09,16.8454
1991-04-10,15.1207
1991-04-11,12.9118
1991-04-12,10.1225
1991-04-13,9.77364
1991-04-14,9.9233
1991-04-15,13.3602
1991-04-16,12.1249
1991-04-17,11.1649
1991-04-18,10.3975
1991-04-19,10.979
1991-04-20,12.6054
1991-04-21,12.3169
1991-04-22,15.8969
1991-04-23,15.1108
1991-04-24,13.9393
1991-04-25,13.7019
1991-04-26,13.636
1991-04-27,13.4202
1991-04-28,18.0998
1991-04-29,13.3731
1991-04-30,12.5773
1991-05-01,12.4709
1991-05-02,15.5555
1991-05-03,20.6227
1991-05-04,21.6781
1991-05-05,21.8544
1991-05-06,22.3923
1991-05-07,21.7476
1991-05-08,20.6802
1991-05-09,15.5996
1991-05-10,14.8977
1991-05-11,15.8856
1991-05-12,17.7864
1991-05-13,20.36
1991-05-14,21.4436
1991-05-15,23.2849
1991-05-16,22.5528
1991-05-17,21.9918
1991-05-18,19.5183
1991-05-19,17.753
1991-05-20,20.015
1991-05-21,19.6726
1991-05-22,17.6866
1991-05-23,16.472
1991-05-24,16.5695
1991-05-25,17.0374
1991-05-26,18.1487
1991-05-27,18.7984
1991-05-28,19.8105
1991-05-29,20.4897
1991-05-30,22.4776
1991-05-31,24.8909
1991-06-01,19.7279
1991-06-02,18.9399
1991-06-03,19.7894
1991-06-04,19.7795
1991-06-05,19.3939
1991-06-06,18.9273
1991-06-07,19.715
1991-06-08,20.4519
1991-06-09,19.684
1991-06-10,18.7082
1991-06-11,18.9166
1991-06-12,20.4497
1991-06-13,21.3042
1991-06-14,21.3693
1991-06-15,20.5346
1991-06-16,20.5702
1991-06-17,19.3482
1991-06-18,21.8936
1991-06-19,20.3724
1991-06-20,19.7117
1991-06-21,19.877
1991-06-22,19.2451
1991-06-23,19.6129
1991-06-24,20.0826
1991-06-25,20.3845
1991-06-26,21.0903
1991-06-27,21.1228
1991-06-28,21.0198
1991-06-29,21.858
1991-06-30,21.9256
1991-07-01,20.3549
1991-07-02,19.2879
1991-07-03,19.8775
1991-07-04,21.5078
1991-07-05,22.0303
1991-07-06,23.0853
1991-07-07,22.9098
1991-07-08,21.9401
1991-07-09,22.0837
1991-07-10,20.861
1991-07-11,21.5982
1991-07-12,21.8163
1991-07-13,22.6143
1991-07-14,22.6285
1991-07-15,22.8632
1991-07-16,22.4612
1991-07-17,21.9576
1991-07-18,21.5819
1991-07-19,21.5019
1991-07-20,21.1293
1991-07-21,21.0204
1991-07-22,21.6341
1991-07-23,22.1047
1991-07-24,22.3026
1991-07-25,22.4233
1991-07-26,22.5413
1991-07-27,22.4165
1991-07-28,22.0628
1991-07-29,21.8163
1991-07-30,22.5847
1991-07-31,22.4719
1991-08-01,20.6667
1991-08-02,21.1634
1991-08-03,21.2502
1991-08-04,21.3092
1991-08-05,21.3554
1991-08-06,21.5978
1991-08-07,21.9223
1991-08-08,21.5182
1991-08-09,21.7257
1991-08-10,22.0624
1991-08-11,23.0593
1991-08-12,23.2124
1991-08-13,23.304
1991-08-14,23.0719
1991-08-15,22.3626
1991-08-16,22.1075
1991-08-17,22.2281
1991-08-18,21.7387
1991-08-19,20.367
1991-08-20,19.564
1991-08-21,20.4847
1991-08-22,21.4116
1991-08-23,21.0319
1991-08-24,20.4081
1991-08-25,20.198
1991-08-26,20.9265
1991-08-27,21.0345
1991-08-28,20.7422
1991-08-29,20.1925
1991-08-30,20.8201
1991-08-31,21.734
1991-09-01,22.129
1991-09-02,21.661
1991-09-03,21.4038
1991-09-04,21.458
1991-09-05,20.4214
1991-09-06,19.9064
1991-09-07,20.0401
1991-09-08,20.0121
1991-09-09,20.1581
1991-09-10,19.9143
1991-09-11,19.2429
1991-09-12,19.5125
1991-09-13,19.8391
1991-09-14,20.3949
1991-09-15,19.7107
1991-09-16,19.4406
1991-09-17,19.9917
1991-09-18,19.7833
1991-09-19,19.946
1991-09-20,19.8587
1991-09-21,19.3789
1991-09-22,19.3258
1991-09-23,19.5036
1991-09-24,19.3481
1991-09-25,19.0617
1991-09-26,18.7982
1991-09-27,19.0924
1991-09-28,20.0672
1991-09-29,19.137
1991-09-30,19.0291
1991-10-01,18.852
1991-10-02,18.5145
1991-10-03,19.0932
1991-10-04,19.5035
1991-10-05,20.2509
1991-10-06,21.1968
1991-10-07,19.8462
1991-10-08,19.2652
1991-10-09,18.5148
1991-10-10,18.7828
1991-10-11,18.6852
1991-10-12,17.6795
1991-10-13,16.4992
1991-10-14,15.2018
1991-10-15,15.4314
1991-10-16,17.1627
1991-10-17,16.6077
1991-10-18,17.7533
1991-10-19,17.9183
1991-10-20,19.1087
1991-10-21,18.9281
1991-10-22,18.1446
1991-10-23,16.0657
1991-10-24,16.1236
1991-10-25,16.8362
1991-10-26,17.9966
1991-10-27,17.1783
1991-10-28,15.9816
1991-10-29,15.5769
1991-10-30,14.7147
1991-10-31,12.572
1991-11-01,12.3663
1991-11-02,13.54
1991-11-03,11.2022
1991-11-04,9.99251
1991-11-05,14.8531
1991-11-06,16.8461
1991-11-07,16.5403
1991-11-08,16.5486
1991-11-09,15.8649
1991-11-10,15.0131
1991-11-11,13.6468
1991-11-12,12.6929
1991-11-13,12.8625
1991-11-14,13.5784
1991-11-15,13.6354
1991-11-16,14.1745
1991-11-17,12.1027
1991-11-18,12.9187
1991-11-19,13.8787
1991-11-20,14.779
1991-11-21,12.0694
1991-11-22,11.9658
1991-11-23,15.0982
1991-11-24,14.3
1991-11-25,13.666
1991-11-26,12.3669
1991-11-27,13.7157
1991-11-28,14.3352
1991-11-29,13.2054
1991-11-30,10.9219
1991-12-01,11.8786
1991-12-02,10.4168
1991-12-03,10.2539
1991-12-04,12.1836
1991-12-05,10.3742
1991-12-06,9.4696
1991-12-07,7.79075
1991-12-08,5.6725
1991-12-09,9.25066
1991-12-10,10.7254
1991-12-11,10.2955
1991-12-12,7.92834
1991-12-13,5.80591
1991-12-14,9.1814
1991-12-15,10.2553
1991-12-16,8.71645
1991-12-17,7.94578
1991-12-18,6.51034
1991-12-19,7.01569
1991-12-20,5.99745
1991-12-21,6.04964
1991-12-22,5.71395
1991-12-23,7.21303
1991-12-24,9.09032
1991-12-25,7.49582
1991-12-26,8.30555
1991-12-27,6.56007
1991-12-28,5.11325
1991-12-29,7.77921
1991-12-30,6.20236
