date,tasmin_MIROC6
1991-01-01,7.81118
1991-01-02,6.85124
1991-01-03,6.99639
1991-01-04,8.12604
1991-01-05,7.42192
1991-01-06,6.4639
1991-01-07,7.032
1991-01-08,7.74089
1991-01-09,6.85897
1991-01-10,7.30414
1991-01-11,7.77132
1991-01-12,7.45504
1991-01-13,9.4399
1991-01-14,9.58788
1991-01-15,8.24126
1991-01-16,8.5245
1991-01-17,9.59019
1991-01-18,12.7317
1991-01-19,14.5899
1991-01-20,12.0918
1991-01-21,9.41707
1991-01-22,7.21706
1991-01-23,6.97163
1991-01-24,7.57985
1991-01-25,7.01166
1991-01-26,7.25399
1991-01-27,6.66837
1991-01-28,6.11702
1991-01-29,6.42703
1991-01-30,9.74724
1991-01-31,8.98662
1991-02-01,8.0322
1991-02-02,7.22003
1991-02-03,8.13307
1991-02-04,9.5223
1991-02-05,12.3213
1991-02-06,11.2498
1991-02-07,8.72307
1991-02-08,6.70275
1991-02-09,9.46473
1991-02-10,8.4317
1991-02-11,9.34998
1991-02-12,10.6715
1991-02-13,11.4403
1991-02-14,10.6115
1991-02-15,9.18326
1991-02-16,6.20508
1991-02-17,5.05217
1991-02-18,5.19862
1991-02-19,5.63855
1991-02-20,8.64851
1991-02-21,8.53822
1991-02-22,8.76869
1991-02-23,7.22272
1991-02-24,7.87784
1991-02-25,9.17161
1991-02-26,9.02349
1991-02-27,8.7435
1991-02-28,8.56372
1991-03-01,8.83369
1991-03-02,13.0125
1991-03-03,12.1472
1991-03-04,10.77
1991-03-05,11.6112
1991-03-06,11.2614
1991-03-07,12.5683
1991-03-08,11.3303
1991-03-09,11.2605
1991-03-10,13.3186
1991-03-11,12.3313
1991-03-12,12.6634
1991-03-13,13.9451
1991-03-14,13.761
1991-03-15,14.2194
1991-03-16,15.2295
1991-03-17,19.7376
1991-03-18,20.4354
1991-03-19,12.3301
1991-03-20,11.2962
1991-03-21,10.6053
1991-03-22,11.634
1991-03-23,10.4023
1991-03-24,10.0712
1991-03-25,9.29673
1991-03-26,9.46677
1991-03-27,13.6242
1991-03-28,18.1456
1991-03-29,9.24006
1991-03-30,7.57349
1991-03-31,6.90996
1991-04-01,9.79362
1991-04-02,12.3084
1991-04-03,13.2413
1991-04-04,11.9872
1991-04-05,10.8385
1991-04-06,10.4548
1991-04-07,12.0254
1991-04-08,13.5664
1991-04-09,14.0769
1991-04-10,16.9091
1991-04-11,18.4265
1991-04-12,14.3774
1991-04-13,13.1749
1991-04-14,13.3179
1991-04-15,14.7129
1991-04-16,16.7366
1991-04-17,16.6478
1991-04-18,15.8394
1991-04-19,16.6907
1991-04-20,14.2605
1991-04-21,13.3489
1991-04-22,13.5291
1991-04-23,13.6129
1991-04-24,13.1134
1991-04-25,12.9698
1991-04-26,13.2644
1991-04-27,13.9942
1991-04-28,13.863
1991-04-29,14.3518
1991-04-30,15.1355
1991-05-01,15.5281
1991-05-02,16.8433
1991-05-03,14.6079
1991-05-04,13.2971
1991-05-05,13.9785
1991-05-06,14.3627
1991-05-07,14.138
1991-05-08,15.4445
1991-05-09,17.3792
1991-05-10,19.2818
1991-05-11,20.4855
1991-05-12,19.6138
1991-05-13,18.253
1991-05-14,17.0989
1991-05-15,16.7695
1991-05-16,17.73
1991-05-17,18.1085
1991-05-18,18.175
1991-05-19,18.5035
1991-05-20,18.647
1991-05-21,20.6658
1991-05-22,20.2736
1991-05-23,19.7047
1991-05-24,20.1484
1991-05-25,22.4609
1991-05-26,25.8805
1991-05-27,23.6136
1991-05-28,20.7088
1991-05-29,19.5833
1991-05-30,18.8636
1991-05-31,18.0247
1991-06-01,16.4558
1991-06-02,17.3899
1991-06-03,19.792
1991-06-04,19.3537
1991-06-05,19.4054
1991-06-06,20.4436
1991-06-07,20.7233
1991-06-08,20.043
1991-06-09,18.682
1991-06-10,19.587
1991-06-11,20.1001
1991-06-12,21.5874
1991-06-13,21.1038
1991-06-14,20.6585
1991-06-15,22.0086
1991-06-16,22.0602
1991-06-17,21.7154
1991-06-18,21.2264
1991-06-19,22.5796
1991-06-20,22.3891
1991-06-21,21.0796
1991-06-22,21.0758
1991-06-23,21.7645
1991-06-24,20.9785
1991-06-25,20.7557
1991-06-26,21.361
1991-06-27,21.6547
1991-06-28,22.4522
1991-06-29,21.5107
1991-06-30,21.4659
1991-07-01,20.101
1991-07-02,20.8228
1991-07-03,20.8304
1991-07-04,19.5921
1991-07-05,20.7767
1991-07-06,20.7509
1991-07-07,20.8741
1991-07-08,20.5693
1991-07-09,20.2972
1991-07-10,21.3414
