date,tasmin_MPI-ESM1-2-HR
1991-01-01,12.1729
1991-01-02,9.54127
1991-01-03,9.08179
1991-01-04,7.3498
1991-01-05,9.39433
1991-01-06,8.36165
1991-01-07,8.05629
1991-01-08,8.077
1991-01-09,12.2623
1991-01-10,10.5306
1991-01-11,10.1993
1991-01-12,9.97843
1991-01-13,9.57958
1991-01-14,8.15408
1991-01-15,4.52283
1991-01-16,3.85414
1991-01-17,3.80265
1991-01-18,7.35122
1991-01-19,6.63932
1991-01-20,7.04195
1991-01-21,6.33812
1991-01-22,3.74835
1991-01-23,2.71428
1991-01-24,4.08834
1991-01-25,6.33868
1991-01-26,4.59135
1991-01-27,4.40066
1991-01-28,7.19551
1991-01-29,7.12632
1991-01-30,5.31572
1991-01-31,4.9663
1991-02-01,5.22105
1991-02-02,5.79019
1991-02-03,8.80708
1991-02-04,4.23114
1991-02-05,3.15249
1991-02-06,7.91506
1991-02-07,8.42383
1991-02-08,6.7406
1991-02-09,6.86404
1991-02-10,5.7442
1991-02-11,4.49409
1991-02-12,4.44364
1991-02-13,2.21815
1991-02-14,2.13711
1991-02-15,4.55473
1991-02-16,5.43297
1991-02-17,2.33022
1991-02-18,2.01784
1991-02-19,1.57313
1991-02-20,0.768487
1991-02-21,5.43945
1991-02-22,4.803
1991-02-23,4.1553
1991-02-24,3.6871
1991-02-25,6.1173
1991-02-26,8.20127
1991-02-27,5.95604
1991-02-28,5.70896
1991-03-01,7.98909
1991-03-02,8.47683
1991-03-03,8.78902
1991-03-04,6.8226
1991-03-05,6.25343
1991-03-06,8.20887
1991-03-07,7.67653
1991-03-08,7.61511
1991-03-09,9.59087
1991-03-10,13.5686
1991-03-11,13.0518
1991-03-12,10.1038
1991-03-13,8.64017
1991-03-14,7.08204
1991-03-15,8.39128
1991-03-16,8.93858
1991-03-17,9.41289
1991-03-18,10.1272
1991-03-19,10.7395
1991-03-20,11.7357
1991-03-21,9.70357
1991-03-22,9.10462
1991-03-23,9.48874
1991-03-24,11.0092
1991-03-25,11.4617
1991-03-26,10.6417
1991-03-27,18.2673
1991-03-28,14.8563
1991-03-29,12.7774
1991-03-30,10.9259
1991-03-31,12.4044
1991-04-01,12.4276
1991-04-02,12.9517
1991-04-03,12.9537
1991-04-04,11.8153
1991-04-05,10.7986
1991-04-06,9.8848
1991-04-07,8.49604
1991-04-08,10.9191
1991-04-09,9.25328
1991-04-10,10.7291
1991-04-11,12.4786
1991-04-12,14.4826
1991-04-13,17.2215
1991-04-14,16.9528
1991-04-15,17.0473
1991-04-16,17.5482
1991-04-17,18.3458
1991-04-18,18.5622
1991-04-19,18.8975
1991-04-20,17.1521
1991-04-21,16.404
1991-04-22,17.951
1991-04-23,15.5108
1991-04-24,14.353
1991-04-25,13.4533
1991-04-26,15.3075
1991-04-27,14.403
1991-04-28,14.6418
1991-04-29,13.6518
1991-04-30,12.9749
1991-05-01,14.0022
1991-05-02,13.5076
1991-05-03,17.3243
1991-05-04,19.0402
1991-05-05,19.5869
1991-05-06,17.9377
1991-05-07,15.2096
1991-05-08,14.2796
1991-05-09,14.0896
1991-05-10,16.3043
1991-05-11,18.5018
1991-05-12,21.6055
1991-05-13,20.4729
1991-05-14,19.334
1991-05-15,16.357
1991-05-16,14.7899
1991-05-17,14.267
1991-05-18,14.1911
1991-05-19,14.6601
1991-05-20,13.9524
1991-05-21,14.6161
1991-05-22,16.0531
1991-05-23,15.8952
1991-05-24,15.7439
1991-05-25,17.6103
1991-05-26,19.1337
1991-05-27,18.1174
1991-05-28,17.8448
1991-05-29,17.4301
1991-05-30,19.3199
1991-05-31,21.5531
1991-06-01,22.7391
1991-06-02,22.2707
1991-06-03,23.3748
1991-06-04,22.3491
1991-06-05,20.6022
1991-06-06,19.1241
1991-06-07,19.2982
1991-06-08,18.2711
1991-06-09,18.0405
1991-06-10,18.1745
1991-06-11,18.6472
1991-06-12,18.4025
1991-06-13,20.5315
1991-06-14,20.0773
1991-06-15,19.357
1991-06-16,20.4157
1991-06-17,19.7333
1991-06-18,18.6454
1991-06-19,18.2939
1991-06-20,18.1828
1991-06-21,17.9876
1991-06-22,20.526
1991-06-23,20.3746
1991-06-24,20.009
1991-06-25,21.2282
1991-06-26,20.5397
1991-06-27,19.881
1991-06-28,19.8883
1991-06-29,20.0474
1991-06-30,20.0003
1991-07-01,21.1896
1991-07-02,21.908
1991-07-03,21.5834
1991-07-04,21.2564
1991-07-05,21.5011
1991-07-06,20.6531
1991-07-07,19.6047
1991-07-08,19.1401
1991-07-09,17.4103
1991-07-10,17.2261
1991-07-11,18.22
1991-07-12,19.0708
1991-07-13,19.552
1991-07-14,19.1271
1991-07-15,20.3894
1991-07-16,21.9039
1991-07-17,20.5826
1991-07-18,21.8395
1991-07-19,21.8317
1991-07-20,22.8732
1991-07-21,23.8365
1991-07-22,22.9191
1991-07-23,22.1303
1991-07-24,22.3513
1991-07-25,21.9149
1991-07-26,22.0428
1991-07-27,21.2804
1991-07-28,20.2744
1991-07-29,21.3235
1991-07-30,21.8715
1991-07-31,22.6378
1991-08-01,21.3289
1991-08-02,22.3426
1991-08-03,22.2568
1991-08-04,21.9941
1991-08-05,21.2433
1991-08-06,20.516
1991-08-07,22.0234
1991-08-08,23.0726
1991-08-09,22.675
1991-08-10,22.0236
1991-08-11,21.7298
1991-08-12,23.2176
1991-08-13,24.0299
1991-08-14,23.3043
1991-08-15,22.3905
1991-08-16,21.2921
1991-08-17,21.5156
1991-08-18,22.5225
1991-08-19,23.1664
1991-08-20,23.0176
1991-08-21,23.1
1991-08-22,23.195
1991-08-23,22.2187
1991-08-24,20.8863
1991-08-25,20.2875
1991-08-26,21.8289
1991-08-27,22.0826
1991-08-28,22.1519
1991-08-29,21.7367
1991-08-30,20.5072
1991-08-31,21.1612
1991-09-01,20.403
1991-09-02,20.1011
1991-09-03,20.0963
1991-09-04,20.195
1991-09-05,19.9869
1991-09-06,19.1632
1991-09-07,19.6955
1991-09-08,20.1678
1991-09-09,21.3081
1991-09-10,19.7072
1991-09-11,19.5082
1991-09-12,21.5647
1991-09-13,21.4644
1991-09-14,19.8148
1991-09-15,18.3391
1991-09-16,18.397
1991-09-17,19.5266
1991-09-18,19.1233
1991-09-19,18.5629
1991-09-20,19.7154
1991-09-21,21.0268
1991-09-22,22.946
1991-09-23,21.9451
1991-09-24,20.1806
1991-09-25,21.006
1991-09-26,22.4181
1991-09-27,22.4026
1991-09-28,22.2045
1991-09-29,21.4188
1991-09-30,21.2965
1991-10-01,23.1461
1991-10-02,22.247
1991-10-03,20.3568
1991-10-04,20.2848
1991-10-05,21.6761
1991-10-06,20.5383
1991-10-07,18.2723
1991-10-08,16.8762
1991-10-09,18.678
1991-10-10,20.2092
1991-10-11,20.2209
1991-10-12,19.6986
1991-10-13,18.2148
1991-10-14,18.1408
1991-10-15,18.7434
1991-10-16,18.8535
1991-10-17,18.9371
1991-10-18,20.4794
1991-10-19,18.4908
1991-10-20,18.297
1991-10-21,17.1333
1991-10-22,17.1493
1991-10-23,17.1402
1991-10-24,17.2325
1991-10-25,16.8727
1991-10-26,17.0075
1991-10-27,16.3017
1991-10-28,16.3856
1991-10-29,16.3751
1991-10-30,17.8551
1991-10-31,17.7921
1991-11-01,16.4668
1991-11-02,15.3923
1991-11-03,14.6304
1991-11-04,14.7656
1991-11-05,15.3935
1991-11-06,16.1361
1991-11-07,14.7339
1991-11-08,13.0577
1991-11-09,12.2576
1991-11-10,14.4783
1991-11-11,14.0521
1991-11-12,11.4771
1991-11-13,11.9948
1991-11-14,13.2098
1991-11-15,10.7209
1991-11-16,11.2779
1991-11-17,12.5619
1991-11-18,11.6992
1991-11-19,12.9944
1991-11-20,15.0991
1991-11-21,15.7107
1991-11-22,14.5451
1991-11-23,13.563
1991-11-24,12.4927
1991-11-25,10.7289
1991-11-26,10.5712
1991-11-27,9.9996
1991-11-28,11.8814
1991-11-29,11.4919
1991-11-30,10.3447
1991-12-01,12.0374
1991-12-02,13.9683
1991-12-03,11.8533
1991-12-04,11.3171
1991-12-05,11.3087
1991-12-06,11.4967
1991-12-07,8.58401
1991-12-08,6.79881
1991-12-09,3.65226
1991-12-10,3.16053
1991-12-11,1.45205
1991-12-12,1.38001
1991-12-13,1.45844
1991-12-14,1.6427
1991-12-15,4.0808
1991-12-16,8.71344
1991-12-17,8.35498
1991-12-18,9.77526
1991-12-19,9.67592
1991-12-20,8.11254
1991-12-21,8.12839
1991-12-22,8.85639
1991-12-23,7.54747
1991-12-24,6.20236
1991-12-25,4.46412
1991-12-26,6.21663
1991-12-27,4.69784
1991-12-28,4.58802
1991-12-29,5.71081
1991-12-30,5.81736
1991-12-31,4.56931
1992-01-01,4.8962
1992-01-02,10.5034
1992-01-03,10.0388
1992-01-04,2.74674
1992-01-05,2.92165
1992-01-06,7.67483
1992-01-07,8.29222
1992-01-08,4.22791
1992-01-09,3.76096
1992-01-10,6.53669
1992-01-11,7.14839
1992-01-12,7.65059
1992-01-13,7.41676
1992-01-14,0.819819
1992-01-15,0.645058
1992-01-16,3.89685
1992-01-17,5.39359
1992-01-18,7.30758
1992-01-19,7.18582
1992-01-20,7.50526
1992-01-21,5.45707
1992-01-22,2.78784
1992-01-23,2.25907
1992-01-24,6.76981
1992-01-25,7.46863
1992-01-26,5.70951
1992-01-27,8.49736
1992-01-28,8.07444
1992-01-29,5.99182
1992-01-30,7.39
1992-01-31,9.01697
1992-02-01,7.76811
1992-02-02,7.43214
1992-02-03,2.82152
1992-02-04,1.49135
1992-02-05,3.15974
1992-02-06,4.12401
1992-02-07,4.8731
1992-02-08,7.7563
1992-02-09,7.35361
1992-02-10,9.48197
1992-02-11,9.8984
1992-02-12,7.04481
1992-02-13,5.54506
1992-02-14,4.02085
1992-02-15,3.45162
1992-02-16,4.78014
1992-02-17,3.46255
1992-02-18,3.80846
1992-02-19,5.97403
1992-02-20,7.92745
1992-02-21,8.02008
1992-02-22,7.07804
1992-02-23,5.47356
1992-02-24,2.24326
1992-02-25,1.55017
1992-02-26,3.00037
1992-02-27,4.20363
1992-02-28,7.70344
1992-02-29,13.7475
1992-03-01,10.6675
1992-03-02,5.41975
1992-03-03,4.39823
1992-03-04,2.59123
1992-03-05,5.73107
1992-03-06,6.35469
1992-03-07,7.52355
1992-03-08,7.41185
1992-03-09,7.20542
1992-03-10,6.71911
1992-03-11,7.98458
1992-03-12,8.18778
1992-03-13,8.50149
1992-03-14,7.36009
1992-03-15,8.92608
1992-03-16,13.5643
1992-03-17,17.1267
1992-03-18,13.645
1992-03-19,12.4126
1992-03-20,12.3154
1992-03-21,10.9168
1992-03-22,11.2236
1992-03-23,10.9533
1992-03-24,12.1718
1992-03-25,12.9738
1992-03-26,10.4837
1992-03-27,9.79574
1992-03-28,11.7563
1992-03-29,11.7148
1992-03-30,10.3804
1992-03-31,9.66397
1992-04-01,9.97682
1992-04-02,12.0174
1992-04-03,11.4482
1992-04-04,10.5775
1992-04-05,9.70461
1992-04-06,9.28598
1992-04-07,17.0441
1992-04-08,16.804
1992-04-09,15.7615
