date,tasmin_NorESM2-MM
1991-01-01,9.26823
1991-01-02,8.7933
1991-01-03,12.1124
1991-01-04,12.1827
1991-01-05,10.8167
1991-01-06,8.37519
1991-01-07,7.74737
1991-01-08,8.93135
1991-01-09,10.598
1991-01-10,9.01927
1991-01-11,9.39797
1991-01-12,8.14483
1991-01-13,7.62685
1991-01-14,7.39991
1991-01-15,7.26516
1991-01-16,5.48933
1991-01-17,6.42338
1991-01-18,7.27257
1991-01-19,9.68911
1991-01-20,8.4782
1991-01-21,8.99812
1991-01-22,8.25902
1991-01-23,6.77369
1991-01-24,7.74649
1991-01-25,7.86708
1991-01-26,8.06485
1991-01-27,6.51055
1991-01-28,7.28249
1991-01-29,8.388
1991-01-30,6.96544
1991-01-31,7.87503
1991-02-01,8.44154
1991-02-02,7.76476
1991-02-03,5.75224
1991-02-04,7.18379
1991-02-05,6.31705
1991-02-06,6.00138
1991-02-07,6.05129
1991-02-08,7.78527
1991-02-09,6.54143
1991-02-10,4.6512
1991-02-11,2.98828
1991-02-12,5.44518
1991-02-13,4.56946
1991-02-14,6.12377
1991-02-15,6.94149
1991-02-16,9.41963
1991-02-17,13.1523
1991-02-18,16.1527
1991-02-19,14.599
1991-02-20,9.97016
1991-02-21,8.88139
1991-02-22,7.619
1991-02-23,6.65741
1991-02-24,7.18413
1991-02-25,9.84054
1991-02-26,10.0106
1991-02-27,10.2614
1991-02-28,11.2344
1991-03-01,11.2857
1991-03-02,11.0082
1991-03-03,11.1388
1991-03-04,10.9649
1991-03-05,10.9411
1991-03-06,11.7606
1991-03-07,13.0335
1991-03-08,13.9122
1991-03-09,12.523
1991-03-10,9.11772
1991-03-11,7.10753
1991-03-12,8.85582
1991-03-13,8.50912
1991-03-14,7.94803
1991-03-15,9.56876
1991-03-16,8.96325
1991-03-17,10.2973
1991-03-18,10.3629
1991-03-19,11.4272
1991-03-20,13.8745
1991-03-21,14.6814
1991-03-22,15.6828
1991-03-23,19.4044
1991-03-24,13.8855
1991-03-25,12.5984
1991-03-26,13.1475
1991-03-27,11.96
1991-03-28,11.321
1991-03-29,14.551
1991-03-30,13.0714
1991-03-31,18.2868
1991-04-01,13.3649
1991-04-02,12.5118
1991-04-03,11.8327
1991-04-04,11.0827
1991-04-05,11.5356
1991-04-06,11.528
1991-04-07,12.6039
1991-04-08,15.6279
1991-04-09,14.7355
1991-04-10,13.2572
1991-04-11,12.5773
1991-04-12,12.6918
1991-04-13,13.9567
1991-04-14,17.0769
1991-04-15,15.3382
1991-04-16,13.226
1991-04-17,12.8125
1991-04-18,13.3627
1991-04-19,16.4753
1991-04-20,15.2559
1991-04-21,13.7654
1991-04-22,14.592
1991-04-23,13.6917
1991-04-24,13.6558
1991-04-25,13.3773
1991-04-26,13.4382
1991-04-27,12.7267
1991-04-28,12.48
1991-04-29,12.6157
1991-04-30,15.8505
1991-05-01,14.6719
1991-05-02,13.3594
1991-05-03,15.8772
1991-05-04,18.983
1991-05-05,15.2518
1991-05-06,13.863
1991-05-07,13.102
1991-05-08,17.6862
1991-05-09,14.2339
1991-05-10,13.8085
1991-05-11,13.9232
1991-05-12,13.8457
1991-05-13,13.5613
1991-05-14,13.2433
1991-05-15,16.0292
1991-05-16,19.9432
1991-05-17,16.0088
1991-05-18,15.2594
1991-05-19,14.8557
1991-05-20,14.619
1991-05-21,18.3238
1991-05-22,19.438
1991-05-23,17.9772
1991-05-24,17.2181
1991-05-25,20.3942
1991-05-26,19.3917
1991-05-27,17.6866
1991-05-28,16.6974
1991-05-29,19.7914
1991-05-30,18.1987
1991-05-31,17.5007
1991-06-01,16.5645
1991-06-02,17.091
1991-06-03,17.1596
1991-06-04,18.462
1991-06-05,23.5656
1991-06-06,19.8421
1991-06-07,17.3552
1991-06-08,16.2645
1991-06-09,16.9145
1991-06-10,18.3512
1991-06-11,18.8439
1991-06-12,18.3391
1991-06-13,18.5333
1991-06-14,18.6452
1991-06-15,19.9907
1991-06-16,19.841
1991-06-17,19.5379
1991-06-18,18.9448
1991-06-19,20.8028
1991-06-20,19.3427
1991-06-21,19.4925
1991-06-22,22.2857
1991-06-23,22.403
1991-06-24,21.6759
1991-06-25,21.9304
1991-06-26,22.2457
1991-06-27,23.0924
1991-06-28,23.7551
1991-06-29,23.1347
1991-06-30,21.7428
1991-07-01,20.7597
1991-07-02,19.621
1991-07-03,20.5308
1991-07-04,21.1726
1991-07-05,20.4592
1991-07-06,20.6309
1991-07-07,20.0965
1991-07-08,20.8005
1991-07-09,21.5861
1991-07-10,22.5055
1991-07-11,22.6467
1991-07-12,19.62
1991-07-13,17.2944
1991-07-14,21.9068
1991-07-15,23.1267
1991-07-16,23.6791
1991-07-17,23.52
1991-07-18,22.3066
1991-07-19,21.5562
1991-07-20,20.1788
1991-07-21,21.4172
1991-07-22,22.9967
1991-07-23,23.4725
1991-07-24,22.5722
1991-07-25,21.655
1991-07-26,22.3177
1991-07-27,22.6865
1991-07-28,22.4457
1991-07-29,22.3424
1991-07-30,22.6859
1991-07-31,22.4622
1991-08-01,21.4007
1991-08-02,21.2816
1991-08-03,22.1411
1991-08-04,21.8485
1991-08-05,21.853
1991-08-06,21.7062
1991-08-07,21.2876
1991-08-08,20.6926
1991-08-09,20.6517
1991-08-10,21.0013
1991-08-11,20.7556
1991-08-12,20.6268
1991-08-13,22.0943
1991-08-14,21.1863
1991-08-15,20.828
1991-08-16,21.5317
1991-08-17,20.9263
1991-08-18,21.1326
1991-08-19,20.5713
1991-08-20,20.5051
1991-08-21,21.3493
1991-08-22,22.0965
1991-08-23,22.3989
1991-08-24,22.3628
1991-08-25,21.8447
1991-08-26,21.0276
1991-08-27,20.926
1991-08-28,21.7696
1991-08-29,20.5974
1991-08-30,20.7692
1991-08-31,21.1982
1991-09-01,21.7097
1991-09-02,22.1243
1991-09-03,21.9251
1991-09-04,20.644
1991-09-05,21.3437
1991-09-06,22.6316
1991-09-07,21.8941
1991-09-08,20.7171
1991-09-09,21.0311
1991-09-10,21.5685
1991-09-11,22.2441
1991-09-12,21.3474
1991-09-13,20.0427
1991-09-14,19.5319
1991-09-15,19.2119
1991-09-16,20.1618
1991-09-17,19.7396
1991-09-18,17.8078
1991-09-19,14.8097
1991-09-20,18.8443
1991-09-21,19.5638
1991-09-22,19.0157
1991-09-23,18.624
1991-09-24,18.4587
1991-09-25,17.9668
1991-09-26,17.6828
1991-09-27,18.5025
1991-09-28,18.7767
1991-09-29,18.8485
1991-09-30,19.0674
1991-10-01,21.4519
1991-10-02,24.076
1991-10-03,23.1988
1991-10-04,19.8253
1991-10-05,18.8208
1991-10-06,18.1427
1991-10-07,18.2888
1991-10-08,18.691
1991-10-09,20.1773
1991-10-10,19.8872
1991-10-11,19.1644
1991-10-12,18.0663
1991-10-13,18.8527
1991-10-14,18.2043
1991-10-15,18.0874
1991-10-16,18.2771
1991-10-17,19.0728
1991-10-18,19.718
1991-10-19,19.7536
1991-10-20,17.9694
1991-10-21,18.1211
1991-10-22,16.7184
1991-10-23,16.925
1991-10-24,17.1309
1991-10-25,19.8846
1991-10-26,19.1667
1991-10-27,18.9677
1991-10-28,18.9383
1991-10-29,17.8665
1991-10-30,15.8378
1991-10-31,14.8167
1991-11-01,16.0913
1991-11-02,15.4951
1991-11-03,14.953
1991-11-04,16.76
1991-11-05,18.7764
1991-11-06,17.9382
1991-11-07,17.8835
1991-11-08,15.907
1991-11-09,14.0287
1991-11-10,12.9291
1991-11-11,13.5275
1991-11-12,13.705
1991-11-13,13.2452
1991-11-14,13.3816
1991-11-15,13.0505
1991-11-16,14.2162
1991-11-17,12.5917
1991-11-18,13.3113
1991-11-19,14.0282
1991-11-20,13.7222
1991-11-21,13.6427
1991-11-22,12.0545
1991-11-23,10.8579
1991-11-24,11.528
1991-11-25,11.5226
1991-11-26,13.2856
1991-11-27,13.5874
1991-11-28,10.4817
1991-11-29,8.43662
1991-11-30,8.7513
1991-12-01,10.1177
1991-12-02,10.6383
1991-12-03,11.9606
1991-12-04,12.9434
1991-12-05,11.4033
1991-12-06,11.0785
1991-12-07,12.349
1991-12-08,13.264
1991-12-09,14.4491
1991-12-10,14.6312
1991-12-11,12.4874
1991-12-12,10.9466
1991-12-13,8.55622
1991-12-14,7.21183
1991-12-15,7.87378
1991-12-16,7.63988
1991-12-17,7.20811
1991-12-18,6.0259
1991-12-19,7.67673
1991-12-20,6.94984
1991-12-21,7.51488
1991-12-22,7.73893
1991-12-23,7.63235
1991-12-24,7.23262
