date,tasmin_UKESM1-0-LL
1991-01-01,6.64644
1991-01-02,5.90559
1991-01-03,2.97377
1991-01-04,0.846474
1991-01-05,0.271859
1991-01-06,1.99493
1991-01-07,1.15563
1991-01-08,0.937905
1991-01-09,2.91551
1991-01-10,7.83526
1991-01-11,6.83293
1991-01-12,5.85598
1991-01-13,6.18403
1991-01-14,5.55551
1991-01-15,6.40074
1991-01-16,7.54354
1991-01-17,8.8007
1991-01-18,8.21667
1991-01-19,6.74686
1991-01-20,5.97787
1991-01-21,6.236
1991-01-22,5.8445
1991-01-23,6.17659
1991-01-24,7.75185
1991-01-25,8.72324
1991-01-26,6.32696
1991-01-27,5.59662
1991-01-28,6.41138
1991-01-29,6.97599
1991-01-30,4.29514
1991-01-31,4.68424
1991-02-01,6.86649
1991-02-02,5.63907
1991-02-03,8.76667
1991-02-04,10.9626
1991-02-05,13.1681
1991-02-06,12.2416
1991-02-07,11.7513
1991-02-08,10.4962
1991-02-09,8.51889
1991-02-10,8.352
1991-02-11,6.01401
1991-02-12,5.22925
1991-02-13,8.74298
1991-02-14,6.86042
1991-02-15,8.60101
1991-02-16,7.14284
1991-02-17,8.99806
1991-02-18,9.11689
1991-02-19,9.18636
1991-02-20,8.04501
1991-02-21,6.01605
1991-02-22,6.16908
1991-02-23,5.45879
1991-02-24,8.2561
1991-02-25,8.19573
1991-02-26,7.07557
1991-02-27,7.62993
1991-02-28,9.08055
1991-03-01,9.98766
1991-03-02,7.93436
1991-03-03,9.03285
1991-03-04,10.6795
1991-03-05,8.58737
1991-03-06,7.90812
1991-03-07,8.50969
1991-03-08,9.97849
1991-03-09,9.79725
1991-03-10,8.20366
1991-03-11,9.68364
1991-03-12,10.4021
1991-03-13,9.2763
1991-03-14,10.0586
1991-03-15,10.9589
1991-03-16,11.8717
1991-03-17,12.1218
1991-03-18,9.96191
1991-03-19,9.11886
1991-03-20,7.18065
1991-03-21,8.0699
1991-03-22,8.95395
1991-03-23,5.17385
1991-03-24,3.93793
1991-03-25,3.95515
1991-03-26,0.714165
1991-03-27,6.74297
1991-03-28,5.81825
1991-03-29,7.74137
1991-03-30,10.7974
1991-03-31,13.8795
1991-04-01,12.6078
1991-04-02,10.8188
1991-04-03,12.5499
1991-04-04,12.3168
1991-04-05,12.3409
1991-04-06,11.624
1991-04-07,11.9052
1991-04-08,12.0915
1991-04-09,12.4434
1991-04-10,12.837
1991-04-11,12.8122
1991-04-12,12.2995
1991-04-13,13.7161
1991-04-14,12.4678
1991-04-15,13.4668
1991-04-16,13.0254
1991-04-17,11.2841
1991-04-18,13.1666
1991-04-19,13.4953
1991-04-20,13.1187
1991-04-21,12.6359
1991-04-22,13.6099
1991-04-23,14.1846
1991-04-24,16.5407
1991-04-25,17.2088
1991-04-26,18.4704
1991-04-27,15.4032
1991-04-28,13.4506
1991-04-29,12.2188
1991-04-30,12.42
1991-05-01,13.4977
1991-05-02,12.8933
1991-05-03,13.4688
1991-05-04,15.0067
1991-05-05,17.2408
1991-05-06,18.4348
1991-05-07,18.0957
1991-05-08,18.5043
1991-05-09,19.2377
1991-05-10,21.9868
1991-05-11,23.8353
1991-05-12,24.0048
1991-05-13,21.3967
1991-05-14,20.4117
1991-05-15,18.8334
1991-05-16,18.536
1991-05-17,17.3354
1991-05-18,16.505
