date,hurs_CMCC-CM2-SR5,hurs_CNRM-ESM2-1,hurs_EC-Earth3-Veg,hurs_IPSL-CM6A-LR,hurs_MIROC6,hurs_MPI-ESM1-2-HR,hurs_NorESM2-MM,hurs_UKESM1-0-LL,pr_CESM2,pr_CMCC-CM2-SR5,pr_CNRM-ESM2-1,pr_EC-Earth3-Veg,pr_IPSL-CM6A-LR,pr_MIROC6,pr_MPI-ESM1-2-HR,pr_NorESM2-MM,pr_UKESM1-0-LL,tasmax_CNRM-ESM2-1,tasmax_EC-Earth3-Veg,tasmax_IPSL-CM6A-LR,tasmax_MIROC6,tasmax_MPI-ESM1-2-HR,tasmax_NorESM2-MM,tasmax_UKESM1-0-LL,tasmin_CNRM-ESM2-1,tasmin_EC-Earth3-Veg,tasmin_IPSL-CM6A-LR,tasmin_MIROC6,tasmin_MPI-ESM1-2-HR,tasmin_NorESM2-MM,tasmin_UKESM1-0-LL
1991-01-01,58.7511,64.6807,69.7095,75.401,80.2474,91.4198,68.9915,69.2275,2.79587,0.408182,-2.77556e-14,-2.77556e-14,4.91503,0.237301,1.46092,-2.77556e-14,-2.77556e-14,15.7464,19.8191,15.33,14.7328,15.3242,16.889,16.7787,6.07056,6.20079,9.83521,7.81118,12.1729,9.26823,6.64644
1991-01-02,63.0167,59.9077,67.6059,81.7439,67.8539,89.5806,79.7817,66.7425,1.11762,0.190565,-2.77556e-14,-2.77556e-14,7.58051,-2.77556e-14,0.122242,2.97833,0.30798,17.2133,20.0232,15.341,15.1884,17.4168,16.6216,16.6903,5.93337,5.96109,10.2438,6.85124,9.54127,8.7933,5.90559
1991-01-03,71.5772,62.8732,64.2267,65.1741,77.3394,87.7475,89.1546,86.9087,0.0713206,0.138904,0.379506,-2.77556e-14,0.0817671,0.373557,0.141351,22.3724,11.402,18.6965,20.07,17.5263,15.0166,17.5043,16.039,10.277,8.76639,4.96272,9.05014,6.99639,9.08179,12.1124,2.97377
1991-01-04,72.6466,67.971,64.8085,72.5452,76.1455,74.7173,84.9339,66.42,0.0227789,3.315,0.13993,0.0255238,0.159387,0.166976,0.075265,0.501862,0.090859,14.8082,19.7393,18.1031,15.6816,19.6145,20.0862,9.59072,5.29935,3.78471,7.62749,8.12604,7.3498,12.1827,0.846474
1991-01-05,85.962,58.6483,89.0863,73.0127,70.6579,81.7537,77.2965,60.8535,1.26523,15.0609,-2.77556e-14,11.7272,0.720157,-2.77556e-14,0.30423,0.0316226,-2.77556e-14,13.0672,14.9981,15.6363,15.1606,18.6136,18.4705,11.5778,3.87322,9.29477,7.75974,7.42192,9.39433,10.8167,0.271859
1991-01-06,91.325,61.0523,85.4343,64.5542,84.0975,86.2863,75.9566,51.195,6.37635,17.6639,2.30442,29.4448,-2.77556e-14,0.0905325,0.131633,8.90188,-2.77556e-14,13.8935,11.4292,13.5914,15.765,17.204,18.0487,12.937,4.54585,6.95312,3.9402,6.4639,8.36165,8.37519,1.99493
1991-01-07,89.3944,84.0022,89.7297,63.5119,81.2339,74.9176,77.7252,51.7301,9.71308,3.91977,13.2968,9.71849,-2.77556e-14,0.00759297,0.0227789,13.13,-2.77556e-14,12.8248,7.83234,12.9073,17.116,17.7473,12.9387,13.6592,6.46788,6.95557,2.9889,7.032,8.05629,7.74737,1.15563
1991-01-08,79.8229,76.5135,75.7877,77.1576,66.533,66.9408,87.4734,53.7501,11.0015,0.00759297,3.81949,1.58007,6.84178,-2.77556e-14,-2.77556e-14,14.5025,-2.77556e-14,9.67728,10.9342,14.3729,18.0082,17.9847,14.7412,13.4526,1.59863,7.58216,5.64708,7.74089,8.077,8.93135,0.937905
1991-01-09,73.0616,72.8339,73.1386,86.3412,66.0529,63.0523,81.6331,57.1369,6.04389,0.11674,0.164418,-2.77556e-14,6.14206,-2.77556e-14,0.406818,4.82239,-2.77556e-14,9.61389,12.2034,13.2448,18.3,19.7919,14.6902,14.827,1.13737,1.69939,3.61475,6.85897,12.2623,10.598,2.91551
1991-01-10,88.0702,62.7119,68.5448,86.8773,66.4983,64.4175,70.6055,56.7933,8.85072,2.84824,-2.77556e-14,-2.77556e-14,3.3808,-2.77556e-14,0.327169,1.205,0.00759297,11.2165,14.9757,12.0496,18.9795,16.6763,14.2686,16.4268,1.02277,4.62084,3.87909,7.30414,10.5306,9.01927,7.83526
1991-01-11,91.4198,65.2228,76.4924,73.0369,72.7511,71.5096,80.1181,67.6302,4.31682,3.83243,0.229264,0.335494,0.320694,-2.77556e-14,9.86034,0.340111,0.0262884,12.6651,16.6645,14.4119,18.147,14.8055,17.0564,15.2704,1.64886,7.73191,5.80592,7.77132,10.1993,9.39797,6.83293
1991-01-12,79.1431,66.5616,70.6526,76.0616,62.9116,87.1546,73.8837,66.3121,-2.77556e-14,0.242239,0.456273,0.150778,0.331873,-2.77556e-14,7.35835,0.00759297,-2.77556e-14,14.001,18.6602,17.1599,20.0346,13.2814,17.1811,16.9632,2.59107,8.96382,9.62323,7.45504,9.97843,8.14483,5.85598
1991-01-13,74.0947,60.079,70.0709,78.7656,50.6329,85.8275,62.1879,62.8668,-2.77556e-14,0.0865959,0.00446826,43.0214,0.139081,-2.77556e-14,20.2476,-2.77556e-14,-2.77556e-14,15.1287,18.2927,17.8754,20.9186,13.319,19.9492,15.7778,5.58876,12.874,8.23557,9.4399,9.57958,7.62685,6.18403
1991-01-14,87.1136,61.5678,81.0873,70.6639,71.0823,85.5171,60.7055,62.9661,-2.77556e-14,9.83514,0.0619354,44.9124,-2.77556e-14,0.156068,10.8202,-2.77556e-14,-2.77556e-14,15.5981,14.1153,18.3821,17.611,12.4813,20.2128,15.0441,5.70177,11.5014,7.44928,9.58788,8.15408,7.39991,5.55551
1991-01-15,77.7518,59.4627,88.6042,67.5852,76.2145,72.6987,63.8176,80.0166,-2.77556e-14,1.10017,0.131942,33.2493,-2.77556e-14,0.046864,0.576025,0.0151859,5.47791,18.0101,12.9768,17.8394,16.2881,13.4552,15.0492,14.1474,9.44451,8.95942,7.19306,8.24126,4.52283,7.26516,6.40074
1991-01-16,81.9526,58.3571,82.4045,78.2175,63.9512,71.6946,51.8207,89.3398,0.0304661,0.16078,0.0389997,13.6789,2.21925,-2.77556e-14,-2.77556e-14,-2.77556e-14,12.7508,20.062,12.2822,16.4308,18.055,14.2845,14.9229,12.6705,8.74337,8.61279,8.95335,8.5245,3.85414,5.48933,7.54354
1991-01-17,87.338,60.6339,87.8061,68.557,55.9182,68.19,54.0461,88.7752,0.44633,10.9661,1.00203,9.91338,0.258942,0.112835,0.00759297,0.0524583,3.08888,20.0496,11.6396,18.0382,20.3518,15.3504,12.9577,14.2965,10.6558,8.55953,8.36157,9.59019,3.80265,6.42338,8.8007
