Crop;Clim;Kc_in;Kc_mid;Kc_end;lgp_f1;lgp_f2;lgp_f3;lgp_f4;RD1;RD2;DF;Type;Irr_def_1;Irr_def_2;Irr_def_3;Early_irr;Late_irr;Limit_irr
wheat;1;0.7;1.15;0.3;0.111111111;0.333333333;0.388888889;0.166666667;0.2;1.25;0.55;1;0.5;0.5;0.5;0;0.2;0.5
wheat;2;0.7;1.15;0.3;0.47761194;0.223880597;0.223880597;0.074626866;0.2;1.25;0.55;1;0.5;0.5;0.5;0;0.2;0.5
wheat;3;0.7;1.15;0.3;0.111111111;0.333333333;0.388888889;0.166666667;0.2;1.25;0.55;1;0.5;0.5;0.5;0;0.2;0.5
wheat;4;0.6;1.15;0.3;0.111111111;0.333333333;0.388888889;0.166666667;0.2;1.25;0.55;1;0.5;0.5;0.5;0;0.2;0.5
maize;1;0.3;1.2;0.5;0.2;0.266666667;0.333333333;0.2;0.2;1;0.55;1;1;1;1;0;0.2;0.5
maize;2;0.3;1.2;0.5;0.2;0.266666667;0.333333333;0.2;0.2;1;0.55;1;1;1;1;0;0.2;0.5
maize;3;0.3;1.2;0.5;0.2;0.266666667;0.333333333;0.2;0.2;1;0.55;1;1;1;1;0;0.2;0.5
maize;4;0.3;1.2;0.5;0.2;0.266666667;0.333333333;0.2;0.2;1;0.55;1;1;1;1;0;0.2;0.5
rice;1;1.05;1.2;0.6;0.166666667;0.166666667;0.444444444;0.222222222;0.2;0.5;0.2;1;1;1;1;0;0.2;0.5
rice;2;1.05;1.2;0.9;0.166666667;0.166666667;0.444444444;0.222222222;0.2;0.5;0.2;1;1;1;1;0;0.2;0.5
rice;3;1.05;1.2;0.9;0.2;0.2;0.4;0.2;0.2;0.5;0.2;1;1;1;1;0;0.2;0.5
rice;4;;;;;;;;;;;;;;;;;
barley;1;0.3;1.15;0.25;0.111111111;0.333333333;0.388888889;0.166666667;0.2;1;0.55;1;0.5;0.5;0.5;0;0.2;0.5
barley;2;0.3;1.15;0.25;0.47761194;0.223880597;0.223880597;0.074626866;0.2;1;0.55;1;0.5;0.5;0.5;0;0.2;0.5
barley;3;0.3;1.15;0.25;0.111111111;0.333333333;0.388888889;0.166666667;0.2;1;0.55;1;0.5;0.5;0.5;0;0.2;0.5
barley;4;0.3;1.15;0.25;0.111111111;0.333333333;0.388888889;0.166666667;0.2;1;0.55;1;0.5;0.5;0.5;0;0.2;0.5
