"FAO_Code","Crop","Clim","Kc_in","Kc_mid","Kc_end","lgp_f1","lgp_f2","lgp_f3","lgp_f4","Season start","Season End","RD1","RD2","DF","Type","Irrigation","Part_irr_1","Part_irr_2","Part_irr_3"
1111,"wheat",3,0.7,1.15,0.3,0.111111111111111,0.333333333333333,0.388888888888889,0.166666666666667,335,167,0.2,1.25,0.55,1,"S",0.5,0.5,0.5
1111,"wheat",4,0.7,1.15,0.3,0.477611940298507,0.223880597014925,0.223880597014925,0.0746268656716418,335,167,0.2,1.25,0.55,1,"S",0.5,0.5,0.5
1111,"wheat",5,0.7,1.15,0.3,0.111111111111111,0.333333333333333,0.388888888888889,0.166666666666667,335,167,0.2,1.25,0.55,1,"S",0.5,0.5,0.5
113,"maize",3,0.3,1.2,0.5,0.2,0.266666666666667,0.333333333333333,0.2,150,300,0.2,1,0.55,1,"S",1,1,1
113,"maize",4,0.3,1.2,0.5,0.2,0.266666666666667,0.333333333333333,0.2,150,300,0.2,1,0.55,1,"S",1,1,1
113,"maize",5,0.3,1.2,0.5,0.2,0.266666666666667,0.333333333333333,0.2,150,300,0.2,1,0.55,1,"S",1,1,1
112,"rice",3,1.05,1.2,0.6,0.166666666666667,0.166666666666667,0.444444444444444,0.222222222222222,116,270,0.2,0.5,0.2,1,"G",1,1,1
112,"rice",4,1.05,1.2,0.9,0.166666666666667,0.166666666666667,0.444444444444444,0.222222222222222,116,270,0.2,0.5,0.2,1,"G",1,1,1
112,"rice",5,1.05,1.2,0.9,0.2,0.2,0.4,0.2,116,270,0.2,0.5,0.2,1,"G",1,1,1
114,"barley",3,0.3,1.15,0.25,0.111111111111111,0.333333333333333,0.388888888888889,0.166666666666667,335,167,0.2,1,0.55,1,"S",0.5,0.5,0.5
114,"barley",4,0.3,1.15,0.25,0.477611940298507,0.223880597014925,0.223880597014925,0.0746268656716418,335,167,0.2,1,0.55,1,"S",0.5,0.5,0.5
114,"barley",5,0.3,1.15,0.25,0.111111111111111,0.333333333333333,0.388888888888889,0.166666666666667,335,167,0.2,1,0.55,1,"S",0.5,0.5,0.5
1152,"sorghum",3,0.3,1,0.55,0.16,0.28,0.32,0.24,92,245,0.2,1,0.55,1,"S",0.2,0.2,0.2
