"SM_10cm" "SM_20cm" "SM_30cm"
24.2 26.7 27.3
24.4 26.55 27.3
25.05 26.45 27.2
26.05 26.4 27.2
27.2 26.4 27.1
28.4 26.45 27.1
29.5 26.55 27
30.3 26.8 27
30.75 27.05 27
30.7 27.35 27
30.25 27.55 27.05
29.6 27.75 27.1
28.95 27.85 27.15
28.35 27.9 27.2
27.75 27.9 27.3
27.2 27.85 27.3
26.7 27.75 27.35
26.1 27.6 27.4
25.8 27.55 27.4
25.4 27.45 27.4
25.1 27.25 27.4
24.75 27.15 27.4
24.45 26.95 27.35
24.15 26.85 27.3
24 26.65 27.3
24.1 26.5 27.25
24.8 26.4 27.2
25.75 26.3 27.1
27 26.3 27.1
28.2 26.3 27
29.2 26.45 27
29.85 26.65 26.9
30.25 26.9 26.9
30.15 27.15 26.9
29.8 27.35 26.95
29.35 27.55 27
28.9 27.65 27.05
28.45 27.7 27.1
28 27.7 27.1
27.6 27.7 27.2
27.25 27.7 27.2
26.9 27.6 27.3
26.65 27.55 27.3
26.35 27.45 27.3
26.05 27.35 27.3
25.7 27.25 27.3
25.4 27.15 27.3
25.15 27.05 27.3
25 26.9 27.25
25.1 26.8 27.2
25.6 26.7 27.2
26.4 26.6 27.15
27.4 26.6 27.1
28.5 26.7 27.1
29.45 26.75 27.05
30.1 26.95 27
30.4 27.15 27
30.35 27.4 27
30.1 27.55 27.05
29.6 27.75 27.1
29.05 27.85 27.15
28.6 27.9 27.2
28.15 27.9 27.25
27.7 27.9 27.3
27.3 27.8 27.3
26.8 27.7 27.4
26.5 27.65 27.4
26.1 27.55 27.4
25.75 27.45 27.4
25.45 27.3 27.4
25.25 27.15 27.35
25.1 27.05 27.3
