Timestamp,Noureddine_Rojbani_TS03_soil_moisture_10cm,Noureddine_Rojbani_TS01_solar_radiation,Noureddine_Rojbani_TS01_temperature,Noureddine_Rojbani_TS032_water_flow,Noureddine_Rojbani_TS02_cumulative_rainfall,Noureddine_Rojbani_TS01_wind_speed,Noureddine_Rojbani_TS01_air_humidity,Noureddine_Rojbani_TS08_soil_moisture_30cm,Noureddine_Rojbani_TS02_rain_intensity,Noureddine_Rojbani_TS07_soil_moisture_20cm,Noureddine_Rojbani_TS06_soil_moisture_10cm,Noureddine_Rojbani_TS05_soil_moisture_30cm
2024-10-12T23:30:00,24.7,1,17.6,NaN,183.8,0.06,93.7,27.7,NaN,28.3,28.4,NaN
2024-10-13T00:00:00,24.5,1,17.6,146,NaN,NaN,NaN,27.7,NaN,28.3,28.1,NaN
2024-10-13T00:30:00,24.4,9,17.6,NaN,183.8,0.2,94.3,27.7,NaN,28.3,27.8,NaN
2024-10-13T01:00:00,24.3,28,18.2,146,NaN,NaN,NaN,27.8,NaN,28.3,27.6,NaN
2024-10-13T01:30:00,24.2,64,19.9,NaN,183.8,0.11,94.4,27.8,NaN,28.2,27.3,NaN
2024-10-13T02:00:00,24.1,267,22.1,146,NaN,NaN,NaN,27.8,NaN,28.2,27.1,NaN
2024-10-13T02:30:00,24,362,25.2,NaN,183.8,0.11,94.3,27.8,NaN,28.1,26.8,NaN
2024-10-13T03:00:00,24.1,469,26.9,146,NaN,NaN,NaN,27.8,NaN,28.1,26.6,NaN
2024-10-13T04:00:00,24.2,548,27.7,NaN,183.8,0.77,89.6,27.8,NaN,27.9,26.2,NaN
2024-10-13T04:30:00,24.5,620,28.9,146,NaN,NaN,NaN,27.8,NaN,27.9,26,NaN
2024-10-13T05:00:00,24.9,671,29.4,NaN,183.8,0.43,82.7,27.8,NaN,27.8,25.8,NaN
2024-10-13T05:30:00,25.3,710,30.2,146,NaN,NaN,NaN,27.8,NaN,27.7,25.6,NaN
2024-10-13T06:00:00,25.8,730,30.5,NaN,183.8,0.16,68.6,27.8,NaN,27.7,25.4,NaN
2024-10-13T06:30:00,26.4,735,30.7,146,NaN,NaN,NaN,27.8,NaN,27.6,25.3,NaN
2024-10-13T07:00:00,27.1,726,32.1,NaN,183.8,1.27,62.8,27.8,NaN,27.5,25.1,NaN
2024-10-13T07:30:00,27.8,695,31.1,146,NaN,NaN,NaN,27.8,0,27.5,25,27.4
2024-10-13T07:30:01,28.4,650,31.6,NaN,183.8,0.26,59.6,NaN,NaN,NaN,NaN,NaN
2024-10-13T08:00:00,29,594,31.6,147,NaN,NaN,NaN,27.8,0,27.4,24.8,27.3
2024-10-13T08:00:01,29.6,527,31.7,NaN,183.8,0.68,55.2,NaN,NaN,NaN,NaN,NaN
2024-10-13T08:30:00,30,445,31.8,147,NaN,NaN,NaN,27.8,0,27.3,24.7,27.3
2024-10-13T08:30:01,30.4,355,31.8,NaN,183.8,0.5,51.8,NaN,NaN,NaN,NaN,NaN
2024-10-13T09:00:00,30.5,259,30.7,147,NaN,NaN,NaN,27.7,0,27.2,24.5,27.2
2024-10-13T09:00:01,30.5,165,30.5,NaN,183.8,0.33,48.5,NaN,NaN,NaN,NaN,NaN
2024-10-13T09:30:00,30.3,56,29.1,147,NaN,NaN,NaN,27.7,0,27.1,24.4,27.2
2024-10-13T09:30:01,30,12,27.6,NaN,183.8,0.91,45.7,NaN,NaN,NaN,NaN,NaN
2024-10-13T10:00:00,29.7,0,26.4,147,NaN,NaN,NaN,27.7,0,27.1,24.3,27.1
2024-10-13T10:00:01,29.4,0,25.3,NaN,183.8,0.86,44.9,NaN,NaN,NaN,NaN,NaN
2024-10-13T10:30:00,29.1,0,24.4,147,NaN,NaN,NaN,27.7,0,27,24.3,27.1
2024-10-13T10:30:01,28.7,0,23.4,NaN,183.8,0.83,39.7,NaN,NaN,NaN,NaN,NaN
2024-10-13T11:00:00,28.4,0,22.7,147,NaN,NaN,NaN,27.6,0,26.9,24.4,27.1
2024-10-13T11:00:01,28.1,0,21.9,NaN,183.8,1.71,41.2,NaN,NaN,NaN,NaN,NaN
2024-10-13T11:30:00,27.8,0,21.7,147,NaN,NaN,NaN,27.6,0,26.8,24.6,27
2024-10-13T11:30:01,27.5,0,21.1,NaN,183.8,0.27,38.6,NaN,NaN,NaN,NaN,NaN
2024-10-13T12:00:00,27.2,1,20.5,147,NaN,NaN,NaN,27.6,0,26.8,25,27
2024-10-13T12:00:01,27,0,20.9,NaN,183.8,0.55,39.3,NaN,NaN,NaN,NaN,NaN
2024-10-13T12:30:00,26.7,0,21,147,NaN,NaN,NaN,27.6,0,26.7,25.5,26.9
2024-10-13T12:30:01,26.5,0,20.8,NaN,183.8,0.27,33.6,NaN,NaN,NaN,NaN,NaN
2024-10-13T13:00:00,26.2,0,20,147,NaN,NaN,NaN,27.5,0,26.7,26,26.9
2024-10-13T13:00:01,26,0,19.9,NaN,183.8,0.38,34.9,NaN,NaN,NaN,NaN,NaN
2024-10-13T13:30:00,25.8,0,19.8,147,NaN,NaN,NaN,27.5,0,26.7,26.6,26.8
2024-10-13T13:30:01,25.6,0,19.5,NaN,183.8,1.42,33.8,NaN,NaN,NaN,NaN,NaN
2024-10-13T14:00:00,25.4,0,19.3,147,NaN,NaN,NaN,27.5,0,26.6,27.2,26.8
2024-10-13T14:00:01,25.2,0,19.1,NaN,183.8,1.19,38.7,NaN,NaN,NaN,NaN,NaN
2024-10-13T14:30:00,25,0,19,147,NaN,NaN,NaN,27.4,0,26.7,27.8,26.7
2024-10-13T14:30:01,24.8,0,18.3,NaN,183.8,0.83,39.3,NaN,NaN,NaN,NaN,NaN
2024-10-13T15:00:00,24.7,0,17.4,147,NaN,NaN,NaN,27.4,0,26.7,28.4,26.7
2024-10-13T15:00:01,24.5,0,17.2,NaN,183.8,1.49,43.3,NaN,NaN,NaN,NaN,NaN
2024-10-13T15:30:00,24.3,1,16.9,147,NaN,NaN,NaN,27.4,0,26.7,29,26.7
2024-10-13T15:30:01,24.2,1,16.5,NaN,183.8,0.26,48.9,NaN,NaN,NaN,NaN,NaN
2024-10-13T16:00:00,24,0,16.9,147,NaN,NaN,NaN,27.4,0,26.8,29.6,26.7
2024-10-13T16:00:01,23.9,10,16.9,NaN,183.8,0.32,53.8,NaN,NaN,NaN,NaN,NaN
2024-10-13T16:30:00,23.7,35,17.8,147,NaN,NaN,NaN,27.3,0,26.9,30.1,26.7
2024-10-13T16:30:01,23.6,106,19.7,NaN,183.8,0.42,59.6,NaN,NaN,NaN,NaN,NaN
2024-10-13T17:00:00,23.5,254,22.5,147,NaN,NaN,NaN,27.3,0,27,30.5,26.7
2024-10-13T17:00:01,23.5,343,24,NaN,183.8,0.27,62.5,NaN,NaN,NaN,NaN,NaN
2024-10-13T17:30:00,23.5,439,25.4,147,NaN,NaN,NaN,27.3,0,27.2,30.8,26.7
2024-10-13T17:30:01,23.7,518,26.6,NaN,183.8,0.05,65.6,NaN,NaN,NaN,NaN,NaN
2024-10-13T18:00:00,23.9,586,27.6,147,NaN,NaN,NaN,27.3,0,27.3,31,26.8
2024-10-13T18:00:01,24.3,641,29.2,NaN,183.8,0,69,NaN,NaN,NaN,NaN,NaN
2024-10-13T18:30:00,24.7,677,30.4,147,NaN,NaN,NaN,27.3,0,27.4,31.1,26.8
2024-10-13T18:30:01,25.1,697,31.7,NaN,183.8,0.11,72.8,NaN,NaN,NaN,NaN,NaN
2024-10-13T19:00:00,25.7,704,32.2,147,NaN,NaN,NaN,27.3,0,27.6,31,26.9
