Timestamp,Noureddine_Rojbani_TS08_soil_moisture_30cm,Noureddine_Rojbani_TS07_soil_moisture_20cm,Noureddine_Rojbani_TS06_soil_moisture_10cm
2024-10-12T23:30:00,27.7,28.3,28.4
2024-10-13T00:00:00,27.7,28.3,28.1
2024-10-13T00:30:00,27.7,28.3,27.8
2024-10-13T01:00:00,27.8,28.3,27.6
2024-10-13T01:30:00,27.8,28.2,27.3
2024-10-13T02:00:00,27.8,28.2,27.1
2024-10-13T02:30:00,27.8,28.1,26.8
2024-10-13T03:00:00,27.8,28.1,26.6
2024-10-13T04:00:00,27.8,27.9,26.2
2024-10-13T04:30:00,27.8,27.9,26
2024-10-13T05:00:00,27.8,27.8,25.8
2024-10-13T05:30:00,27.8,27.7,25.6
2024-10-13T06:00:00,27.8,27.7,25.4
2024-10-13T06:30:00,27.8,27.6,25.3
2024-10-13T07:00:00,27.8,27.5,25.1
2024-10-13T07:30:00,27.8,27.5,25
2024-10-13T08:00:00,27.8,27.4,24.8
2024-10-13T08:30:00,27.8,27.3,24.7
2024-10-13T09:00:00,27.7,27.2,24.5
2024-10-13T09:30:00,27.7,27.1,24.4
2024-10-13T10:00:00,27.7,27.1,24.3
2024-10-13T10:30:00,27.7,27,24.3
2024-10-13T11:00:00,27.6,26.9,24.4
2024-10-13T11:30:00,27.6,26.8,24.6
2024-10-13T12:00:00,27.6,26.8,25
2024-10-13T12:30:00,27.6,26.7,25.5
2024-10-13T13:00:00,27.5,26.7,26
2024-10-13T13:30:00,27.5,26.7,26.6
2024-10-13T14:00:00,27.5,26.6,27.2
2024-10-13T14:30:00,27.4,26.7,27.8
2024-10-13T15:00:00,27.4,26.7,28.4
2024-10-13T15:30:00,27.4,26.7,29
2024-10-13T16:00:00,27.4,26.8,29.6
2024-10-13T16:30:00,27.3,26.9,30.1
2024-10-13T17:00:00,27.3,27,30.5
2024-10-13T17:30:00,27.3,27.2,30.8
2024-10-13T18:00:00,27.3,27.3,31
2024-10-13T18:30:00,27.3,27.4,31.1
2024-10-13T19:00:00,27.3,27.6,31
2024-10-13T19:30:00,27.3,27.7,30.9
2024-10-13T20:00:00,27.3,27.8,30.7
2024-10-13T20:30:00,27.4,27.9,30.3
2024-10-13T21:00:00,27.4,28,30
2024-10-13T21:30:00,27.4,28.1,29.7
2024-10-13T22:00:00,27.4,28.1,29.3
2024-10-13T22:30:00,27.5,28.2,29
2024-10-13T23:00:00,27.5,28.2,28.6
2024-10-13T23:30:00,27.5,28.2,28.3
2024-10-14T00:00:00,27.5,28.2,28
2024-10-14T00:30:00,27.6,28.2,27.7
2024-10-14T01:00:00,27.6,28.1,27.4
2024-10-14T01:30:00,27.6,28.1,27.2
2024-10-14T02:00:00,27.6,28.1,26.9
2024-10-14T02:30:00,27.7,28,26.7
2024-10-14T03:00:00,27.7,27.9,26.4
2024-10-14T03:30:00,27.7,27.9,26.2
2024-10-14T04:00:00,27.7,27.8,26
2024-10-14T04:30:00,27.7,27.7,25.8
2024-10-14T05:00:00,27.7,27.7,25.6
2024-10-14T05:30:00,27.7,27.6,25.4
2024-10-14T06:00:00,27.7,27.5,25.2
2024-10-14T06:30:00,27.7,27.5,25
2024-10-14T07:00:00,27.7,27.4,24.8
2024-10-14T07:30:00,27.7,27.3,24.6
2024-10-14T08:00:00,27.6,27.2,24.5
2024-10-14T08:30:00,27.6,27.1,24.3
2024-10-14T09:00:00,27.6,27,24.1
2024-10-14T09:30:00,27.6,27,24
2024-10-14T10:00:00,27.5,26.9,23.9
2024-10-14T10:30:00,27.5,26.8,23.9
2024-10-14T11:00:00,27.5,26.7,24
2024-10-14T11:30:00,27.5,26.6,24.2
2024-10-14T12:00:00,27.4,26.6,24.6
2024-10-14T12:30:00,27.4,26.5,25
2024-10-14T13:00:00,27.4,26.5,25.5
2024-10-14T13:30:00,27.3,26.4,26
2024-10-14T14:00:00,27.3,26.4,26.6
2024-10-14T14:30:00,27.3,26.4,27.2
2024-10-14T15:00:00,27.3,26.4,27.8
2024-10-14T15:30:00,27.2,26.5,28.3
2024-10-14T16:00:00,27.2,26.5,28.9
2024-10-14T16:30:00,27.2,26.6,29.3
2024-10-14T17:00:00,27.2,26.7,29.7
2024-10-14T17:30:00,27.1,26.8,30
2024-10-14T18:00:00,27.1,27,30.3
2024-10-14T18:30:00,27.1,27.1,30.4
2024-10-14T19:00:00,27.1,27.2,30.3
2024-10-14T19:30:00,27.1,27.3,30.2
2024-10-14T20:00:00,27.1,27.4,30
2024-10-14T20:30:00,27.1,27.5,29.8
2024-10-14T21:00:00,27.2,27.6,29.5
2024-10-14T21:30:00,27.2,27.7,29.2
2024-10-14T22:00:00,27.2,27.7,28.9
2024-10-14T22:30:00,27.2,27.8,28.6
2024-10-14T23:00:00,27.3,27.8,28.3
2024-10-14T23:30:00,27.3,27.8,28.1
2024-10-15T00:00:00,27.3,27.8,27.8
2024-10-15T00:30:00,27.3,27.8,27.5
2024-10-15T01:00:00,27.3,27.8,27.3
2024-10-15T01:30:00,27.4,27.7,27
2024-10-15T02:00:00,27.4,27.7,26.8
2024-10-15T03:30:00,27.4,27.6,26.2
2024-10-15T04:00:00,27.4,27.5,26
2024-10-15T04:30:00,27.4,27.5,25.9
2024-10-15T05:00:00,27.4,27.4,25.7
2024-10-15T05:30:00,27.4,27.3,25.5
2024-10-15T06:00:00,27.4,27.3,25.3
2024-10-15T06:30:00,27.4,27.2,25.2
2024-10-15T07:00:00,27.4,27.2,25
2024-10-15T07:30:00,27.4,27.1,24.9
2024-10-15T08:00:00,27.4,27,24.7
2024-10-15T08:30:00,27.4,26.9,24.6
2024-10-15T09:00:00,27.4,26.9,24.4
2024-10-15T09:30:00,27.3,26.8,24.3
2024-10-15T10:00:00,27.3,26.7,24.2
2024-10-15T10:30:00,27.3,26.7,24.2
2024-10-15T11:00:00,27.3,26.6,24.3
2024-10-15T11:30:00,27.3,26.5,24.5
2024-10-15T12:00:00,27.2,26.5,24.8
2024-10-15T12:30:00,27.2,26.4,25.3
2024-10-15T13:00:00,27.2,26.4,25.8
2024-10-15T13:30:00,27.2,26.4,26.3
2024-10-15T14:00:00,27.1,26.4,26.9
2024-10-15T14:30:00,27.1,26.4,27.5
2024-10-15T15:00:00,27.1,26.4,28.1
2024-10-15T15:30:00,27.1,26.5,28.7
2024-10-15T16:00:00,27,26.5,29.3
2024-10-15T16:30:00,27,26.6,29.7
2024-10-15T17:00:00,27,26.7,30.1
2024-10-15T17:30:00,27,26.9,30.5
2024-10-15T18:00:00,27,27,30.7
2024-10-15T18:30:00,27,27.1,30.8
2024-10-15T19:00:00,27,27.3,30.8
2024-10-15T19:30:00,27,27.4,30.6
2024-10-15T20:00:00,27,27.5,30.4
2024-10-15T20:30:00,27.1,27.6,30.1
2024-10-15T21:00:00,27.1,27.7,29.8
2024-10-15T21:30:00,27.1,27.8,29.4
2024-10-15T22:00:00,27.1,27.8,29.1
2024-10-15T22:30:00,27.2,27.9,28.8
2024-10-15T23:00:00,27.2,27.9,28.5
2024-10-15T23:30:00,27.2,27.9,28.2
2024-10-16T00:00:00,27.3,27.9,27.9
2024-10-16T00:30:00,27.3,27.9,27.6
2024-10-16T01:00:00,27.3,27.9,27.3
2024-10-16T01:30:00,27.3,27.8,27.1
2024-10-16T02:00:00,27.3,27.8,26.8
2024-10-16T02:30:00,27.4,27.7,26.6
2024-10-16T03:30:00,27.4,27.6,26.1
2024-10-16T04:00:00,27.4,27.6,25.9
2024-10-16T04:30:00,27.4,27.5,25.7
2024-10-16T05:00:00,27.4,27.5,25.5
2024-10-16T05:30:00,27.4,27.4,25.3
