"SM_10cm" "SM_20cm" "SM_30cm"
25.1 27.3 27.6
24.85 27.15 27.6
24.65 27.05 27.55
24.5 26.9 27.5
24.8 26.75 27.5
25.55 26.65 27.4
26.55 26.6 27.4
27.55 26.6 27.3
28.65 26.65 27.3
29.55 26.85 27.2
30.2 27.05 27.2
30.55 27.25 27.2
30.5 27.5 27.2
30.2 27.7 27.25
29.75 27.85 27.3
29.2 27.95 27.35
28.75 28 27.4
28.35 28 27.45
28.05 28 27.5
27.75 28 27.5
27.1 27.85 27.6
26.85 27.75 27.6
26.65 27.65 27.6
26.45 27.55 27.6
26.3 27.5 27.6
26.15 27.4 27.6
26.1 27.3 27.55
26.25 27.2 27.5
26.65 27.2 27.5
27.5 27.1 27.5
28.2 27.1 27.5
29.45 27.25 27.4
30.3 27.35 27.4
30.9 27.55 27.4
31.25 27.8 27.4
31.3 28.05 27.45
31 28.25 27.5
30.45 28.4 27.5
29.9 28.5 27.6
29.35 28.55 27.65
28.9 28.6 27.7
28.4 28.5 27.8
28 28.5 27.8
27.2 28.3 27.9
26.8 28.25 27.9
26.4 28.1 27.9
26 27.95 27.9
25.7 27.85 27.9
25.45 27.65 27.9
25.3 27.55 27.85
25.5 27.4 27.8
26.2 27.3 27.8
27.3 27.2 27.7
28.65 27.2 27.7
29.9 27.3 27.6
31.05 27.45 27.6
31.85 27.65 27.6
32.25 27.95 27.6
32.15 28.2 27.6
31.8 28.45 27.6
31.2 28.65 27.7
30.5 28.75 27.75
29.85 28.8 27.8
29.25 28.8 27.9
28.8 28.8 27.9
28.4 28.7 28
27.95 28.55 28.05
27.75 28.45 28.1
27.5 28.35 28.1
27.15 28.3 28.1
26.8 28.15 28.1
26.55 28.1 28.05
26.4 27.95 28
26.55 27.85 28
26.95 27.75 28
27.5 27.7 27.95
28.45 27.7 27.9
29.45 27.7 27.9
30.4 27.8 27.9
31 27.95 27.8
31.2 28.15 27.8
31 28.35 27.8
30.55 28.5 27.9
29.85 28.65 27.9
29.25 28.7 27.95
28.65 28.7 28
28.05 28.65 28
27.55 28.55 28.1
27.05 28.45 28.1
26.7 28.3 28.1
26.2 28.15 28.1
25.8 28.05 28.1
25.5 27.85 28.1
25.15 27.7 28
24.95 27.55 28
24.8 27.35 27.95
24.8 27.25 27.9
25 27.1 27.8
25.6 27 27.8
26.55 26.9 27.7
27.7 26.9 27.65
28.9 26.95 27.6
29.9 27.15 27.55
30.65 27.35 27.5
31.05 27.55 27.5
30.95 27.8 27.5
30.45 28.05 27.5
29.85 28.2 27.6
29.15 28.3 27.6
28.5 28.3 27.7
27.95 28.3 27.7
27.45 28.25 27.8
26.95 28.15 27.8
26.6 28.1 27.8
26.1 27.9 27.8
25.7 27.75 27.8
25.35 27.65 27.8
25.0666666666667 27.5 27.8
24.75 27.35 27.8
24.45 27.15 27.7
24.3 27.05 27.7
24.5 26.85 27.6
25.25 26.75 27.6
26.3 26.7 27.5
27.5 26.65 27.45
28.7 26.7 27.4
29.85 26.85 27.35
30.65 27.1 27.3
31.05 27.35 27.3
30.95 27.65 27.3
30.5 27.85 27.35
29.85 28.05 27.4
29.15 28.15 27.45
28.45 28.2 27.5
27.85 28.2 27.55
27.3 28.1 27.6
26.8 28.05 27.65
26.3 27.9 27.7
25.9 27.75 27.7
25.5 27.65 27.7
25.1 27.5 27.7
24.7 27.35 27.7
24.4 27.15 27.6
24.05 27 27.6
23.9 26.85 27.5
24.1 26.65 27.5
24.8 26.55 27.4
25.75 26.45 27.35
26.9 26.4 27.3
28.05 26.45 27.25
29.1 26.55 27.2
29.85 26.75 27.15
30.35 27.05 27.1
30.25 27.25 27.1
29.9 27.45 27.1
29.35 27.65 27.2
28.75 27.75 27.2
28.2 27.8 27.3
27.65 27.8 27.3
27.15 27.75 27.35
26.8 27.7 27.4
26.2 27.6 27.4
25.95 27.5 27.4
25.6 27.35 27.4
25.25 27.25 27.4
24.95 27.15 27.4
24.65 26.95 27.4
24.35 26.85 27.35
