"SM_10cm" "SM_20cm" "SM_30cm"
24.2 26.7 27.3
24.4 26.55 27.3
25.05 26.45 27.2
26.05 26.4 27.2
27.2 26.4 27.1
28.4 26.45 27.1
29.5 26.55 27
30.3 26.8 27
30.75 27.05 27
30.7 27.35 27
30.25 27.55 27.05
29.6 27.75 27.1
28.95 27.85 27.15
28.35 27.9 27.2
27.75 27.9 27.3
27.2 27.85 27.3
26.7 27.75 27.35
26.1 27.6 27.4
25.8 27.55 27.4
25.4 27.45 27.4
25.1 27.25 27.4
24.75 27.15 27.4
24.45 26.95 27.35
24.15 26.85 27.3
24 26.65 27.3
24.1 26.5 27.25
24.8 26.4 27.2
25.75 26.3 27.1
27 26.3 27.1
28.2 26.3 27
29.2 26.45 27
29.85 26.65 26.9
30.25 26.9 26.9
30.15 27.15 26.9
29.8 27.35 26.95
29.35 27.55 27
28.9 27.65 27.05
28.45 27.7 27.1
28 27.7 27.1
27.6 27.7 27.2
27.25 27.7 27.2
26.9 27.6 27.3
26.65 27.55 27.3
26.35 27.45 27.3
26.05 27.35 27.3
25.7 27.25 27.3
25.4 27.15 27.3
25.15 27.05 27.3
25 26.9 27.25
25.1 26.8 27.2
25.6 26.7 27.2
26.4 26.6 27.15
27.4 26.6 27.1
28.5 26.7 27.1
29.45 26.75 27.05
30.1 26.95 27
30.4 27.15 27
30.35 27.4 27
30.1 27.55 27.05
29.6 27.75 27.1
29.05 27.85 27.15
28.6 27.9 27.2
28.15 27.9 27.25
27.7 27.9 27.3
27.3 27.8 27.3
26.8 27.7 27.4
26.5 27.65 27.4
26.1 27.55 27.4
25.75 27.45 27.4
25.45 27.3 27.4
25.25 27.15 27.35
25.1 27.05 27.3
25.1 26.9 27.3
25.3 26.8 27.3
25.75 26.7 27.2
26.5 26.65 27.2
27.3 26.7 27.1
28.25 26.7 27.1
29.05 26.8 27.1
29.45 26.95 27
29.45 27.1 27
29.1 27.25 27
28.65 27.4 27.1
28.2 27.5 27.1
27.7 27.5 27.1
27.2 27.5 27.15
26.8 27.5 27.2
26.35 27.4 27.2
26 27.3 27.2
25.5 27.2 27.2
25.3 27.1 27.2
25.1 26.95 27.2
24.95 26.85 27.2
24.75 26.75 27.1
24.55 26.6 27.1
24.4 26.5 27.1
24.3 26.4 27
24.45 26.3 27
24.7 26.2 26.9
25.2 26.1 26.9
25.7 26.1 26.85
26.5 26.1 26.8
27.3 26.1 26.75
28 26.25 26.7
28.25 26.35 26.7
28.1 26.5 26.7
27.65 26.65 26.7
27 26.7 26.7
26.35 26.7 26.7
25.65 26.7 26.7
25.1 26.65 26.7
24.6 26.55 26.7
24.2 26.4 26.7
23.8 26.2 26.7
23.5 26.1 26.7
23.15 25.95 26.65
22.85 25.75 26.6
22.65 25.6 26.55
22.45 25.45 26.5
22.25 25.25 26.4
22.1 25.1 26.35
22.15 24.95 26.25
22.55 24.8 26.15
23.25 24.7 26.05
24.25 24.65 25.95
25.35 24.6 25.9
26.3 24.7 25.8
26.9 24.85 25.75
27.05 25 25.7
26.8 25.15 25.7
26.35 25.3 25.7
25.8 25.4 25.7
25.35 25.45 25.7
24.9 25.5 25.7
24.45 25.45 25.7
24 25.4 25.7
23.55 25.3 25.7
23 25.2 25.7
22.8 25.1 25.7
22.45 25 25.7
22.15 24.85 25.7
21.85 24.75 25.7
21.65 24.65 25.6
21.45 24.5 25.6
21.4 24.35 25.5
21.55 24.25 25.5
21.9 24.15 25.4
22.15 24 25.35
22.15 24 25.3
22.1 23.95 25.25
22.1 23.9 25.2
22 23.9 25.1
22 23.8 25.1
21.95 23.8 25.05
21.8 23.75 25
21.55 23.7 25
21.35 23.65 24.9
21.2 23.6 24.9
21.1 23.5 24.8
21.1 23.4 24.8
21.1 23.35 24.75
21.1 23.3 24.7
21.1 23.2 24.7
21.15 23.2 24.6
21.2 23.15 24.55
21.3 23.1 24.5
21.3 23.1 24.5
21.25 23.1 24.4
21.1 23 24.4
