Timestamp,Noureddine_Rojbani_TS01_wind_speed,Noureddine_Rojbani_TS01_wind_direction,Noureddine_Rojbani_TS01_temperature,Noureddine_Rojbani_TS01_air_humidity,Noureddine_Rojbani_TS01_solar_radiation
2024-10-07T06:30:00,0.32,320.2,18.9,92,0
2024-10-07T07:00:00,0.3,217.6,18.7,92.9,0
2024-10-07T07:30:00,0.1,132.1,18.4,93,0
2024-10-07T08:00:00,0,23.6,18.1,93.5,1
2024-10-07T08:30:00,0.1,222.1,18,94.3,15
2024-10-07T09:00:00,0.18,324.6,18.4,95.1,35
2024-10-07T09:30:00,0.34,95.2,19.9,93.8,199
2024-10-07T10:00:00,1,177.1,23.3,75.2,74
2024-10-07T10:30:00,0.27,79.9,25.7,63.5,402
2024-10-07T11:00:00,0.07,180.5,26.8,57,503
2024-10-07T11:30:00,0.32,59.4,27.8,51.6,580
2024-10-07T12:00:00,0.64,123.8,29.7,42.7,680
2024-10-07T12:30:00,0.86,188.3,30.4,39.9,692
2024-10-07T13:00:00,1.27,171,31.5,31.8,771
2024-10-07T13:30:00,0.27,147.4,32.3,33.1,815
2024-10-07T14:00:00,0.29,293.8,32.7,30.5,771
2024-10-07T14:30:00,1.31,188.5,33.3,29.7,768
2024-10-07T15:00:00,2.18,96.5,33.2,29.9,745
2024-10-07T15:30:00,0.91,141.4,33.8,29.2,692
2024-10-07T16:00:00,0.48,62.1,33.5,28,653
2024-10-07T16:30:00,2.63,185,33.2,27,536
2024-10-07T17:00:00,1.08,161.5,32.9,27.2,400
2024-10-07T17:30:00,0.67,187.1,32.6,28.3,366
2024-10-07T18:00:00,0.68,320,32.6,27.8,392
2024-10-07T18:30:00,0.51,176.8,32.4,25.1,191
2024-10-07T19:00:00,0.14,57.3,31.7,27.2,54
2024-10-07T19:30:00,0.43,98.5,29.9,29.5,16
2024-10-07T20:00:00,0.21,23.7,28.2,32.7,2
2024-10-07T20:30:00,0.66,352.7,26.9,47.4,0
2024-10-07T21:00:00,0.1,232.7,26.1,51.4,0
2024-10-07T21:30:00,0.19,203.6,25.1,55.8,0
2024-10-07T22:00:00,0.35,222.1,24.6,57.4,0
2024-10-07T22:30:00,0.05,90.5,24.2,57.7,0
2024-10-07T23:00:00,0.55,175.4,23.8,58.1,0
2024-10-07T23:30:00,0.73,179.7,23.6,59,0
2024-10-08T00:00:00,0.39,181.7,23.7,63.8,0
2024-10-08T00:30:00,0.58,196.5,23.3,67.5,0
2024-10-08T01:00:00,0.31,59.1,22.9,71.4,0
2024-10-08T01:30:00,0.65,197.3,22.4,69.3,0
2024-10-08T02:00:00,0.69,185.1,22.5,72.1,0
2024-10-08T02:30:00,0.3,127.7,22.5,73.8,0
2024-10-08T03:00:00,0.1,265.3,22.2,76,0
2024-10-08T04:00:00,0.82,173.5,22.9,67.9,0
2024-10-08T04:30:00,0.52,152.8,22.5,68.6,0
2024-10-08T05:00:00,0.81,291.2,22.6,59.2,0
2024-10-08T05:30:00,0.62,134.2,22.5,61.1,0
2024-10-08T06:00:00,0.3,279.6,22.1,64.6,0
2024-10-08T06:30:00,0.32,168,21.6,67.6,1
2024-10-08T07:00:00,0.69,185.1,21.6,68.7,0
2024-10-08T07:30:00,0.63,163.3,22.4,65.1,1
