Timestamp,Noureddine_Rojbani_TS01_solar_radiation,Noureddine_Rojbani_TS01_wind_direction,Noureddine_Rojbani_TS01_air_humidity,Noureddine_Rojbani_TS01_wind_speed,Noureddine_Rojbani_TS01_temperature
2024-10-13T07:30:00,1,338.6,93.7,0.06,17.6
2024-10-13T08:00:00,1,338.7,94.3,0.2,17.6
2024-10-13T08:30:00,9,352.6,94.4,0.11,17.6
2024-10-13T09:00:00,28,293.7,94.3,0.11,18.2
2024-10-13T09:30:00,64,220.2,89.6,0.77,19.9
2024-10-13T10:00:00,267,262.7,82.7,0.43,22.1
2024-10-13T10:30:00,362,31.8,68.6,0.16,25.2
2024-10-13T11:00:00,469,144.1,62.8,1.27,26.9
2024-10-13T11:30:00,548,195.6,59.6,0.26,27.7
2024-10-13T12:00:00,620,248.7,55.2,0.68,28.9
2024-10-13T12:30:00,671,100.8,51.8,0.5,29.4
2024-10-13T13:00:00,710,17.4,48.5,0.33,30.2
2024-10-13T13:30:00,730,40.5,45.7,0.91,30.5
2024-10-13T14:00:00,735,196.1,44.9,0.86,30.7
2024-10-13T14:30:00,726,169.9,39.7,0.83,32.1
2024-10-13T15:00:00,695,36.3,41.2,1.71,31.1
2024-10-13T15:30:00,650,349.9,38.6,0.27,31.6
2024-10-13T16:00:00,594,169.8,39.3,0.55,31.6
2024-10-13T16:30:00,527,327.1,33.6,0.27,31.7
2024-10-13T17:00:00,445,346.6,34.9,0.38,31.8
2024-10-13T17:30:00,355,97.7,33.8,1.42,31.8
2024-10-13T18:00:00,259,25.1,38.7,1.19,30.7
2024-10-13T18:30:00,165,111.1,39.3,0.83,30.5
2024-10-13T19:00:00,56,32.1,43.3,1.49,29.1
2024-10-13T19:30:00,12,105.5,48.9,0.26,27.6
2024-10-13T20:00:00,0,168.1,53.8,0.32,26.4
2024-10-13T20:30:00,0,8.5,59.6,0.42,25.3
2024-10-13T21:00:00,0,327.4,62.5,0.27,24.4
2024-10-13T21:30:00,0,68.7,65.6,0.05,23.4
2024-10-13T22:00:00,0,68.7,69,0,22.7
2024-10-13T22:30:00,0,144.7,72.8,0.11,21.9
2024-10-13T23:00:00,0,132.1,72.5,0.07,21.7
2024-10-13T23:30:00,0,42.1,75.4,0.05,21.1
2024-10-14T00:00:00,1,293.6,77.9,0.07,20.5
2024-10-14T00:30:00,0,183,76.9,0.62,20.9
2024-10-14T01:00:00,0,185.2,78.1,0.69,21
2024-10-14T01:30:00,0,68.7,79.4,0.16,20.8
2024-10-14T02:00:00,0,168.2,84.6,0.31,20
2024-10-14T02:30:00,0,181.2,84.8,0.67,19.9
2024-10-14T03:00:00,0,203.6,84.5,0.28,19.8
2024-10-14T03:30:00,0,180.4,84.9,0.55,19.5
2024-10-14T04:00:00,0,158.7,85.6,0.62,19.3
2024-10-14T04:30:00,0,180.5,87.1,0.83,19.1
2024-10-14T05:00:00,0,185.2,86.5,0.22,19
2024-10-14T05:30:00,0,352.6,88.5,0.16,18.3
2024-10-14T06:00:00,0,300,91,0.31,17.4
2024-10-14T06:30:00,0,275.2,92,0.22,17.2
2024-10-14T07:00:00,1,195.5,92.7,0.25,16.9
2024-10-14T07:30:00,1,234.5,92.8,0,16.5
2024-10-14T08:00:00,0,5.1,93.3,0.16,16.9
2024-10-14T08:30:00,10,293.7,93.9,0.05,16.9
2024-10-14T09:00:00,35,260,92.8,0.26,17.8
2024-10-14T09:30:00,106,178.6,92,0.61,19.7
2024-10-14T10:00:00,254,171.6,82,1.41,22.5
2024-10-14T10:30:00,343,186.6,77.2,1.01,24
2024-10-14T11:00:00,439,129.1,71,0.85,25.4
2024-10-14T11:30:00,518,182.2,63.9,1.31,26.6
2024-10-14T12:00:00,586,199,54.1,0.86,27.6
2024-10-14T12:30:00,641,197.8,46.9,1.06,29.2
2024-10-14T13:00:00,677,177,36.8,0.51,30.4
2024-10-14T13:30:00,697,200.7,30.8,0.69,31.7
2024-10-14T14:00:00,704,92.3,33,0.92,32.2
2024-10-14T14:30:00,692,124.9,26.2,0.38,33
2024-10-14T15:00:00,667,213.2,22.7,0.45,33.8
