"TIME";"Date";"Hour";"Hourly irrigation requirements (m3)";"Suggested Soil Moisture (%)";"Irrigation Suggested (m3)";"Irrigation Limit (m3)"
2024-10-08 07:00:00;"2024-10-08";7;34.0679096288181;10.1036806635562;0;0
2024-10-08 08:00:00;"2024-10-08";8;34.0673206541919;10.1028512182478;0;0
2024-10-08 09:00:00;"2024-10-08";9;34.0668494164732;10.1021254536029;0;0
2024-10-08 10:00:00;"2024-10-08";10;34.0664959543326;10.101399688958;0;0
2024-10-08 11:00:00;"2024-10-08";11;34.0672028495976;10.1017107309487;0;0
2024-10-08 12:00:00;"2024-10-08";12;30.7347785498909;10.1028512182478;3;3
2024-10-08 13:00:00;"2024-10-08";13;30.7295580962205;10.1048211508554;3;3
2024-10-08 14:00:00;"2024-10-08";14;31.840782751665;10.1066874027994;2;2
2024-10-08 15:00:00;"2024-10-08";15;34.0542275689564;10.1090720580612;0;0
2024-10-08 16:00:00;"2024-10-08";16;34.0563417351502;10.1111456713323;0;0
2024-10-08 17:00:00;"2024-10-08";17;31.8245651685168;10.1129082426128;2;2
2024-10-08 18:00:00;"2024-10-08";18;30.716001117662;10.1140487299119;3;3
2024-10-08 19:00:00;"2024-10-08";19;32.9345511868934;10.1144634525661;1;1
2024-10-08 20:00:00;"2024-10-08";20;34.0431752056572;10.1143597719025;0;0
2024-10-08 21:00:00;"2024-10-08";21;34.0421190829732;10.1138413685848;0;0
2024-10-08 22:00:00;"2024-10-08";22;34.0481737984934;10.1130119232763;0;0
2024-10-08 23:00:00;"2024-10-08";23;34.0471168713204;10.1122861586314;0;0
2024-10-09 00:00:00;"2024-10-09";0;34.046177162501;10.1115603939865;0;0
2024-10-09 01:00:00;"2024-10-09";1;34.0528175476357;10.1110419906687;0;0
2024-10-09 02:00:00;"2024-10-09";2;34.0521123636972;10.1104199066874;0;0
2024-10-09 04:00:00;"2024-10-09";4;34.0505840686324;10.1089683773976;0;0
2024-10-09 05:00:00;"2024-10-09";5;34.0573408111502;10.1082426127527;0;0
2024-10-09 06:00:00;"2024-10-09";6;34.0568702915568;10.1076205287714;0;0
2024-10-09 07:00:00;"2024-10-09";7;34.0563997205211;10.10699844479;0;0
2024-10-09 08:00:00;"2024-10-09";8;34.0560467584782;10.1065837221358;0;0
2024-10-09 09:00:00;"2024-10-09";9;34.0630381051553;10.106065318818;0;0
2024-10-09 10:00:00;"2024-10-09";10;34.0629204096815;10.1056505961638;0;0
2024-10-09 11:00:00;"2024-10-09";11;34.06327348645;10.1056505961638;0;0
2024-10-09 12:00:00;"2024-10-09";12;34.0568702915568;10.1064800414723;0;0
2024-10-09 13:00:00;"2024-10-09";13;34.0588696446997;10.1080352514256;0;0
2024-10-09 14:00:00;"2024-10-09";14;34.0531700962779;10.1094867807154;0;0
2024-10-09 15:00:00;"2024-10-09";15;34.0487608680987;10.1121824779679;0;0
2024-10-09 16:00:00;"2024-10-09";16;34.0434098643839;10.1141524105754;0;0
2024-10-09 17:00:00;"2024-10-09";17;34.0448175480399;10.1158113011923;0;0
2024-10-09 18:00:00;"2024-10-09";18;34.0382915617836;10.117055469155;0;0
2024-10-09 19:00:00;"2024-10-09";19;34.0384088002877;10.1177812337999;0;0
